Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"2,569","2,615","1,886",779,"2,575","2,281",646,356,-,-
Market Cap Growth,-3.27%,38.71%,142.07%,-69.75%,12.90%,253.16%,81.54%,-,-,-
Enterprise Value,"2,874","2,666","1,957",872,"2,668","2,307",662,277,-,-
Last Close Price,68.37,101.48,71.74,32.50,123.11,116.49,39.16,23.88,-,-
PE Ratio,61.39,85.96,133.35,1378.65,476.66,245.62,181.08,-,-,-
Forward PE,35.65,54.25,47.75,48.19,172.02,155.37,72.10,70.56,-,-
PS Ratio,4.83,8.34,7.26,3.75,17.15,19.63,8.40,5.96,-,-
PB Ratio,-,66.93,112.33,-23.17,-37.22,-59.40,-20.83,-14.12,-,-
P/TBV Ratio,-,139.01,176.22,125.98,-,-,-,-,-,-
P/FCF Ratio,34.29,37.06,47.75,30.07,113.42,155.51,36.81,43.50,-,-
P/OCF Ratio,31.75,36.56,37.09,21.62,72.66,92.56,30.41,34.63,-,-
PEG Ratio,6.13,1.76,1.55,2.47,5.04,3.29,1.44,1.28,-,-
EV/Sales Ratio,8.14,8.50,7.53,4.19,17.77,19.86,8.62,4.64,-,-
EV/EBITDA Ratio,32.85,37.28,43.86,55.04,211.12,103.01,43.00,-,-,-
EV/EBIT Ratio,38.14,44.03,55.68,99.89,354.78,120.62,49.22,-,-,-
EV/FCF Ratio,38.27,37.78,49.56,33.65,117.50,157.29,37.74,33.89,-,-
Debt / Equity Ratio,-2.05,3.93,8.53,-4.91,-2.53,-3.10,-1.49,-1.92,-1.18,-1.21
Debt / EBITDA Ratio,3.71,1.94,2.74,7.23,10.04,4.90,3.00,-,5.95,5.32
Debt / FCF Ratio,4.67,2.17,3.63,6.38,7.71,8.12,2.63,5.92,6.64,7.86
Asset Turnover,0.93,0.83,0.77,0.70,0.66,0.93,1.55,2.32,3.34,-
Quick Ratio,1.58,2.08,1.58,1.30,1.44,2.24,1.78,2.73,1.18,1.54
Current Ratio,1.93,2.34,1.82,1.46,1.66,2.49,1.99,2.92,1.34,1.75
Return on Equity (ROE),-,175.84%,-,-,-,-,-,-,-,-
Return on Assets (ROA),12.37%,10.06%,6.50%,1.84%,2.06%,9.55%,16.92%,-34.83%,36.26%,-
Return on Capital (ROIC),28.00%,21.48%,15.07%,4.60%,5.04%,24.96%,43.80%,-58.31%,72.77%,-
Return on Capital Employed (ROCE),21.20%,17.20%,11.20%,3.10%,3.10%,11.60%,26.30%,-53.20%,67.40%,96.50%
Earnings Yield,1.17%,1.16%,0.75%,0.07%,0.21%,0.41%,0.55%,-2.50%,-,-
FCF Yield,2.92%,2.70%,2.09%,3.33%,0.88%,0.64%,2.72%,2.30%,-,-
Payout Ratio,520.21%,-,-,-,-,-,420.52%,-,-,-
Buyback Yield / Dilution,21.45%,0.14%,-76.16%,-4.61%,-13.22%,-14.18%,-18.78%,-12879.65%,-,-
