Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,353.23,313.57,259.83,207.99,150.16,116.2,76.87,59.73,42.47,31.38
Revenue Growth (YoY),25.01%,20.68%,24.93%,38.51%,29.22%,51.17%,28.70%,40.64%,35.32%,-
Cost of Revenue,192.49,172.94,152.6,133.29,94.98,67.37,41.72,58.26,24.54,19.47
Gross Profit,160.74,140.63,107.23,74.69,55.18,48.84,35.15,1.47,17.92,11.92
"Selling, General & Admin",72.46,66.72,58.48,52.89,39.79,24.99,19.04,13.06,8.6,5.73
Operating Expenses,85.38,80.08,72.09,65.97,47.66,29.71,21.7,15.82,10.56,6.88
Operating Income,75.36,60.56,35.14,8.73,7.52,19.13,13.46,-14.35,7.37,5.04
Interest Expense,-19.91,-7.34,-6.57,-5,-2.85,-2.31,-2.39,-4.27,-2.47,-0.41
Interest & Investment Income,3.84,2.53,1.44,1.4,1.15,0.81,0.62,0.42,0.24,0.1
Other Non Operating Income (Expenses),-3.69,-8.7,-,-,0.19,0.09,-,-0.02,-,-
EBT Excluding Unusual Items,55.6,47.05,30.02,5.13,6,17.72,11.69,-18.22,5.14,4.72
Asset Writedown,-4.69,-0.35,-3.63,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,3.54,-
Pretax Income,50.91,46.7,26.39,5.13,6,17.72,11.69,-18.22,8.68,4.72
Income Tax Expense,3.47,-2.41,2.69,2.5,-2.29,-1.04,1.3,0.45,-,-
Earnings From Continuing Operations,47.44,49.11,23.7,2.63,8.3,18.76,10.38,-18.67,8.68,4.72
Minority Interest in Earnings,-17.19,-18.69,-9.56,-2.07,-2.89,-9.47,-6.82,9.76,-8.68,-
Net Income,30.26,30.43,14.14,0.57,5.4,9.29,3.57,-8.9,-,4.72
Net Income to Common,30.26,30.43,14.14,0.57,5.4,9.29,3.57,-8.9,-,4.72
Net Income Growth,57.64%,115.18%,2402.66%,-89.54%,-41.82%,160.36%,-,-,-,-
Shares Outstanding (Basic),25,25,24,21,19,17,15,14,0,0
Shares Outstanding (Diluted),38,38,38,22,21,18,16,14,0,0
Shares Change (YoY),-21.45%,-0.14%,76.16%,4.61%,13.22%,14.18%,18.78%,12879.65%,-,-
EPS (Basic),1.21,1.23,0.59,0.03,0.28,0.55,0.24,-0.66,-,45.22
EPS (Diluted),1.14,1.16,0.55,0.03,0.26,0.51,0.22,-0.66,-,45.22
EPS Growth,68.12%,109.76%,1951.15%,-89.65%,-49.02%,131.82%,-,-,-,-
Free Cash Flow,75.11,70.57,39.49,25.9,22.71,14.67,17.55,8.18,7.33,3.74
Free Cash Flow Per Share,1.96,1.84,1.03,1.19,1.09,0.80,1.09,0.60,70.16,35.77
Gross Margin,45.51%,44.85%,41.27%,35.91%,36.75%,42.03%,45.73%,2.46%,42.21%,37.96%
Operating Margin,21.33%,19.31%,13.52%,4.20%,5.01%,16.46%,17.51%,-24.03%,17.35%,16.05%
Profit Margin,8.57%,9.70%,5.44%,0.27%,3.60%,7.99%,4.64%,-14.91%,-,15.05%
Free Cash Flow Margin,21.26%,22.50%,15.20%,12.45%,15.12%,12.62%,22.83%,13.69%,17.25%,11.90%
EBITDA,87.49,71.51,44.61,15.83,12.64,22.4,15.4,-11.95,8.18,5.52
EBITDA Margin,24.77%,22.80%,17.17%,7.61%,8.42%,19.27%,20.04%,-20.00%,19.26%,17.60%
D&A For EBITDA,12.14,10.96,9.47,7.11,5.12,3.27,1.95,2.41,0.81,0.49
EBIT,75.36,60.56,35.14,8.73,7.52,19.13,13.46,-14.35,7.37,5.04
EBIT Margin,21.33%,19.31%,13.52%,4.20%,5.01%,16.46%,17.51%,-24.03%,17.35%,16.05%
Effective Tax Rate,6.81%,-,10.20%,48.72%,-,-,11.16%,-,-,-
Revenue as Reported,353.97,314.51,261.28,209.39,151.31,117.01,77.49,60.15,42.71,31.48
Advertising Expenses,-,1,0.9,1,1.3,0.9,0.8,0.52,0.27,0.17
