Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"4,629","3,924",-,-,-,-,-
Enterprise Value,"5,338","4,238",-,-,-,-,-
Last Close Price,14.93,14.05,-,-,-,-,-
PS Ratio,13.58,7.68,-,-,-,-,-
PB Ratio,-,-4.78,-,-,-,-,-
P/OCF Ratio,33.31,91.47,-,-,-,-,-
EV/Sales Ratio,15.97,8.30,-,-,-,-,-
EV/EBITDA Ratio,-,43.15,-,-,-,-,-
Debt / Equity Ratio,-1.03,-1.46,-1.52,-2.39,0.59,0.30,0.06
Debt / EBITDA Ratio,-,10.62,8.41,-,4.89,-,-
Debt / FCF Ratio,-,-,18.55,-,-,-,-
Asset Turnover,0.21,0.44,0.66,0.39,0.41,0.31,-
Quick Ratio,1.22,6.22,0.09,0.06,0.37,0.14,0.36
Current Ratio,1.58,6.72,0.18,0.31,2.36,1.02,0.57
Return on Equity (ROE),-,-,-,-439.67%,6.23%,-9.06%,-
Return on Assets (ROA),-6.06%,-0.81%,0.90%,-16.53%,6.30%,-3.91%,-
Return on Capital (ROIC),-,-2.71%,1.55%,-19.34%,7.05%,-4.78%,-
Return on Capital Employed (ROCE),-,-,6.50%,-,6.30%,-,-
Earnings Yield,-14.13%,-33.52%,-,-,-,-,-
FCF Yield,-7.43%,-1.33%,-,-,-,-,-
Buyback Yield / Dilution,-6.29%,32.65%,-11.51%,-46.01%,-48.03%,-59.70%,-
