Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,453.44,836.2,50.41,15.88,117.87,8.67,6.66
Cash & Short-Term Investments,453.44,836.2,50.41,15.88,117.87,8.67,6.66
Cash Growth,79.21%,1558.83%,217.36%,-86.52%,1259.37%,30.25%,-
Receivables,366.24,1.03,1,0.26,1.68,1.11,0.29
Prepaid Expenses,-,41.16,22.32,28.29,27.51,1.21,2.7
Restricted Cash,-,0.78,19.3,36.36,13.81,0.05,0.25
Other Current Assets,241.36,24.79,3.98,4.31,595.69,59.88,1.16
Total Current Assets,"1,061",903.96,97.02,85.1,756.56,70.92,11.05
"Property, Plant & Equipment","1,187",670.81,593.28,711.56,597.3,85.24,81.3
Goodwill,-,-,-,-,"1,056",58.24,58.24
Other Intangible Assets,-,-,-,1.7,8.2,6.67,3.98
Long-Term Accounts Receivable,-,-,-,-,-,-,0.32
Long-Term Deferred Tax Assets,-,-,-,-,-,-,0.54
Long-Term Deferred Charges,-,-,-,-,10.68,-,-
Other Long-Term Assets,48.36,24.04,21.87,9.32,10.36,4.5,6.59
Total Assets,"2,296","1,599",712.16,807.69,"2,439",225.58,162.01
Accounts Payable,212.18,19.27,191.43,74.55,11.62,3.06,7.5
Accrued Expenses,358.27,46.54,59.6,76.08,30.85,0.94,1.06
Current Portion of Long-Term Debt,0.62,16.29,124.36,36.24,76,16.02,0.65
Current Portion of Leases,11.35,11.64,19.85,0.77,28.45,2.15,1.57
Current Income Taxes Payable,-,5.1,94.31,4.72,5.74,1.65,0.85
Current Unearned Revenue,83.74,18.13,9.83,78.19,141.93,44.84,7.83
Other Current Liabilities,3.7,17.59,46.03,1.64,25.7,1,0.01
Total Current Liabilities,669.86,134.56,545.4,272.19,320.29,69.65,19.47
Long-Term Debt,"1,059","1,074",726.44,857.25,652.21,19.86,2.09
Long-Term Leases,90.87,97.85,37.26,85.38,62.15,2.26,3.18
Other Long-Term Liabilities,"1,344","1,113",-,2.21,18.53,0.1,1.41
Total Liabilities,"3,424","2,419","1,309","1,217","1,053",91.88,26.16
Common Stock,0,0,0.04,0.04,0.03,0,0
Additional Paid-In Capital,"3,110","2,915","1,823","1,764","1,380",163.97,168.87
Retained Earnings,"-4,238","-3,735","-2,420","-2,174",-27.43,-74.74,-62.54
Comprehensive Income & Other,-,-,-,-,-10.97,-,-
Total Common Equity,"-1,128",-820.18,-596.94,-409.35,"1,341",89.22,106.33
Shareholders' Equity,"-1,128",-820.18,-596.94,-409.35,"1,386",133.7,135.86
Total Liabilities & Equity,"2,296","1,599",712.16,807.69,"2,439",225.58,162.01
Total Debt,"1,162","1,200",907.9,979.64,818.81,40.29,7.49
Net Cash (Debt),-708.41,-363.57,-857.49,-963.76,-700.94,-31.62,-0.84
Net Cash Per Share,-2.33,-1.42,-2.26,-2.83,-3.00,-0.20,-0.01
Filing Date Shares Outstanding,310.06,294.12,177.6,373.8,319.13,98.61,98.68
Total Common Shares Outstanding,308.38,292.61,386.88,375.23,169.72,98.61,98.68
Working Capital,391.17,769.4,-448.39,-187.09,436.27,1.27,-8.42
Book Value Per Share,-3.66,-2.80,-1.54,-1.09,7.90,0.90,1.08
Tangible Book Value,"-1,128",-820.18,-596.94,-411.05,277.26,24.31,44.11
Tangible Book Value Per Share,-3.66,-2.80,-1.54,-1.10,1.63,0.25,0.45
Land,49.22,23.67,21.85,22.31,13,5.46,5.26
Buildings,279.53,256.09,164.5,166.49,93.06,46.81,43.41
Machinery,473.32,488.27,446.91,387.86,418.08,39.05,37.97
Construction In Progress,688.69,162.86,183.91,254.5,-,-,-
