Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Cash & Equivalents,101.45,100.83,75.77,24.85,23.11,53.58,18.93,26.25,28.29,32.96,49.36
Short-Term Investments,66.82,35,-,-,-,-,-,-,-,-,-
Cash & Short-Term Investments,168.26,135.84,75.77,24.85,23.11,53.58,18.93,26.25,28.29,32.96,49.36
Cash Growth,181.79%,79.27%,204.93%,7.54%,-56.88%,182.97%,-27.86%,-7.22%,-14.17%,-33.22%,4.26%
Receivables,708.74,619.77,489.39,487.87,371.44,283.83,245.35,207.34,177.74,160.06,122.75
Inventory,108.78,101.73,95.66,96.33,68.57,24.89,21.54,20.97,16.92,13.24,13.98
Prepaid Expenses,20.08,14.37,10.48,15.35,21.07,9.15,10.63,8.14,8.8,3.21,2.96
Restricted Cash,7,-,-,-,-,-,-,-,-,0.26,-
Total Current Assets,"1,013",871.69,671.3,624.4,484.18,371.45,296.46,262.69,231.75,209.73,189.04
"Property, Plant & Equipment",241.53,196.15,125.17,120.56,82.3,57.98,25.75,25.36,24.64,15.69,11.68
Long-Term Investments,44.9,-,-,2.45,0.01,-,0.41,0.56,0.56,0.92,0.92
Goodwill,95.3,93.96,92.4,92.4,92.4,53.76,50.62,50.7,46.69,39.94,17.25
Other Intangible Assets,38.88,45.89,56.21,71.94,85.62,39.36,26.62,30.59,31.41,31.72,4.72
Long-Term Deferred Tax Assets,22.41,22.46,20.38,20.52,19.01,33.8,40.87,46.58,86.21,93.55,0.15
Other Long-Term Assets,13.86,13.87,16.15,2.45,3.11,4.18,4.53,5.51,3.22,2.79,1.92
Total Assets,"1,470","1,244",981.6,934.71,766.62,560.53,445.26,421.99,424.49,394.34,225.68
Accounts Payable,391.77,172.16,149.01,184.96,136.97,93.32,85.28,75.29,63.25,64.96,47.03
Accrued Expenses,-,164.88,124,111.74,97.14,82.34,67.63,55.3,57.46,43.86,35.88
Current Portion of Leases,-,26.54,23.8,20.25,15.01,11.06,-,-,-,-,0
Current Unearned Revenue,154.8,158.97,103.77,84.94,62.49,55.74,40.56,33.83,29.92,24.23,25.17
Total Current Liabilities,546.57,522.55,400.57,401.89,311.6,242.45,193.47,164.42,150.63,133.05,108.08
Long-Term Debt,20,-,-,81.63,39.75,0.22,0.3,29.56,29.43,29.26,9.2
Long-Term Leases,52.67,46.18,42.1,38.14,28.65,20.53,-,-,-,-,-
Pension & Post-Retirement Benefits,-,-,-,-,-,-,-,-,-,0.88,0.87
Other Long-Term Liabilities,28.06,23.19,39,22.57,16.08,12.22,1.95,4.37,4.46,5.96,6.11
Total Liabilities,647.3,591.92,481.66,544.23,396.08,275.41,195.72,198.36,184.52,169.14,124.27
Common Stock,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
Additional Paid-In Capital,208.59,203.46,203.43,201.87,201.9,200.59,192.91,196.81,196.96,195.22,193.63
Retained Earnings,700.33,497.76,295.78,203.2,173.13,107.01,65.6,32.31,46.43,32.75,-88.03
Treasury Stock,-127.7,-90.33,-49.45,-44,-29.3,-24.5,-12.48,-8.94,-6.9,-4.78,-4.4
Total Common Equity,781.44,611.11,449.99,361.29,345.95,283.31,246.25,220.41,236.7,223.41,101.41
Minority Interest,40.98,41,49.95,29.19,24.59,1.8,3.29,3.23,3.27,1.8,-
Shareholders' Equity,822.42,652.11,499.94,390.48,370.55,285.12,249.54,223.64,239.98,225.2,101.41
Total Liabilities & Equity,"1,470","1,244",981.6,934.71,766.62,560.53,445.26,421.99,424.49,394.34,225.68
Total Debt,72.67,72.72,65.9,140.02,83.4,31.8,0.3,29.56,29.43,29.26,9.21
Net Cash (Debt),95.59,63.12,9.88,-115.17,-60.3,21.77,18.64,-3.32,-1.14,3.7,40.15
Net Cash Growth,-,539.14%,-,-,-,16.84%,-,-,-,-90.77%,8.13%
Net Cash Per Share,4.73,3.09,0.48,-5.51,-2.86,1.03,0.87,-0.16,-0.05,0.17,1.87
Filing Date Shares Outstanding,19.85,19.97,20.19,20.21,20.69,20.71,20.88,21.21,21.2,21.28,21.26
Total Common Shares Outstanding,19.85,19.97,20.19,20.33,20.72,20.72,20.88,21.21,21.2,21.28,21.27
Working Capital,466.28,349.14,270.73,222.51,172.58,129,102.98,98.28,81.12,76.68,80.96
Book Value Per Share,39.36,30.60,22.28,17.77,16.70,13.67,11.79,10.39,11.17,10.50,4.77
Tangible Book Value,647.27,471.26,301.38,196.96,167.94,190.19,169,139.12,158.6,151.75,79.44
Tangible Book Value Per Share,32.60,23.60,14.92,9.69,8.11,9.18,8.09,6.56,7.48,7.13,3.74
Land,-,9.48,4.18,4.57,1.44,1.44,1.44,1.35,1.08,0.88,0.94
Buildings,-,55.81,33.75,32.48,15.45,14.38,13.61,12.48,11.68,6.46,4.12
Machinery,-,135.72,82.8,66.86,58.57,42.94,40.13,36.88,39.2,33.49,27.5
Construction In Progress,-,6.58,1.37,0.54,1.31,0.38,0.13,0.27,0.55,0.18,0.03
Leasehold Improvements,-,-,-,-,-,-,-,-,-,-,2.31
Order Backlog,-,"1,786","1,558",-,-,-,-,-,-,-,-
