Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Revenue,"3,249","2,884","2,377","2,167","1,536","1,191","1,077",876.83,810.74,695.99,573.86
Revenue Growth (YoY),17.84%,21.33%,9.71%,41.02%,29.02%,10.57%,22.83%,8.15%,16.49%,21.28%,12.00%
Cost of Revenue,"2,437","2,188","1,933","1,848","1,248",962.9,894.89,726.87,670.25,569.01,473.97
Gross Profit,812.89,696.59,444.54,318.93,288,227.96,182.1,149.96,140.5,126.98,99.89
"Selling, General & Admin",457.29,396.68,295.03,260.41,202.25,170.91,140.58,123.92,120.37,100.56,81.42
Operating Expenses,457.29,396.68,295.03,260.41,202.25,170.91,140.58,123.92,120.37,100.56,81.42
Operating Income,355.6,299.91,149.51,58.52,85.75,57.05,41.53,26.04,20.13,26.42,18.48
Interest Expense,-1.46,-1.34,-3.02,-2.97,-0.96,-0.78,-1.86,-1.95,-1.7,-1.28,-1.13
Interest & Investment Income,2.74,4,-,-,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),0.67,-0.66,0.79,-0.04,0.29,-0.01,0.15,0.34,0.17,0.08,0.18
EBT Excluding Unusual Items,357.55,301.91,147.29,55.51,85.07,56.26,39.82,24.44,18.59,25.22,17.53
Merger & Restructuring Charges,-,-,-3.6,-,-,-,-,-,-,-,-
Impairment of Goodwill,-,-,-,-,-,-6.98,-,-,-,-,-
Gain (Loss) on Sale of Investments,9.23,1.79,1,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,0.26,1.68,14.14,0.07,0.05,-,-0.05,0.02,0.07,-0.81,0.01
Legal Settlements,-,-,-,-2.3,-,-,-,-,-,-,-
Other Unusual Items,-1.65,-0.71,-0.28,-0.28,-0.21,0.01,0.37,-0.1,0.15,-0.65,-
Pretax Income,365.39,304.67,158.55,53,84.91,49.29,40.14,24.35,18.81,23.76,17.54
Income Tax Expense,90.36,72.17,38.76,12.82,16.23,8.74,6.66,38.15,5.21,-97.12,0.66
Earnings From Continuing Operations,275.03,232.5,119.79,40.19,68.68,40.55,33.48,-13.8,13.59,120.88,16.88
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-0.34
Net Income to Company,275.03,232.5,119.79,40.19,68.68,40.55,33.48,-13.8,13.59,120.88,16.54
Minority Interest in Earnings,-7.7,-13.39,-11.5,-5.42,-2.02,1.05,-0.27,-0.35,-0.17,-0.1,-
Net Income,267.34,219.12,108.29,34.76,66.66,41.6,33.21,-14.16,13.42,120.78,16.54
Preferred Dividends & Other Adjustments,2.7,17.14,15.71,4.72,0.37,0.77,0.26,-0.04,0.15,1.06,0.09
Net Income to Common,264.63,201.98,92.58,30.05,66.29,40.83,32.95,-14.11,13.28,119.72,16.45
Net Income Growth,37.98%,102.35%,211.51%,-47.85%,60.24%,25.28%,-,-,-88.89%,630.31%,210.63%
Shares Outstanding (Basic),20,20,20,21,21,21,21,21,21,21,21
Shares Outstanding (Diluted),20,20,20,21,21,21,21,21,22,21,22
Shares Change (YoY),-1.21%,0.01%,-2.31%,-0.91%,-0.03%,-1.04%,0.56%,-1.56%,0.19%,-0.16%,16.53%
EPS (Basic),13.26,10.02,4.58,1.45,3.19,1.96,1.56,-0.67,0.62,5.63,0.77
EPS (Diluted),13.08,9.89,4.54,1.44,3.15,1.94,1.55,-0.67,0.62,5.62,0.77
EPS Growth,53.94%,117.84%,215.28%,-54.29%,62.37%,25.16%,-,-,-88.97%,633.73%,166.07%
Free Cash Flow,185.34,189.25,136.24,-12.99,30.52,72,32.42,7.66,17.76,21.55,8.73
Free Cash Flow Per Share,9.17,9.27,6.67,-0.62,1.45,3.41,1.52,0.36,0.82,1.00,0.41
Gross Margin,25.02%,24.15%,18.70%,14.72%,18.74%,19.14%,16.91%,17.10%,17.33%,18.24%,17.41%
Operating Margin,10.94%,10.40%,6.29%,2.70%,5.58%,4.79%,3.86%,2.97%,2.48%,3.80%,3.22%
Profit Margin,8.14%,7.00%,3.89%,1.39%,4.31%,3.43%,3.06%,-1.61%,1.64%,17.20%,2.87%
Free Cash Flow Margin,5.70%,6.56%,5.73%,-0.60%,1.99%,6.05%,3.01%,0.87%,2.19%,3.10%,1.52%
EBITDA,401.35,337.01,178.92,83.98,107.66,69.56,51.09,34.9,29.76,32.09,20.98
EBITDA Margin,12.35%,11.68%,7.53%,3.88%,7.01%,5.84%,4.74%,3.98%,3.67%,4.61%,3.66%
D&A For EBITDA,45.75,37.1,29.41,25.47,21.91,12.51,9.56,8.86,9.63,5.66,2.51
EBIT,355.6,299.91,149.51,58.52,85.75,57.05,41.53,26.04,20.13,26.42,18.48
EBIT Margin,10.94%,10.40%,6.29%,2.70%,5.58%,4.79%,3.86%,2.97%,2.48%,3.80%,3.22%
Effective Tax Rate,24.73%,23.69%,24.45%,24.18%,19.12%,17.73%,16.60%,156.69%,27.71%,-,3.77%
