Period Ending,"Nov '25Nov 13, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"7,115","3,988","1,330",566,951,654,437,413,371,382,163
Market Cap Growth,68.54%,199.85%,134.82%,-40.45%,45.50%,49.65%,5.75%,11.49%,-2.90%,134.82%,-9.50%
Enterprise Value,"7,019","4,038","1,413",722,"1,032",654,437,424,378,391,128
Last Close Price,358.36,199.62,65.87,27.62,45.69,31.77,20.59,19.50,17.30,17.79,7.72
PE Ratio,27.39,19.75,14.37,18.85,14.35,16.01,13.26,-,27.91,3.19,9.88
PS Ratio,2.20,1.38,0.56,0.26,0.62,0.55,0.41,0.47,0.46,0.55,0.28
PB Ratio,9.11,6.12,2.66,1.45,2.57,2.29,1.75,1.85,1.54,1.70,1.60
P/TBV Ratio,10.99,8.46,4.41,2.88,5.66,3.44,2.59,2.97,2.34,2.52,2.05
P/FCF Ratio,38.39,21.07,9.76,-,31.16,9.08,13.47,53.92,20.86,17.71,18.62
P/OCF Ratio,28.82,17.01,8.64,34.83,25.08,8.52,11.28,33.79,16.58,15.28,14.13
EV/Sales Ratio,2.16,1.40,0.59,0.33,0.67,0.55,0.41,0.48,0.47,0.56,0.22
EV/EBITDA Ratio,17.49,11.98,7.90,8.59,9.59,9.41,8.55,12.16,12.69,12.18,6.10
EV/EBIT Ratio,19.74,13.46,9.45,12.33,12.04,11.47,10.52,16.29,18.77,14.79,6.92
EV/FCF Ratio,37.87,21.34,10.37,-,33.82,9.09,13.47,55.38,21.27,18.13,14.66
Debt / Equity Ratio,0.09,0.11,0.13,0.36,0.23,0.11,0.00,0.13,0.12,0.13,0.09
Debt / EBITDA Ratio,0.17,0.20,0.33,1.34,0.67,0.38,0.01,0.85,0.99,0.91,0.44
Debt / FCF Ratio,0.39,0.38,0.48,-,2.73,0.44,0.01,3.86,1.66,1.36,1.06
Asset Turnover,2.48,2.59,2.48,2.55,2.32,2.37,2.48,2.07,1.98,2.25,2.69
Inventory Turnover,22.60,22.17,20.13,22.41,26.72,41.48,42.10,38.37,44.45,41.82,31.57
Quick Ratio,1.61,1.45,1.41,1.28,1.27,1.39,1.37,1.42,1.37,1.45,1.59
Current Ratio,1.85,1.67,1.68,1.55,1.55,1.53,1.53,1.60,1.54,1.58,1.75
Return on Equity (ROE),38.50%,40.36%,26.91%,10.56%,20.95%,15.17%,14.15%,-5.95%,5.85%,74.02%,17.82%
Return on Assets (ROA),16.93%,16.84%,9.75%,4.30%,8.08%,7.09%,5.99%,3.84%,3.07%,5.33%,5.41%
Return on Capital (ROIC),28.28%,29.05%,17.05%,7.43%,13.90%,12.58%,10.32%,6.23%,4.80%,9.05%,11.06%
Return on Capital Employed (ROCE),38.50%,41.60%,25.70%,11.00%,18.80%,17.90%,16.50%,10.10%,7.30%,10.10%,15.70%
Earnings Yield,3.72%,5.49%,8.14%,6.14%,7.01%,6.36%,7.60%,-3.43%,3.62%,31.65%,10.18%
FCF Yield,2.60%,4.75%,10.24%,-2.29%,3.21%,11.01%,7.42%,1.85%,4.79%,5.65%,5.37%
Buyback Yield / Dilution,1.21%,-0.01%,2.31%,0.91%,0.03%,1.04%,-0.56%,1.56%,-0.19%,0.16%,-16.53%
