Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,240.77,229.16,114.63,99.69,72.14,87.03,50.12,49.36,47.6,32.29,68.58
Trading Asset Securities,-,-,-,-,-,-,-,-,-,0.19,0.23
Cash & Short-Term Investments,240.77,229.16,114.63,99.69,72.14,87.03,50.12,49.36,47.6,32.48,68.81
Cash Growth,24.26%,99.91%,14.99%,38.19%,-17.11%,73.62%,1.55%,3.70%,46.54%,-52.80%,2.56%
Accounts Receivable,138.1,181.41,108.29,47.14,51.87,29.2,30.38,20.32,14.92,12.11,11.83
Other Receivables,25.38,16.22,8.15,7.19,1.87,2.5,2.61,2.63,3.24,3.31,0.87
Receivables,163.48,197.63,116.44,54.33,53.74,31.7,32.99,22.95,18.16,15.43,12.73
Prepaid Expenses,17.47,11.26,11.07,9.82,6.86,6.14,6.99,4.71,2.3,2.59,1.56
Restricted Cash,7.8,6.33,4.99,4.8,4.02,3.04,3.09,2.23,1.79,1.85,1.8
Other Current Assets,-,-,-,-,-,-,-,-,-,-,1.95
Total Current Assets,429.52,444.38,247.13,168.63,136.76,127.91,93.19,79.25,69.84,52.35,86.84
"Property, Plant & Equipment",94.47,99,95.44,90.75,94.48,87.69,16.98,8.11,4.78,4.06,4.61
Long-Term Investments,708.28,664.35,603.7,530.92,503.79,368.84,197.76,154.49,137.25,120.15,102.75
Goodwill,-,9.57,9.57,9.57,9.57,3.94,3.94,3.94,3.94,1.07,1.07
Other Intangible Assets,-,2.88,4.58,6.29,12.57,7.93,8.33,2.56,3.02,0.4,0.49
Long-Term Deferred Tax Assets,305.89,308.53,261.89,233.91,245.05,251.95,137.94,107.73,73.38,61.22,0.01
Long-Term Deferred Charges,-,-,-,-,-,0.96,0.99,0.97,-,-,-
Other Long-Term Assets,442.17,151.99,38.68,100.47,292.74,287.3,14.4,3.54,1.57,1.37,0.87
Total Assets,"1,980","1,690","1,271","1,141","1,295","1,137",473.53,360.59,293.8,240.62,196.64
Accounts Payable,6.08,5.47,4.51,4.56,2.83,2.17,1.97,2.62,1.7,1.37,0.64
Accrued Expenses,84.26,48.56,35.98,24.19,20.12,29.74,11.23,12.67,8.49,3.42,4.03
Short-Term Debt,-,-,-,15,-,15,-,-,-,-,-
Current Portion of Leases,4.71,9.21,-,-,-,-,-,-,-,-,-
Other Current Liabilities,40.25,47.04,41.44,30.77,42.95,28.08,13.86,22.75,15.73,2.39,9.39
Total Current Liabilities,135.3,110.28,81.93,74.52,65.89,74.99,27.06,38.04,25.92,7.17,14.06
Long-Term Debt,296.74,302.49,209.23,212.76,185.14,165.56,74.52,70.95,84.16,84.31,243.32
Long-Term Leases,70.85,68.81,79.03,78.82,82.24,75.28,10.18,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,3.7,6.25,45.17,45.17
Other Long-Term Liabilities,319.38,284.88,225.05,200.25,224.18,230.49,124.36,78.17,41.4,17.35,6.04
Total Liabilities,822.27,766.46,595.24,566.35,557.46,546.32,236.13,190.87,157.72,153.99,308.57
Common Stock,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-122.48
Additional Paid-In Capital,289.31,261.86,208.4,171.57,161.68,150.56,107.73,92.48,73.83,61.85,-
Retained Earnings,535.24,455.51,316.7,243.82,185.15,87.51,47.09,17.69,4.55,0.61,-
Treasury Stock,-,-,-,-,-,-,-,-,-,-2.15,-
Comprehensive Income & Other,1.22,-0.14,-,-,-,-,-0.08,0.01,-,-0.31,-0.82
Total Common Equity,825.82,717.28,525.15,415.44,346.88,238.13,154.79,110.23,78.43,60.04,-123.31
Minority Interest,332.23,206.61,150.81,158.75,390.61,352.07,82.61,59.5,57.65,26.59,11.37
Shareholders' Equity,"1,158",923.9,675.96,574.19,737.49,590.2,237.4,169.72,136.07,86.63,-111.94
Total Liabilities & Equity,"1,980","1,690","1,271","1,141","1,295","1,137",473.53,360.59,293.8,240.62,196.64
Total Debt,372.3,380.51,288.26,306.58,267.39,255.84,84.71,70.95,84.16,84.31,243.32
Net Cash (Debt),-131.52,-151.35,-173.63,-206.89,-195.25,-168.81,-34.58,-21.6,-36.57,-51.83,-174.51
Net Cash Per Share,-3.22,-3.75,-3.22,-3.85,-3.64,-5.06,-1.22,-0.89,-1.93,-2.83,-3.08
Filing Date Shares Outstanding,43.97,41.37,40.53,38.59,37.29,36.29,29.84,27.36,23.13,19.27,58.73
Total Common Shares Outstanding,43.97,43.5,40.55,38.61,37.28,36.29,29.84,27.37,23.14,19.04,56.72
Working Capital,294.23,334.1,165.21,94.11,70.87,52.92,66.13,41.21,43.93,45.18,72.79
Book Value Per Share,18.78,16.49,12.95,10.76,9.30,6.56,5.19,4.03,3.39,3.15,-2.17
Tangible Book Value,825.82,704.83,511,399.59,324.75,226.26,142.52,103.72,71.46,58.57,-124.87
Tangible Book Value Per Share,18.78,16.20,12.60,10.35,8.71,6.23,4.78,3.79,3.09,3.08,-2.20
Machinery,-,29.48,22.91,17.38,14.11,10.68,11.08,11.88,11.84,11.53,11.49
Leasehold Improvements,-,33.32,28.37,23.26,21.98,22.69,6.76,5.93,2.46,3.81,3.98
