Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018"
Cash & Equivalents,300.86,288.93,347.92,337.15,486,377.6,149.39,75.69,-
Trading Asset Securities,-,-,-,-,-,-,-,3.39,-
Cash & Short-Term Investments,300.86,288.93,347.92,337.15,486,377.6,149.39,79.08,-
Cash Growth,-7.30%,-16.96%,3.20%,-30.63%,28.71%,152.77%,88.91%,-,-
Receivables,19.18,16.76,19.37,16.5,19.72,17.31,14,15.73,-
Inventory,"1,588","1,309","1,194","1,284","1,172",990.03,"1,100","1,134",-
Prepaid Expenses,78.26,95.62,83.45,47.75,36.46,28.31,24.55,36.55,-
Other Current Assets,-,-,-,1.76,1.76,1.76,1.76,1.76,-
Total Current Assets,"1,986","1,710","1,645","1,687","1,716","1,415","1,289","1,267",-
"Property, Plant & Equipment","1,790","1,698","1,556","1,452","1,425","1,522","1,587",496.15,-
Long-Term Investments,-,-,-,-,-,-,-,5.36,-
Goodwill,861.92,861.92,861.92,861.92,861.92,861.92,861.92,861.92,-
Other Intangible Assets,579.33,579.01,578.24,577.72,577.22,577,577,592.07,-
Long-Term Deferred Tax Assets,-,-,-,-,-,-,0.22,-,-
Long-Term Deferred Charges,-,6.1,2.1,3.2,4.3,5.5,3.4,4.5,-
Other Long-Term Assets,58.56,45.58,33.11,14.42,0.38,3.08,12.23,11.69,-
Total Assets,"5,276","4,901","4,677","4,595","4,585","4,384","4,331","3,239",-
Accounts Payable,803.31,612.42,541.08,686.47,737.83,791.4,428.82,432.04,-
Accrued Expenses,125.92,104.09,83.77,114.63,172.82,168.69,108.03,79.62,-
Current Portion of Long-Term Debt,3,3,3,3,3,4,40.25,68.31,-
Current Portion of Leases,139.68,115.13,117.85,109.08,83.08,80.34,76.33,-,-
Current Income Taxes Payable,11.56,6.09,9.31,6.2,9.6,23.73,4.94,-,-
Current Unearned Revenue,88.3,98.64,96.69,92.6,88.71,76.78,70.22,67.53,-
Other Current Liabilities,40.24,21.5,28.16,26.75,32.08,22.15,22.06,36.99,-
Total Current Liabilities,"1,212",960.88,879.86,"1,039","1,127","1,167",750.65,684.48,-
Long-Term Debt,481.74,482.68,484.55,584.46,683.59,781.49,"1,431","1,557",-
Long-Term Leases,"1,217","1,186","1,091","1,072","1,078","1,150","1,142",-,-
Long-Term Deferred Tax Liabilities,270.5,256.82,254.8,259.04,217.21,138.7,-,-,-
Other Long-Term Liabilities,19.37,10.81,11.56,12.73,12.42,35.13,20.04,140.42,-
Total Liabilities,"3,201","2,897","2,722","2,967","3,118","3,272","3,343","2,382",-
Common Stock,0.67,0.68,0.74,0.77,0.87,0.91,996.29,848.59,-
Additional Paid-In Capital,255.52,247.09,242.1,216.21,198.02,127.23,-,-,-
Retained Earnings,"1,819","1,756","1,712","1,411","1,268",987.17,-,-,-
Comprehensive Income & Other,-,-,-,-,-,-3.32,-8.07,8.45,-
Shareholders' Equity,"2,075","2,004","1,955","1,628","1,467","1,112",988.22,857.04,-
Total Liabilities & Equity,"5,276","4,901","4,677","4,595","4,585","4,384","4,331","3,239",-
Total Debt,"1,842","1,787","1,697","1,769","1,847","2,016","2,689","1,625",-
Net Cash (Debt),"-1,541","-1,498","-1,349","-1,432","-1,361","-1,638","-2,540","-1,546",-
Net Cash Per Share,-22.09,-20.50,-17.41,-17.06,-14.44,-20.12,-33.95,-20.56,-
Filing Date Shares Outstanding,66.63,67,74.41,76.95,87.15,91.3,228.27,72.43,227.94
Total Common Shares Outstanding,66.63,68.33,74.35,76.71,87.08,91.11,228.27,72.43,227.94
Working Capital,773.91,749.27,765.04,647.96,588.64,247.93,538.8,582.79,-
Book Value Per Share,31.15,29.33,26.29,21.23,16.85,12.20,4.33,3.76,-
Tangible Book Value,633.9,563.11,514.49,188.67,27.81,-326.94,-450.7,-596.95,-
Tangible Book Value Per Share,9.51,8.24,6.92,2.46,0.32,-3.59,-1.97,-2.62,-
Land,-,-,-,-,3.7,3.7,3.7,3.7,-
Buildings,33.75,16.01,14.92,3.7,-,-,-,-,-
Machinery,"1,207","1,166","1,087","1,001",938.97,881.1,853.78,800.87,-
Construction In Progress,64.36,54.24,38.87,23.16,11.15,23.58,17.64,35.53,-
Leasehold Improvements,709.74,663.87,571.79,484.93,456.92,438.29,436.81,419.89,-
