Period Ending,"Sep '25Sep 26, 2025","Dec '24Dec 27, 2024","Dec '23Dec 29, 2023","Dec '22Dec 30, 2022","Dec '21Dec 24, 2021","Dec '20Dec 25, 2020","Dec '19Dec 27, 2019","Dec '18Dec 28, 2018","Dec '17Dec 29, 2017","Dec '16Dec 30, 2016","Dec '15Dec 25, 2015"
Cash & Equivalents,65.06,114.66,49.88,158.8,115.16,193.28,140.23,42.41,41.5,32.86,2.45
Cash & Short-Term Investments,65.06,114.66,49.88,158.8,115.16,193.28,140.23,42.41,41.5,32.86,2.45
Cash Growth,28.31%,129.87%,-68.59%,37.90%,-40.42%,37.83%,230.66%,2.18%,26.30%,1239.12%,-26.26%
Accounts Receivable,347.52,366.31,334.02,260.17,172.54,96.38,175.04,161.76,142.17,128.03,124.14
Other Receivables,26.68,25.95,22.97,21.25,22.67,21.25,-,-,-,-,-
Receivables,374.2,392.26,356.98,281.42,195.21,117.63,175.04,161.76,142.17,128.03,124.14
Inventory,385.39,316.01,284.53,245.69,144.49,82.52,124.06,112.61,102.08,87.5,92.76
Prepaid Expenses,44.32,45.12,39.56,34.95,15.11,12.23,13.82,11.95,11.08,16.1,9.16
Total Current Assets,868.98,868.04,730.94,720.86,469.96,405.66,453.16,328.74,296.84,264.49,228.52
"Property, Plant & Equipment",538.43,467.2,427.1,342.36,264.32,230.67,220.5,85.28,68.38,62.18,54.28
Goodwill,356.63,356.3,356.02,287.12,221.78,214.86,197.74,184.28,173.2,163.78,155.82
Other Intangible Assets,144.4,160.38,184.86,155.7,104.74,111.72,138.75,130.03,146.35,137.06,136.72
Long-Term Deferred Tax Assets,-,-,-,-,9.38,7.54,-,-,-,-,-
Long-Term Deferred Charges,-,0.41,0.6,0.45,0.46,0.83,1.36,1.77,1.28,1.63,1.38
Other Long-Term Assets,7.6,6.35,5.78,2.81,3.15,3.05,2.17,2.31,1.69,4.39,3.09
Total Assets,"1,916","1,859","1,705","1,509","1,074",974.33,"1,014",732.4,687.75,633.54,579.8
Accounts Payable,227.88,266.78,200.55,163.4,118.28,57.52,94.1,87.8,70.02,65.51,64.89
Accrued Expenses,131.51,115.05,94.81,78.76,51.4,34.39,29.48,33.59,33.14,27.07,31.99
Current Portion of Long-Term Debt,21.62,8,47.8,9.22,1.71,1.71,-,0.06,3.83,14.8,6.27
Current Portion of Leases,23.97,32.01,29.64,22.64,19.31,21.55,18.17,-,-,-,-
Current Unearned Revenue,-,1.94,2.46,2.21,2.29,2.56,1.35,1.5,1.28,-,-
Other Current Liabilities,0.75,1.63,10.53,7.52,4.01,0.37,7.06,2.6,-,-,-
Total Current Liabilities,405.74,425.4,385.78,283.75,197.02,118.1,150.15,125.54,108.27,107.37,103.14
Long-Term Debt,606.82,651.11,648.3,645.38,385.99,386.67,382.92,278.17,314,317.73,267.35
Long-Term Leases,301.7,224.71,200.54,159.53,135.47,120.55,123.76,-,-,-,-
Long-Term Deferred Tax Liabilities,20.78,15.89,14.42,6.1,-,-,10.88,9.6,6.02,6.96,4.06
Other Long-Term Liabilities,4.36,3.94,1.6,13.03,5.11,4.42,10.03,10.41,10.87,7.72,17.29
Total Liabilities,"1,339","1,321","1,251","1,108",723.58,629.74,677.75,423.72,439.15,439.78,391.84
Common Stock,0.41,0.4,0.4,0.39,0.38,0.37,0.3,0.3,0.28,0.26,0.26
Additional Paid-In Capital,399.41,399.11,356.16,337.95,314.24,303.73,212.24,207.33,167,127.18,125.17
Retained Earnings,179.96,141.94,99.95,65.36,37.61,42.53,125.44,103.27,82.87,68.5,65.48
Comprehensive Income & Other,-3.14,-3.81,-1.83,-2.19,-2.02,-2.05,-2.05,-2.22,-1.55,-2.19,-2.95
Shareholders' Equity,576.64,537.65,454.67,401.51,350.21,344.59,335.93,308.68,248.6,193.76,187.96
Total Liabilities & Equity,"1,916","1,859","1,705","1,509","1,074",974.33,"1,014",732.4,687.75,633.54,579.8
Total Debt,954.12,915.83,926.27,836.77,542.48,530.48,524.85,278.23,317.82,332.52,273.62
Net Cash (Debt),-889.06,-801.17,-876.39,-677.97,-427.32,-337.2,-384.62,-235.82,-276.32,-299.66,-271.16
Net Cash Per Share,-19.31,-17.42,-19.20,-17.50,-11.63,-10.00,-12.79,-7.95,-10.08,-11.51,-10.23
Filing Date Shares Outstanding,40.69,40.27,39.67,38.6,37.89,37.28,30.31,29.97,28.44,26.28,26.28
Total Common Shares Outstanding,40.67,40.25,39.67,38.6,37.89,37.27,30.34,29.97,28.44,26.28,26.29
Working Capital,463.24,442.65,345.17,437.12,272.94,287.56,303.01,203.19,188.57,157.12,125.37
Book Value Per Share,14.18,13.36,11.46,10.40,9.24,9.24,11.07,10.30,8.74,7.37,7.15
Tangible Book Value,75.6,20.97,-86.21,-41.31,23.69,18.01,-0.56,-5.64,-70.96,-107.08,-104.57
Tangible Book Value Per Share,1.86,0.52,-2.17,-1.07,0.63,0.48,-0.02,-0.19,-2.49,-4.07,-3.98
Land,-,5.54,5.54,5.54,5.02,5.02,1.17,1.17,1.17,1.17,1.57
Buildings,-,63.87,41.98,39.89,18.41,15.69,1.36,1.29,1.29,1.29,2.74
Machinery,-,141.2,106.74,85.87,76.79,64.48,44.12,35.12,31.78,28.23,21.9
Construction In Progress,-,5.54,34.76,36.58,24.36,8.12,9.2,15.76,15.03,11.36,8.88
Leasehold Improvements,-,170.15,135.77,94.25,69.11,68.75,70.9,60.57,53.65,47.97,41.65
