Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 27, 2024","Dec '23Dec 29, 2023","Dec '22Dec 30, 2022","Dec '21Dec 24, 2021","Dec '20Dec 25, 2020","Dec '19Dec 27, 2019","Dec '18Dec 28, 2018","Dec '17Dec 29, 2017","Dec '16Dec 30, 2016","Dec '15Dec 25, 2015"
Market Capitalization,"2,350","1,967","1,167","1,274","1,234",902,"1,152",939,583,415,457
Market Cap Growth,48.85%,68.53%,-8.34%,3.22%,36.75%,-21.66%,22.66%,60.93%,40.66%,-9.16%,-17.27%
Enterprise Value,"3,230","2,846","2,029","1,777","1,627","1,226","1,554","1,169",899,721,747
Last Close Price,57.71,48.68,29.43,33.28,32.57,23.89,37.97,31.33,20.50,15.80,17.37
PE Ratio,33.39,35.46,33.75,45.90,-,-,47.61,46.02,40.62,137.22,28.17
Forward PE,28.52,30.24,23.00,21.04,47.20,-,33.68,33.60,37.36,38.29,21.59
PS Ratio,0.55,0.52,0.34,0.49,0.71,0.81,0.72,0.65,0.45,0.35,0.44
PB Ratio,4.07,3.66,2.57,3.17,3.52,2.62,3.43,3.04,2.35,2.14,2.43
P/TBV Ratio,30.96,93.84,-,-,52.08,50.10,-,-,-,-,-
P/FCF Ratio,27.02,19.00,277.15,-,-,25.17,39.81,37.17,30.41,18.61,28.42
P/OCF Ratio,18.24,12.85,18.94,55.05,-,21.04,25.59,20.83,18.52,10.66,12.11
PEG Ratio,-,2.22,2.22,2.22,2.22,2.22,2.22,1.36,-,3.06,1.14
EV/Sales Ratio,0.80,0.75,0.59,0.68,0.93,1.10,0.98,0.81,0.69,0.61,0.71
EV/EBITDA Ratio,14.88,15.25,12.59,13.52,41.25,-,19.66,16.88,15.16,11.20,13.71
EV/EBIT Ratio,21.83,22.39,18.20,17.95,154.05,-,27.33,23.29,22.17,15.27,18.49
EV/FCF Ratio,37.28,27.48,481.82,-,-,34.20,53.73,46.28,46.84,32.36,46.49
Debt / Equity Ratio,1.66,1.70,2.04,2.08,1.55,1.54,1.56,0.90,1.28,1.72,1.46
Debt / EBITDA Ratio,2.80,3.55,4.10,4.79,7.50,372.79,4.74,4.02,5.36,5.16,5.02
Debt / FCF Ratio,11.01,8.84,219.91,-,-,14.80,18.14,11.01,16.57,14.92,17.02
Asset Turnover,2.19,2.13,2.14,2.02,1.71,1.12,1.82,2.03,1.97,1.97,2.19
Inventory Turnover,8.49,9.59,9.88,10.23,11.94,8.22,10.19,10.21,10.26,9.89,9.25
Quick Ratio,1.08,1.19,1.06,1.55,1.58,2.63,2.10,1.63,1.70,1.50,1.23
Current Ratio,2.14,2.04,1.90,2.54,2.38,3.44,3.02,2.62,2.74,2.46,2.22
Return on Equity (ROE),14.12%,11.18%,8.08%,7.38%,-1.42%,-24.36%,7.51%,7.32%,6.49%,1.58%,9.68%
Return on Assets (ROA),5.01%,4.46%,4.34%,4.79%,0.65%,-3.71%,4.07%,4.42%,3.84%,4.87%,5.28%
Return on Capital (ROIC),6.29%,5.61%,5.32%,5.80%,0.75%,-4.25%,4.91%,5.44%,4.64%,5.98%,6.72%
Return on Capital Employed (ROCE),9.80%,8.90%,8.50%,8.10%,1.20%,-,6.60%,8.30%,7.00%,9.00%,8.50%
Earnings Yield,3.19%,2.82%,2.96%,2.18%,-0.40%,-9.19%,2.10%,2.17%,2.46%,0.73%,3.55%
FCF Yield,3.70%,5.26%,0.36%,-1.78%,-4.76%,3.97%,2.51%,2.69%,3.29%,5.37%,3.52%
Buyback Yield / Dilution,9.20%,-0.75%,-17.80%,-5.44%,-8.98%,-12.11%,-1.33%,-8.22%,-5.36%,1.81%,-6.70%
