Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"6,106","5,937","5,751","5,787","6,411","7,155","8,107","8,611","9,128","8,896","5,576"
Revenue Growth (YoY),4.25%,3.23%,-0.62%,-9.73%,-10.40%,-11.74%,-5.85%,-5.66%,2.61%,59.54%,16.85%
Cost of Revenue,"2,134","2,110","2,125","2,169","2,362","2,701","3,057","3,339","3,555","3,346","1,927"
Gross Profit,"3,972","3,827","3,626","3,618","4,049","4,454","5,050","5,272","5,573","5,550","3,649"
"Selling, General & Admin","1,725","1,700","1,437","1,222","1,664","1,691","1,846","1,805","2,019","2,104","1,346"
Operating Expenses,"3,526","3,325","2,852","2,404","2,904","3,289","3,626","3,759","4,203","4,135","2,666"
Operating Income,446,502,774,"1,214","1,145","1,165","1,424","1,513","1,370","1,415",983
Interest Expense,-798,-804,-653,-492,-375,-762,"-1,535","-1,536","-1,534","-1,531","-1,113"
Interest & Investment Income,42,80,87,42,1,4,9,6,6,13,7
Other Non Operating Income (Expenses),-,-,-18,-11,-9,-4,-4,-,-,1,-
EBT Excluding Unusual Items,-310,-222,190,753,762,403,-106,-17,-158,-102,-123
Merger & Restructuring Charges,-109,-124,-73,-99,-28,-87,-168,-35,-107,-527,-238
Impairment of Goodwill,-,-,-,-,-,-,"-5,725",-641,"-2,748",-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-3,-3,-,-
Gain (Loss) on Sale of Assets,-19,-,-,-,-,-162,-446,-,-,-,-
Other Unusual Items,5,-,-,-55,"4,171",-640,-77,-9,-171,6,-
Pretax Income,-433,-346,117,599,"4,905",-486,"-6,522",-705,"-3,187",-623,-361
Income Tax Expense,-52,-24,88,158,-50,-84,-611,-62,"-1,383",-250,-165
Net Income,-381,-322,29,441,"4,955",-402,"-5,911",-643,"-1,804",-373,-196
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,107,216,217,123
Net Income to Common,-381,-322,29,441,"4,955",-402,"-5,911",-750,"-2,020",-590,-319
Net Income Growth,-,-,-93.42%,-91.10%,-,-,-,-,-,-,-
Shares Outstanding (Basic),250,248,246,245,198,104,104,90,78,78,72
Shares Outstanding (Diluted),250,248,248,245,199,104,104,90,78,78,72
Shares Change (YoY),1.02%,-0.11%,1.30%,23.32%,90.39%,0.39%,16.04%,15.37%,0.17%,7.33%,8.66%
EPS (Basic),-1.52,-1.30,0.12,1.80,25.05,-3.85,-56.80,-8.36,-25.99,-7.60,-4.41
EPS (Diluted),-1.53,-1.30,0.12,1.80,24.91,-3.85,-56.80,-8.37,-25.99,-7.61,-4.41
EPS Growth,-,-,-93.44%,-92.77%,-,-,-,-,-,-,-
Free Cash Flow,"-1,419","-1,162","-1,867","-1,337",-908,808,282,620,662,275,452
Free Cash Flow Per Share,-5.68,-4.68,-7.51,-5.45,-4.57,7.73,2.71,6.91,8.52,3.54,6.25
Dividend Per Share,-,-,-,-,-,-,-,-,3.420,6.350,6.310
Dividend Growth,-,-,-,-,-,-,-,-,-46.14%,0.63%,5.17%
Gross Margin,65.05%,64.46%,63.05%,62.52%,63.16%,62.25%,62.29%,61.22%,61.05%,62.39%,65.44%
Operating Margin,7.30%,8.46%,13.46%,20.98%,17.86%,16.28%,17.57%,17.57%,15.01%,15.91%,17.63%
Profit Margin,-6.24%,-5.42%,0.50%,7.62%,77.29%,-5.62%,-72.91%,-8.71%,-22.13%,-6.63%,-5.72%
Free Cash Flow Margin,-23.24%,-19.57%,-32.46%,-23.10%,-14.16%,11.29%,3.48%,7.20%,7.25%,3.09%,8.11%
EBITDA,"2,247","2,127","2,189","2,396","2,385","2,763","3,204","3,467","3,554","3,446","2,303"
EBITDA Margin,36.80%,35.83%,38.06%,41.40%,37.20%,38.62%,39.52%,40.26%,38.93%,38.74%,41.30%
D&A For EBITDA,"1,801","1,625","1,415","1,182","1,240","1,598","1,780","1,954","2,184","2,031","1,320"
EBIT,446,502,774,"1,214","1,145","1,165","1,424","1,513","1,370","1,415",983
EBIT Margin,7.30%,8.46%,13.46%,20.98%,17.86%,16.28%,17.57%,17.57%,15.01%,15.91%,17.63%
Effective Tax Rate,-,-,75.21%,26.38%,-,-,-,-,-,-,-
