Period Ending,"Nov '25Nov 18, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Market Capitalization,"4,651","4,763","5,202","5,534","3,544","5,330","4,265","4,087","3,804","3,365","3,498"
Market Cap Growth,-8.68%,-8.43%,-6.01%,56.15%,-33.51%,24.98%,4.34%,7.46%,13.03%,-3.79%,40.73%
Enterprise Value,"4,478","4,680","5,049","5,469","3,510","5,136","4,115","3,900","3,616","3,240","3,403"
Last Close Price,168.07,171.88,184.11,192.07,120.87,177.81,140.10,131.98,120.97,105.18,107.69
PE Ratio,27.28,28.54,32.88,49.85,39.66,37.52,31.20,27.20,28.17,29.23,28.78
Forward PE,23.60,25.04,27.71,30.34,26.73,33.15,29.67,26.74,27.24,25.17,28.37
PS Ratio,2.38,2.50,2.78,3.04,2.11,3.63,3.20,3.13,3.11,2.80,2.94
PB Ratio,4.54,4.77,5.62,6.42,4.20,6.32,5.45,5.62,5.83,5.84,6.81
P/TBV Ratio,5.86,6.14,7.25,8.53,5.87,9.25,8.37,9.12,8.89,9.68,10.76
P/FCF Ratio,18.11,23.41,28.27,40.78,-,61.75,48.39,32.26,29.33,28.19,27.07
P/OCF Ratio,14.85,18.22,20.68,24.50,34.81,30.60,24.97,20.69,23.67,22.99,23.97
PEG Ratio,-,-,-,-,2.86,2.86,2.86,2.67,2.72,2.52,2.84
EV/Sales Ratio,2.31,2.45,2.70,3.00,2.09,3.50,3.08,2.98,2.96,2.70,2.86
EV/EBITDA Ratio,15.02,16.06,18.51,25.12,18.52,22.74,19.13,18.73,18.04,14.86,16.31
EV/EBIT Ratio,19.16,20.42,23.28,32.85,24.44,28.32,23.24,22.11,20.83,16.78,18.44
EV/FCF Ratio,17.55,23.00,27.44,40.30,-,59.50,46.69,30.78,27.88,27.14,26.34
Debt / Equity Ratio,0.04,0.06,0.06,0.04,0.04,0.04,0.03,0.00,-,-,-
Debt / EBITDA Ratio,0.13,0.18,0.20,0.13,0.18,0.14,0.12,0.01,-,-,-
Debt / FCF Ratio,0.16,0.27,0.31,0.22,-,0.39,0.30,0.02,-,-,-
Asset Turnover,1.52,1.54,1.61,1.65,1.53,1.40,1.41,1.53,1.61,1.78,1.78
Inventory Turnover,8.01,8.49,8.67,9.47,9.91,10.44,11.41,11.10,11.00,11.58,11.58
Quick Ratio,1.41,1.38,1.41,1.21,1.18,1.64,2.26,2.27,2.97,2.78,2.52
Current Ratio,2.48,2.38,2.41,2.22,2.12,2.44,3.05,3.08,4.04,3.93,3.67
Return on Equity (ROE),17.30%,17.39%,17.74%,13.04%,10.62%,17.50%,18.14%,21.83%,22.03%,21.17%,22.25%
Return on Assets (ROA),11.44%,11.54%,11.68%,9.44%,8.19%,10.82%,11.66%,12.90%,14.27%,17.87%,17.26%
Return on Capital (ROIC),14.27%,14.06%,14.45%,11.74%,10.22%,13.44%,14.38%,15.96%,17.67%,22.16%,21.08%
Return on Capital Employed (ROCE),20.60%,21.10%,21.20%,17.60%,15.50%,19.60%,20.40%,22.40%,24.40%,30.20%,32.90%
Earnings Yield,3.67%,3.51%,3.05%,2.01%,2.53%,2.67%,3.21%,3.68%,3.56%,3.43%,3.48%
FCF Yield,5.52%,4.27%,3.54%,2.45%,-0.85%,1.62%,2.07%,3.10%,3.41%,3.55%,3.69%
Dividend Yield,2.26%,2.18%,1.93%,1.74%,2.61%,1.66%,1.96%,1.93%,1.94%,2.04%,1.82%
Payout Ratio,61.69%,61.85%,61.74%,83.00%,96.85%,57.07%,55.22%,46.57%,47.69%,51.15%,44.24%
Buyback Yield / Dilution,-0.11%,-0.10%,0.08%,-0.04%,0.17%,-0.08%,0.15%,-0.28%,-0.07%,-0.24%,-0.17%
Total Shareholder Return,2.15%,2.08%,2.00%,1.71%,2.77%,1.58%,2.11%,1.65%,1.87%,1.80%,1.65%
