Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Revenue,"1,936","1,909","1,872","1,823","1,676","1,467","1,334","1,308","1,223","1,202","1,191"
Revenue Growth (YoY),3.16%,2.00%,2.70%,8.72%,14.27%,9.94%,2.03%,6.94%,1.75%,0.90%,7.84%
Cost of Revenue,"1,472","1,453","1,437","1,434","1,321","1,080",976.35,981.59,919.42,883.06,891.48
Gross Profit,463.64,455.65,434.9,388.57,355.72,386.72,358.04,326.2,303.51,318.78,299.63
"Selling, General & Admin",229.9,226.45,218.07,222.09,207.66,200.11,175.88,145.21,125.92,122.18,112.15
Amortization of Goodwill & Intangibles,-,-,-,-,4.44,5.26,5.06,4.6,3.99,3.45,2.91
Operating Expenses,229.9,226.45,218.07,222.09,212.1,205.36,180.95,149.81,129.91,125.64,115.06
Operating Income,233.74,229.2,216.84,166.48,143.62,181.36,177.09,176.39,173.6,193.15,184.57
Interest Expense,-0.08,-0.08,-0.07,-0.1,-0.15,-0.16,-0.07,-,-,-,-
Other Non Operating Income (Expenses),6.7,7.19,6.22,1.89,0.63,0.05,3.2,4.62,2.66,1.16,0.06
EBT Excluding Unusual Items,240.36,236.31,222.99,168.27,144.1,181.25,180.22,181.01,176.26,194.31,184.63
Merger & Restructuring Charges,-10.03,-8.88,-12.97,-,-26.38,-1.2,-0.89,-1.64,-,-,-
Asset Writedown,-,-,-4.5,-24.97,-8.8,-,-,-,-,-,-
Other Unusual Items,-13.97,-13.97,-,-,3.47,5.69,-0.26,16.18,-2.05,-18.79,-
Pretax Income,216.37,213.46,205.52,143.3,112.39,185.75,179.08,195.54,174.2,175.52,184.63
Income Tax Expense,46.54,46.12,46.9,32.01,22.8,43.41,42.09,44.99,38.89,60.2,62.87
Net Income,169.83,167.35,158.61,111.29,89.59,142.33,136.98,150.55,135.31,115.31,121.76
Preferred Dividends & Other Adjustments,0.43,0.46,0.41,0.26,0.22,0.29,0.28,0.26,0.27,0.2,0.24
Net Income to Common,169.4,166.89,158.2,111.03,89.36,142.05,136.71,150.29,135.04,115.12,121.52
Net Income Growth,6.57%,5.51%,42.53%,24.22%,-37.06%,3.91%,-9.01%,11.26%,17.34%,-5.30%,19.74%
Shares Outstanding (Basic),27,27,27,27,27,27,27,27,27,27,27
Shares Outstanding (Diluted),27,27,27,27,27,28,27,28,27,27,27
Shares Change (YoY),0.11%,0.10%,-0.08%,0.04%,-0.17%,0.08%,-0.15%,0.28%,0.07%,0.24%,0.17%
EPS (Basic),6.17,6.08,5.77,4.04,3.26,5.17,4.98,5.48,4.93,4.21,4.45
EPS (Diluted),6.16,6.07,5.76,4.04,3.25,5.16,4.97,5.46,4.92,4.20,4.44
EPS Growth,6.39%,5.38%,42.57%,24.31%,-37.02%,3.82%,-8.97%,10.98%,17.14%,-5.41%,19.37%
Free Cash Flow,255.12,203.5,183.98,135.72,-30.16,86.32,88.13,126.72,129.69,119.38,129.23
Free Cash Flow Per Share,9.28,7.40,6.70,4.94,-1.10,3.14,3.21,4.60,4.72,4.35,4.72
Dividend Per Share,3.800,3.750,3.550,3.350,3.150,2.950,2.750,2.550,2.350,2.150,1.960
Dividend Growth,5.56%,5.63%,5.97%,6.35%,6.78%,7.27%,7.84%,8.51%,9.30%,9.69%,7.69%
Gross Margin,23.95%,23.87%,23.23%,21.32%,21.22%,26.36%,26.83%,24.94%,24.82%,26.52%,25.16%
Operating Margin,12.07%,12.01%,11.58%,9.13%,8.57%,12.36%,13.27%,13.49%,14.19%,16.07%,15.50%
Profit Margin,8.75%,8.74%,8.45%,6.09%,5.33%,9.68%,10.24%,11.49%,11.04%,9.58%,10.20%
Free Cash Flow Margin,13.18%,10.66%,9.83%,7.45%,-1.80%,5.88%,6.60%,9.69%,10.61%,9.93%,10.85%
EBITDA,298.26,291.37,272.73,217.69,189.5,225.87,215.05,208.24,200.5,218.05,208.72
EBITDA Margin,15.41%,15.26%,14.57%,11.94%,11.30%,15.40%,16.12%,15.92%,16.39%,18.14%,17.52%
D&A For EBITDA,64.52,62.17,55.9,51.21,45.88,44.51,37.96,31.85,26.9,24.91,24.15
EBIT,233.74,229.2,216.84,166.48,143.62,181.36,177.09,176.39,173.6,193.15,184.57
EBIT Margin,12.07%,12.01%,11.58%,9.13%,8.57%,12.36%,13.27%,13.49%,14.19%,16.07%,15.50%
Effective Tax Rate,21.51%,21.60%,22.82%,22.34%,20.29%,23.37%,23.51%,23.01%,22.32%,34.30%,34.05%
