Period Ending,"Sep '25Sep 30, 2025","Jun '25Jun 30, 2025","Jun '24Jun 30, 2024","Jun '23Jun 30, 2023","Jun '22Jun 30, 2022","Jun '21Jun 30, 2021","Jun '20Jun 30, 2020","Jun '19Jun 30, 2019","Jun '18Jun 30, 2018","Jun '17Jun 30, 2017","Jun '16Jun 30, 2016"
Cash & Equivalents,182.15,161.48,163.44,88.47,60.28,188.06,198.27,196.29,205.75,143.1,118.08
Cash & Short-Term Investments,182.15,161.48,163.44,88.47,60.28,188.06,198.27,196.29,205.75,143.1,118.08
Cash Growth,34.87%,-1.20%,84.74%,46.76%,-67.94%,-5.15%,1.01%,-4.60%,43.78%,21.19%,-35.19%
Receivables,101.8,95.82,95.56,114.97,135.5,97.9,86.6,75.69,72.96,69.92,66.01
Inventory,174.03,169.3,173.25,158.27,144.7,121.88,85.05,86.07,90.86,76.38,76.1
Other Current Assets,41.34,17.04,11.74,12.76,11.3,15.65,15.69,10.52,9.3,11.74,7.64
Total Current Assets,499.33,443.63,443.99,374.46,351.78,423.48,385.61,368.57,378.88,301.15,267.83
"Property, Plant & Equipment",593.19,586.77,532.82,506.95,479.55,387.08,316.27,247.04,190.81,180.67,169.6
Goodwill,222.77,222.77,208.37,208.37,208.37,208.37,208.37,208.37,168.03,168.03,143.79
Other Intangible Assets,7.57,-,-,4.84,32.32,58.77,65.22,70.28,56.18,60.16,44.87
Other Long-Term Assets,15.6,21.55,21.74,18.37,18.35,23.59,17.89,11.14,10.6,6.4,8.66
Total Assets,"1,338","1,275","1,207","1,113","1,090","1,101",993.35,905.4,804.49,716.41,634.73
Accounts Payable,135.47,117.96,118.81,111.76,114.97,110.34,71.43,76.67,57.98,41.35,39.93
Accrued Expenses,66,52.36,49.96,44.25,37.61,52.54,46.1,41.31,34.48,34,31.81
Current Portion of Leases,-,11.72,12.33,10.77,11.42,9.38,7.34,0.51,-,-,-
Current Income Taxes Payable,-,4.25,2.87,1.98,1.59,1.67,1.39,1.22,1.31,1.27,1.27
Total Current Liabilities,201.47,186.29,183.97,168.75,165.59,173.92,126.26,119.71,93.77,76.62,73
Long-Term Leases,41.04,43.84,45.34,19.22,24.81,23.9,19.47,1.45,-,-,-
Pension & Post-Retirement Benefits,-,0.55,0.92,1.07,2.68,2.82,4.75,3.12,2.24,5.31,9.55
Long-Term Deferred Tax Liabilities,55.95,34.12,37.28,47.33,38.89,38.7,34.24,22.88,16.8,25.21,21.43
Other Long-Term Liabilities,21.23,11.43,13.65,14.36,13.72,18.8,25.33,31.37,39.4,33.29,17.15
Total Liabilities,319.69,276.23,281.16,250.73,245.69,258.14,210.05,178.53,152.21,140.43,121.13
Common Stock,161.45,160.89,153.62,143.87,137.81,128.62,125.15,122.84,119.23,115.17,110.68
Retained Earnings,"1,649","1,628","1,565","1,504","1,485","1,482","1,421","1,360","1,279","1,207","1,150"
Treasury Stock,-792.98,-791.84,-783.85,-776.2,-767,-759.44,-750.9,-745.45,-738.03,-736.93,-736.07
Comprehensive Income & Other,0.95,0.96,-8.64,-9.37,-11.17,-8.25,-12.07,-10.31,-8.26,-8.94,-11.35
Shareholders' Equity,"1,019",998.5,925.77,862.27,844.69,843.15,783.3,726.87,652.28,575.98,513.6
Total Liabilities & Equity,"1,338","1,275","1,207","1,113","1,090","1,101",993.35,905.4,804.49,716.41,634.73
Total Debt,41.04,55.55,57.67,29.99,36.23,33.27,26.81,1.95,-,-,-
Net Cash (Debt),141.11,105.92,105.78,58.49,24.05,154.78,171.46,194.34,205.75,143.1,118.08
Net Cash Growth,52.06%,0.14%,80.86%,143.16%,-84.46%,-9.73%,-11.77%,-5.55%,43.78%,21.19%,-35.19%
Net Cash Per Share,5.13,3.85,3.85,2.13,0.88,5.62,6.24,7.06,7.49,5.22,4.31
Filing Date Shares Outstanding,27.49,27.53,27.53,27.53,27.52,27.53,27.52,27.49,27.49,27.45,27.42
Total Common Shares Outstanding,27.55,27.53,27.53,27.53,27.52,27.53,27.52,27.49,27.49,27.45,27.42
Working Capital,297.86,257.34,260.02,205.71,186.2,249.56,259.35,248.86,285.11,224.52,194.82
Book Value Per Share,36.98,36.26,33.63,31.32,30.69,30.63,28.46,26.44,23.73,20.98,18.73
Tangible Book Value,788.43,775.72,717.4,649.06,603.99,576.01,509.71,448.23,428.08,347.79,324.94
Tangible Book Value Per Share,28.62,28.17,26.06,23.58,21.95,20.92,18.52,16.30,15.57,12.67,11.85
Land,-,347.49,297.91,297.61,223.54,252.17,186.54,163.09,132.32,124.67,116.86
Machinery,-,579.64,536.94,513.46,423.14,424.02,388.93,340.23,293.41,272.58,263.34
Construction In Progress,-,40.88,42.68,42.64,138.96,-,-,-,-,-,-
