Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,281.36,191.66,189.52,87.65,145.97,128.71,76.55
Short-Term Investments,244.35,255.56,113.41,95.98,35.59,108.93,123.71
Cash & Short-Term Investments,525.71,447.22,302.92,183.62,181.57,237.64,200.25
Cash Growth,41.79%,47.64%,64.97%,1.13%,-23.60%,18.67%,-
Receivables,104.2,82.36,77.27,78.76,67.51,66.32,44.24
Inventory,8.65,8.94,9.94,10.18,6.51,4.75,3.96
Prepaid Expenses,20.81,9.51,8.89,7.81,8.93,4.32,4.27
Restricted Cash,-,-,-,-,-,5.14,5.14
Other Current Assets,9.03,19.57,23.06,15.56,8.7,6.1,4.03
Total Current Assets,668.4,567.59,422.08,295.93,273.21,324.27,261.88
"Property, Plant & Equipment",38.8,27.6,30.16,32.91,16.76,16.11,14.82
Long-Term Investments,69.58,36.6,28.86,22.13,-,-,-
Goodwill,28.71,28.71,26.83,26.83,26.83,9.46,-
Other Intangible Assets,9.81,11.31,10.59,11.25,11.23,6.61,-
Long-Term Deferred Tax Assets,12.73,11.07,7.02,12.51,9.8,7.37,3.09
Other Long-Term Assets,6.29,7.68,7.34,1.73,1.96,0.57,0.45
Total Assets,834.32,690.57,532.89,403.29,339.78,364.39,280.24
Accounts Payable,11.14,11.08,8.28,4.61,9.55,4.73,5.36
Accrued Expenses,-,60.04,42.92,40.97,44.9,41.33,22.5
Current Portion of Leases,3.62,4.13,4.97,5,-,-,-
Current Income Taxes Payable,-,0.76,0.83,2.85,8.24,6.61,1.27
Current Unearned Revenue,239.68,216.97,195.73,152.71,122.98,105.54,69.46
Other Current Liabilities,62.49,2.53,1.09,1.63,0.91,1.18,0.56
Total Current Liabilities,316.92,295.5,253.82,207.78,186.57,159.38,99.16
Long-Term Leases,17.82,6.84,9.16,10.35,-,-,-
Long-Term Unearned Revenue,44.39,45.25,47.1,42.17,36.43,33.44,18.93
Other Long-Term Liabilities,7.51,6.95,188.59,69.13,190.13,6.56,2.12
Total Liabilities,386.63,354.55,498.67,329.43,413.13,199.38,120.21
Additional Paid-In Capital,-,-,-,-,-,34.23,25.46
Retained Earnings,-107.8,-164.86,118.14,199.24,78.44,28.34,32.56
Treasury Stock,-0.09,-0.09,-0.09,-0.09,-0.09,-0.09,-
Comprehensive Income & Other,555.57,500.97,-83.85,-125.29,-151.7,1.32,0.8
Total Common Equity,447.69,336.02,34.21,73.87,-73.35,63.8,58.83
Shareholders' Equity,447.69,336.02,34.21,73.87,-73.35,165.01,160.03
Total Liabilities & Equity,834.32,690.57,532.89,403.29,339.78,364.39,280.24
Total Debt,21.44,10.97,14.13,15.36,-,-,-
Net Cash (Debt),573.85,472.86,317.65,190.39,181.57,237.64,200.25
Net Cash Growth,42.99%,48.86%,66.84%,4.86%,-23.60%,18.67%,-
Net Cash Per Share,2.34,2.26,1.67,0.97,1.12,1.92,1.65
Filing Date Shares Outstanding,243.51,239.47,205.26,194.65,188.5,130.83,121.56
Total Common Shares Outstanding,243.51,234.52,203.19,192.97,187.64,129.89,121.56
Working Capital,351.49,272.09,168.26,88.15,86.64,164.89,162.72
Book Value Per Share,1.84,1.43,0.17,0.38,-0.39,0.49,0.46
Tangible Book Value,409.16,296,-3.21,35.78,-111.4,47.73,58.83
Tangible Book Value Per Share,1.68,1.26,-0.02,0.19,-0.59,0.37,0.46
Machinery,-,48.99,41.68,37.89,31.56,26.34,22.75
Leasehold Improvements,-,8.04,7.47,6.67,6.64,6.43,4.4
