Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"4,425","4,807","1,709",827,"1,501",790,-
Market Cap Growth,11.74%,181.22%,106.75%,-44.93%,90.07%,-,-
Enterprise Value,"3,834","4,405","1,438",659,"1,329",-,-
Last Close Price,18.17,22.03,8.66,4.36,8.02,10.53,-
PE Ratio,57.83,-,-,7.12,21.31,-,-
Forward PE,34.49,57.60,40.37,30.88,-,-,-
PS Ratio,9.51,11.98,5.26,3.05,6.10,4.05,-
PB Ratio,9.88,14.31,49.96,11.19,-20.47,4.79,-
P/TBV Ratio,10.77,16.24,-,23.10,-,16.55,-
P/FCF Ratio,31.43,38.89,17.65,60.43,48.52,13.09,-
P/OCF Ratio,28.87,36.37,16.75,40.17,41.64,11.87,-
PEG Ratio,2.10,2.28,0.82,-,-,-,-
EV/Sales Ratio,8.41,10.98,4.42,2.43,5.40,-,-
EV/EBITDA Ratio,53.21,65.25,33.25,64.36,63.62,-,-
EV/EBIT Ratio,62.44,77.41,43.27,631.12,96.18,-,-
EV/FCF Ratio,27.34,35.64,14.85,48.16,42.97,-,-
Debt / Equity Ratio,0.05,0.03,0.41,0.21,-,-,-
Debt / EBITDA Ratio,0.27,0.15,0.29,0.96,-,-,-
Debt / FCF Ratio,0.15,0.09,0.15,1.12,-,-,-
Asset Turnover,0.62,0.66,0.70,0.73,0.70,0.61,-
Inventory Turnover,7.96,6.63,5.29,6.08,7.56,8.69,-
Quick Ratio,1.99,1.79,1.50,1.26,1.34,1.91,2.47
Current Ratio,2.11,1.92,1.66,1.42,1.46,2.04,2.64
Return on Equity (ROE),20.46%,-152.88%,-150.08%,46642.86%,155.78%,3.56%,-
Return on Assets (ROA),5.24%,5.81%,4.44%,0.18%,2.45%,2.15%,-
Return on Capital (ROIC),9.84%,17.99%,30.20%,8.22%,18.85%,4.26%,-
Return on Capital Employed (ROCE),11.90%,14.40%,11.90%,0.50%,9.00%,5.40%,-0.80%
Earnings Yield,1.73%,-5.89%,-4.75%,14.61%,4.76%,0.73%,-
FCF Yield,3.18%,2.57%,5.67%,1.65%,2.06%,7.64%,-
Payout Ratio,-,-,-,-,140.06%,172.98%,-
Buyback Yield / Dilution,-22.84%,-10.16%,2.68%,-20.96%,-30.59%,-1.76%,-
