Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,455.9,401.2,325.11,270.65,246.25,194.91,171.85
Revenue Growth (YoY),18.37%,23.41%,20.12%,9.91%,26.34%,13.42%,-
Cost of Revenue,73.11,62.59,53.23,50.75,42.56,37.88,35.82
Gross Profit,382.8,338.61,271.88,219.91,203.69,157.03,136.03
"Selling, General & Admin",211.79,183.29,154.26,138.24,124.33,91.59,90.98
Research & Development,109.61,98.42,84.39,80.62,65.54,54.38,46.57
Operating Expenses,321.4,281.7,238.64,218.86,189.87,145.97,137.55
Operating Income,61.4,56.91,33.24,1.04,13.82,11.07,-1.52
Interest & Investment Income,374.01,18.22,10.57,2.03,0.85,2.71,3.48
Currency Exchange Gain (Loss),-1.35,-1.35,0.21,0.85,-0.19,-0.45,-0.19
Other Non Operating Income (Expenses),-349.76,-349.76,-119.58,116.85,67.83,-0.09,-0.35
EBT Excluding Unusual Items,84.3,-275.98,-75.56,120.76,82.31,13.25,1.42
Merger & Restructuring Charges,0,-,-,-,-,-1.85,-
Pretax Income,84.3,-275.98,-75.56,120.76,82.31,11.4,1.42
Income Tax Expense,7.97,7.02,5.54,-0.05,10.91,5.62,3.29
Net Income,76.33,-283.01,-81.1,120.81,71.4,5.78,-1.88
Preferred Dividends & Other Adjustments,-,-,-,4.69,0.96,15.13,8.16
Net Income to Common,76.33,-283.01,-81.1,116.11,70.43,-9.34,-10.04
Net Income Growth,-,-,-,69.20%,1135.01%,-,-
Shares Outstanding (Basic),239,209,190,183,144,124,122
Shares Outstanding (Diluted),245,209,190,195,162,124,122
Shares Change (YoY),22.84%,10.16%,-2.68%,20.96%,30.59%,1.76%,-
EPS (Basic),0.32,-1.35,-0.43,0.64,0.49,-0.08,-0.08
EPS (Diluted),0.31,-1.35,-0.43,0.59,0.44,-0.08,-0.08
EPS Growth,-,-,-,34.09%,-,-,-
Free Cash Flow,140.25,123.61,96.83,13.68,30.94,60.33,9.92
Free Cash Flow Per Share,0.57,0.59,0.51,0.07,0.19,0.49,0.08
Gross Margin,83.96%,84.40%,83.63%,81.25%,82.72%,80.57%,79.16%
Operating Margin,13.47%,14.18%,10.22%,0.39%,5.61%,5.68%,-0.88%
Profit Margin,16.74%,-70.54%,-24.95%,42.90%,28.60%,-4.79%,-5.84%
Free Cash Flow Margin,30.76%,30.81%,29.78%,5.05%,12.57%,30.95%,5.78%
EBITDA,72.06,67.51,43.25,10.24,20.9,16.95,2.56
EBITDA Margin,15.80%,16.83%,13.30%,3.78%,8.49%,8.69%,1.49%
D&A For EBITDA,10.66,10.61,10.01,9.19,7.07,5.88,4.08
EBIT,61.4,56.91,33.24,1.04,13.82,11.07,-1.52
EBIT Margin,13.47%,14.18%,10.22%,0.39%,5.61%,5.68%,-0.88%
Effective Tax Rate,9.45%,-,-,-,13.25%,49.28%,232.58%
Revenue as Reported,455.9,401.2,325.11,270.65,246.25,194.91,171.85
