Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,671","4,630","7,207","8,841","15,190","13,905","13,970","15,706","28,227","32,052","36,792"
Market Cap Growth,-48.17%,-35.75%,-18.49%,-41.79%,9.24%,-0.47%,-11.05%,-44.36%,-11.93%,-12.88%,-15.82%
Enterprise Value,"11,381","20,214","20,948","20,228","28,558","20,642","35,345","44,964","76,311","77,529","83,726"
Last Close Price,10.70,12.76,9.15,9.75,14.29,12.48,11.71,10.99,18.46,15.76,19.04
PE Ratio,-,2.92,-,6.00,1.13,-,1.21,21.65,-,18.80,-
Forward PE,-,-,-,12.27,4.76,22.50,-,21.16,-,-,73.63
PS Ratio,0.78,1.07,1.75,2.20,1.47,1.20,1.26,1.31,2.50,2.33,2.16
PB Ratio,0.28,0.37,0.38,0.39,0.59,1.05,1.06,3.79,4.42,2.18,3.62
P/TBV Ratio,0.47,0.58,0.48,0.82,1.08,17.02,-,-,-,-,-
P/FCF Ratio,21.49,4.12,5.79,4.54,7.10,4.81,4.09,3.48,6.33,7.28,10.63
P/OCF Ratio,2.66,2.28,3.33,3.12,4.28,3.32,3.05,2.63,4.95,5.40,6.42
PEG Ratio,-,-,-,-,-,-,-,-,-,-,0.78
EV/Sales Ratio,2.39,4.66,5.09,5.04,2.77,1.79,3.18,3.76,6.77,5.65,4.91
EV/EBITDA Ratio,10.61,20.46,22.01,15.98,7.81,4.74,8.10,9.22,16.48,13.31,10.62
EV/EBIT Ratio,183.56,-,-,117.47,21.95,9.70,43.35,44.19,90.76,45.36,36.85
EV/FCF Ratio,67.06,17.98,16.84,10.39,13.34,7.14,10.34,9.97,17.12,17.62,24.20
Debt / Equity Ratio,0.74,0.80,0.54,0.72,0.67,1.35,2.30,7.52,5.38,2.63,4.74
Debt / EBITDA Ratio,8.02,9.14,9.83,12.20,4.36,3.97,6.74,6.39,7.43,6.65,6.12
Debt / FCF Ratio,56.28,8.93,8.22,8.37,7.97,6.19,8.87,6.91,7.72,8.81,13.95
Asset Turnover,0.14,0.13,0.10,0.09,0.20,0.21,0.22,0.22,0.18,0.20,0.24
Quick Ratio,0.85,0.93,0.95,1.43,1.07,0.93,1.14,0.31,0.36,0.53,0.30
Current Ratio,0.96,1.05,1.30,1.61,1.45,1.29,1.22,0.40,0.44,0.73,0.37
Return on Equity (ROE),-11.68%,11.85%,-17.60%,3.20%,69.56%,-11.51%,-17.02%,-26.78%,-22.25%,13.25%,-9.07%
Return on Assets (ROA),0.11%,-0.03%,-0.39%,0.24%,1.53%,2.46%,1.00%,1.15%,0.83%,1.57%,2.02%
Return on Capital (ROIC),0.13%,-0.03%,-0.48%,0.26%,2.20%,3.56%,1.29%,1.67%,1.11%,1.91%,2.34%
Return on Capital Employed (ROCE),0.30%,-0.10%,-0.70%,0.40%,3.00%,3.90%,2.00%,2.40%,1.80%,2.90%,3.90%
Earnings Yield,-54.20%,34.30%,-56.22%,16.66%,88.39%,-11.71%,82.47%,4.62%,-9.84%,5.32%,-3.13%
FCF Yield,4.65%,24.29%,17.26%,22.02%,14.09%,20.81%,24.46%,28.72%,15.79%,13.73%,9.40%
Buyback Yield / Dilution,7.65%,11.86%,14.35%,12.67%,5.48%,14.69%,9.36%,8.16%,16.12%,-11.25%,-13.74%
