Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020",2015 - 2019
Cash & Equivalents,"1,674","1,816","1,410","1,726",910.6,"1,327",Upgrade
Short-Term Investments,-,335.6,"1,991","2,622","2,270","1,600",Upgrade
Trading Asset Securities,143.5,253.8,235.3,381.4,214.9,148.8,Upgrade
Cash & Short-Term Investments,"1,818","2,406","3,636","4,729","3,395","3,076",Upgrade
Cash Growth,-49.79%,-33.84%,-23.12%,39.30%,10.37%,-63.44%,Upgrade
Accounts Receivable,640.3,505.8,447.1,865.6,969.8,"1,106",Upgrade
Other Receivables,-,7.2,34.6,18.5,5.1,7.1,Upgrade
Receivables,640.3,513,481.7,884.1,974.9,"1,113",Upgrade
Other Current Assets,320.2,381.6,"1,524",684.1,"1,571","1,613",Upgrade
Total Current Assets,"2,778","3,300","5,642","6,297","5,941","5,802",Upgrade
"Property, Plant & Equipment","5,935","5,037","5,067","8,229","8,309","9,067",Upgrade
Long-Term Investments,"11,141","12,057","13,655","15,674","19,271","5,192",Upgrade
Goodwill,"3,615","3,153","3,308","9,316","9,523","9,966",Upgrade
Other Intangible Assets,"1,402","1,290",673.6,"2,342","2,343","2,880",Upgrade
Long-Term Deferred Tax Assets,-,-,-,233.8,423.4,565.1,Upgrade
Other Long-Term Assets,523.4,602.5,"13,743",802.7,"1,107","25,621",Upgrade
Total Assets,"25,395","25,440","42,088","42,895","46,917","59,093",Upgrade
Accounts Payable,404.2,371.2,407.5,610.1,613.4,579.1,Upgrade
Accrued Expenses,952.8,856.4,886,"1,325","1,290","1,345",Upgrade
Current Portion of Long-Term Debt,750.8,"1,034",591.9,"1,086","1,059","1,257",Upgrade
Current Portion of Leases,96.3,85.1,69.8,145.2,138.7,176.6,Upgrade
Current Income Taxes Payable,192.2,272.5,263.5,235.6,236.6,252.7,Upgrade
Current Unearned Revenue,285.4,285.3,169.8,264.4,274.7,426.9,Upgrade
Other Current Liabilities,225.3,229.8,"1,944",254.3,472,473.2,Upgrade
Total Current Liabilities,"2,907","3,134","4,333","3,921","4,085","4,511",Upgrade
Long-Term Debt,"7,944","8,216","8,862","12,976","14,161","14,676",Upgrade
Long-Term Leases,759.7,702.1,706,"2,082","1,710","1,805",Upgrade
Long-Term Unearned Revenue,5.2,4.2,2.7,8.1,11.8,10.4,Upgrade
Long-Term Deferred Tax Liabilities,-,405,299.4,533.8,544.5,653.3,Upgrade
Other Long-Term Liabilities,816.6,433.8,"8,877",800.3,806.8,"24,139",Upgrade
Total Liabilities,"12,433","12,895","23,081","20,322","21,319","45,794",Upgrade
Common Stock,3.3,3.4,3.8,4.6,5.3,5.8,Upgrade
Additional Paid-In Capital,719.8,777,"1,323","2,301","3,893","5,272",Upgrade
Retained Earnings,"8,022","12,243","15,566","19,618","18,145","4,692",Upgrade
Treasury Stock,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,Upgrade
Comprehensive Income & Other,"3,999",-657,"2,170",513.4,"3,892","3,693",Upgrade
Total Common Equity,"12,744","12,366","19,063","22,436","25,935","13,663",Upgrade
Minority Interest,218.3,178.4,-55.2,137,-336.9,-364.2,Upgrade
Shareholders' Equity,"12,962","12,544","19,007","22,573","25,598","13,298",Upgrade
Total Liabilities & Equity,"25,395","25,440","42,088","42,895","46,917","59,093",Upgrade
Total Debt,"9,551","10,037","10,230","16,290","17,069","17,915",Upgrade
Net Cash (Debt),"-7,733","-7,632","-6,594","-11,561","-13,674","-14,839",Upgrade
Net Cash Per Share,-22.29,-20.34,-15.49,-23.26,-24.03,-24.65,Upgrade
Filing Date Shares Outstanding,336.78,348.75,377.55,456.14,522.87,577.41,Upgrade
Total Common Shares Outstanding,337.67,348.73,382.61,459.35,527.36,580.5,Upgrade
Working Capital,-128.8,166.4,"1,309","2,376","1,856","1,291",Upgrade
Book Value Per Share,37.74,35.46,49.82,48.84,49.18,23.54,Upgrade
Tangible Book Value,"7,727","7,923","15,081","10,778","14,069",817,Upgrade
Tangible Book Value Per Share,22.88,22.72,39.42,23.46,26.68,1.41,Upgrade
Machinery,"11,217","9,064","8,848","14,540","15,063","15,461",Upgrade
