Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Market Capitalization,"2,820",-,-,-
Enterprise Value,"2,531",-,-,-
Debt / Equity Ratio,0.06,0.08,0.06,-
Debt / EBITDA Ratio,0.67,0.28,0.27,-
Debt / FCF Ratio,0.44,0.60,0.71,-
Asset Turnover,-,3.11,-,-
Inventory Turnover,-,4.46,-,-
Quick Ratio,1.50,1.10,1.30,-
Current Ratio,2.57,2.17,2.59,-
Return on Equity (ROE),-,19.60%,-,-
Return on Assets (ROA),-,9.43%,-,-
Return on Capital (ROIC),-,14.70%,-,-
Return on Capital Employed (ROCE),4.00%,21.40%,15.80%,-
Buyback Yield / Dilution,-2.96%,-0.00%,-0.14%,-
