Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,312.8,175.62,127.23,-
Cash & Short-Term Investments,312.8,175.62,127.23,-
Cash Growth,-,38.03%,-,-
Accounts Receivable,106.14,95.73,66.42,-
Other Receivables,-,11.2,9.69,-
Receivables,106.14,106.93,76.12,-
Inventory,268.89,264.1,190.88,-
Prepaid Expenses,30.25,11.44,10.71,-
Total Current Assets,718.09,558.08,404.94,-
"Property, Plant & Equipment",67.92,62.91,43.01,-
Goodwill,25.94,25.94,25.94,-
Other Intangible Assets,3.51,6.91,9.96,-
Long-Term Deferred Tax Assets,-,7.98,6.68,-
Other Long-Term Assets,27.66,2.61,0.39,-
Total Assets,843.11,664.42,490.92,-
Accounts Payable,217.4,211.56,124.69,-
Accrued Expenses,49.19,37.85,25.67,-
Current Portion of Leases,9.65,8.03,6.05,-
Other Current Liabilities,2.78,0.27,0.24,-
Total Current Liabilities,279.02,257.7,156.64,-
Long-Term Leases,21.36,22.1,13.05,-
Other Long-Term Liabilities,1.35,5.3,8.23,-
Total Liabilities,301.74,285.1,177.92,-
Common Stock,0.18,0,0,-
Additional Paid-In Capital,542.31,2.76,5.66,-
Retained Earnings,-,106.86,39,-
Comprehensive Income & Other,-1.11,-0.99,-2.35,-
Total Common Equity,541.37,108.64,42.31,-
Shareholders' Equity,541.37,379.33,313,-
Total Liabilities & Equity,843.11,664.42,490.92,-
Total Debt,31.01,30.13,19.1,-
Net Cash (Debt),281.79,145.49,108.13,-
Net Cash Growth,-,34.55%,-,-
Net Cash Per Share,3.02,1.60,1.19,-
Filing Date Shares Outstanding,0.18,3.8,3.37,90.64
Total Common Shares Outstanding,0.18,3.8,3.37,90.64
Working Capital,439.06,300.38,248.3,-
Book Value Per Share,3073.90,28.60,12.54,-
Tangible Book Value,511.93,75.79,6.42,-
Tangible Book Value Per Share,2906.71,19.95,1.90,-
Land,-,3.98,3.98,-
Buildings,-,0.33,-,-
Machinery,-,14.56,9.04,-
Construction In Progress,-,4.15,1.68,-
Leasehold Improvements,-,4.46,2.95,-
