Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Revenue,"2,294","1,796","1,366",990.54
Revenue Growth (YoY),-,31.45%,37.95%,-
Cost of Revenue,"1,297","1,015",765.2,561.62
Gross Profit,996.64,781.35,601.21,428.92
"Selling, General & Admin",932.19,676.18,533.79,413.96
Research & Development,41.97,17.99,14.64,10.83
Operating Expenses,974.16,694.17,548.43,424.79
Operating Income,22.48,87.18,52.79,4.12
Interest Expense,-,-0.1,-0.03,-0.5
Interest & Investment Income,6.6,6.16,2.88,-
Other Non Operating Income (Expenses),-33.5,-2.01,0.71,0.74
EBT Excluding Unusual Items,-4.43,91.24,56.34,4.36
Impairment of Goodwill,-,-,-,-6.05
Pretax Income,-4.43,91.24,56.34,-1.69
Income Tax Expense,-10.15,23.38,15.08,1.28
Net Income,5.73,67.86,41.26,-2.98
Preferred Dividends & Other Adjustments,25.37,25.37,21.43,17.99
Net Income to Common,-19.64,42.49,19.83,-20.97
Net Income Growth,-,64.44%,-,-
Shares Outstanding (Basic),93,91,91,91
Shares Outstanding (Diluted),93,91,91,91
Shares Change (YoY),2.95%,0.00%,0.14%,-
EPS (Basic),-0.21,0.47,0.22,-0.23
EPS (Diluted),-1.85,0.47,0.22,-0.23
EPS Growth,-,114.26%,-,-
Free Cash Flow,70.78,49.9,26.98,-1.97
Free Cash Flow Per Share,0.76,0.55,0.30,-0.02
Gross Margin,43.45%,43.50%,44.00%,43.30%
Operating Margin,0.98%,4.85%,3.86%,0.42%
Profit Margin,-0.86%,2.37%,1.45%,-2.12%
Free Cash Flow Margin,3.09%,2.78%,1.97%,-0.20%
EBITDA,38.98,101.99,64.89,13.71
EBITDA Margin,1.70%,5.68%,4.75%,1.38%
D&A For EBITDA,16.49,14.81,12.1,9.59
EBIT,22.48,87.18,52.79,4.12
EBIT Margin,0.98%,4.85%,3.86%,0.42%
Effective Tax Rate,-,25.62%,26.76%,-
