Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,330.75,277.86,597.17,230.33,312.32,223.38,7.44,0.23,41.65,5.53,2.01
Short-Term Investments,-,134.27,-,-,10.8,-,-,-,-,7.51,-
Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,14.15
Cash & Short-Term Investments,330.75,412.13,597.17,230.33,323.12,223.38,7.44,0.23,41.65,13.04,16.16
Cash Growth,-39.41%,-30.99%,159.27%,-28.72%,44.65%,2902.45%,3206.67%,-99.46%,219.50%,-19.33%,-34.14%
Receivables,28.62,33.6,40.07,46.68,25.26,-,-,-,-,-,-
Prepaid Expenses,47.08,39.99,29.11,32.66,7.14,1.26,1.35,1.38,0.54,0.22,0.25
Restricted Cash,75.61,73.44,-,-,-,-,-,-,-,-,-
Other Current Assets,46.53,40.32,342.23,133.72,209.07,11.63,3.84,0.71,0.2,0.49,-
Total Current Assets,528.59,599.48,"1,009",443.38,564.59,236.27,12.63,2.31,42.39,13.74,16.41
"Property, Plant & Equipment","1,395","1,366",724.61,714.23,289.67,10.14,5.42,0.03,4.29,0.01,1.95
Long-Term Investments,-,5.35,4.71,-,-,0.31,9.72,9.41,3,-,0.97
Goodwill,122.5,121.89,-,-,335.56,-,-,-,1.19,0.39,0.39
Other Intangible Assets,31.13,34.05,15.7,21.48,14.16,0.34,0.46,1.21,1.26,0.55,1.14
Other Long-Term Assets,"2,402","1,808",297.5,140.88,318.01,33.09,2.15,0.7,-,2.35,-
Total Assets,"4,479","3,935","2,051","1,320","1,522",280.15,30.38,13.86,52.34,17.04,20.86
Accounts Payable,12.7,17.61,23.16,18.45,20.04,0.72,0.72,3.83,0.41,0.25,0.7
Accrued Expenses,58.19,60.53,38.92,48.84,9.96,1.58,2.19,1.53,0.22,0.31,0.69
Short-Term Debt,-,-,-,-,-,-,-,-,0.14,0.14,0.14
Current Portion of Long-Term Debt,253.24,0.31,0.26,-,-,-,-,-,-,-,0.16
Current Portion of Leases,6.14,4.62,2.42,2.01,1.18,-,0.37,-,-,-,-
Current Unearned Revenue,20.19,12.54,6.53,11.33,8.11,0.1,0.1,0.1,0.1,0.1,0.1
Other Current Liabilities,8.09,64.78,49.73,40.92,70.59,-,-,1.2,0.18,0.26,-
Total Current Liabilities,358.55,160.39,121.02,121.54,109.88,2.4,3.37,6.66,1.04,1.06,1.79
Long-Term Debt,586.5,584.31,0.53,-,-,-,-,1.7,-,-,1.84
Long-Term Leases,25.96,23.92,18.92,20.24,12.26,-,-,-,-,-,-
Long-Term Unearned Revenue,-,13.59,15.8,17.87,19.8,0.68,0.78,0.87,0.97,1.07,1.16
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,0.14,0.7,-,-
Other Long-Term Liabilities,3.05,9.42,6.79,8.87,31.69,-,-,-,-,-,-
Total Liabilities,974.07,791.62,163.06,168.52,173.62,3.08,4.14,9.37,2.71,2.12,4.79
Common Stock,"4,167","3,834","2,688","1,908","1,595",506.96,243.46,202.92,180.39,124.78,121.65
Retained Earnings,-662.85,-690.42,-799.82,-756.34,-246.79,-229.91,-217.24,-197.2,-139.26,-109.86,-105.58
Comprehensive Income & Other,0.22,0.22,0.15,-,-,-,-,-,-,-,-
Total Common Equity,"3,505","3,144","1,888","1,151","1,348",277.05,26.22,5.72,41.12,14.92,16.07
Minority Interest,-,-,-,-,-,-,-0.01,-1.3,0.76,-,-
Shareholders' Equity,"3,505","3,144","1,888","1,151","1,348",277.07,26.24,4.49,49.63,14.92,16.07
Total Liabilities & Equity,"4,479","3,935","2,051","1,320","1,522",280.15,30.38,13.86,52.34,17.04,20.86
Total Debt,871.85,613.16,22.13,22.25,13.44,-,0.37,1.7,0.14,0.14,2.14
Net Cash (Debt),-541.11,-201.04,575.04,208.08,309.68,223.38,7.07,-1.47,41.52,12.9,14.02
Net Cash Growth,-,-,176.36%,-32.81%,38.63%,3058.68%,-,-,221.91%,-8.01%,-36.92%
Net Cash Per Share,-1.31,-0.63,3.29,1.49,3.31,5.32,0.36,-0.11,6.90,3.17,3.62
Filing Date Shares Outstanding,371.81,350.21,253.54,166.98,117.27,84.12,31.03,14.76,11.62,4.5,3.88
Total Common Shares Outstanding,371.12,344.89,230.84,167.75,116.75,78.52,25.08,14.52,11.62,4.5,3.88
Working Capital,170.05,439.09,887.56,321.84,454.71,233.87,9.26,-4.35,41.35,12.69,14.62
Book Value Per Share,9.44,9.12,8.18,6.86,11.55,3.53,1.05,0.39,3.54,3.31,4.15
Tangible Book Value,"3,351","2,988","1,872","1,130",998.63,276.71,25.76,4.51,38.67,13.98,14.55
Tangible Book Value Per Share,9.03,8.66,8.11,6.74,8.55,3.52,1.03,0.31,3.33,3.10,3.75
Land,61.8,10.9,10.32,10.16,-,-,-,-,-,-,1.11
Buildings,790.16,715.86,348.87,229.69,88.81,-,-,-,-,-,2.84
Machinery,53.9,47.46,41.25,36.33,16.62,0.08,0.1,0.09,4.76,0.12,1.17
Construction In Progress,111.62,82.97,166.97,97.23,113.6,-,-,-,-,-,-
Leasehold Improvements,-,-,-,-,-,-,0.04,-,-,-,-
