Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"11,864","3,775","3,283","2,786","10,168","12,884","7,338","3,223",-,-
Market Cap Growth,342.59%,14.96%,17.84%,-72.60%,-21.09%,75.59%,127.64%,-,-,-
Enterprise Value,"12,611","4,187","3,487","3,045","9,850","11,923","6,559","3,491",-,-
Last Close Price,94.13,30.55,27.05,27.20,100.02,128.88,78.14,37.59,-,-
PS Ratio,12.95,5.11,5.82,6.20,27.21,44.94,34.23,35.56,-,-
PB Ratio,-,-27.03,20.69,46.30,15.76,9.51,8.65,6.14,-,-
P/TBV Ratio,-,-,22.43,61.69,16.20,10.07,9.41,6.78,-,-
EV/Sales Ratio,13.97,5.67,6.18,6.77,26.36,41.58,30.60,38.52,-,-
Debt / Equity Ratio,-3.74,-9.57,8.53,22.75,2.13,0.63,0.05,-,0.00,0.21
Asset Turnover,0.64,0.45,0.33,0.24,0.17,0.18,0.28,0.20,0.22,-
Inventory Turnover,4.02,4.36,4.00,3.80,4.60,4.88,5.82,5.26,6.29,-
Quick Ratio,2.47,4.21,6.11,5.74,5.29,27.66,7.85,9.69,11.93,6.92
Current Ratio,3.50,4.68,6.54,6.17,5.72,28.27,8.21,9.99,12.38,7.22
Return on Equity (ROE),-,-4584.47%,-438.12%,-185.65%,-38.46%,-22.35%,-9.88%,-20.22%,-42.86%,-
Return on Assets (ROA),-19.64%,-16.95%,-17.71%,-17.84%,-11.48%,-9.85%,-6.64%,-12.49%,-20.03%,-
Return on Capital (ROIC),-24.56%,-20.47%,-20.45%,-19.73%,-12.15%,-10.29%,-7.29%,-13.93%,-22.66%,-
Earnings Yield,-3.36%,-11.56%,-14.60%,-23.49%,-3.99%,-1.97%,-1.03%,-2.64%,-,-
FCF Yield,-2.21%,-7.28%,-10.52%,-13.89%,-2.79%,-1.09%,-0.90%,-2.87%,-,-
Buyback Yield / Dilution,-2.22%,-9.61%,-9.60%,-0.85%,-3.91%,-7.62%,-197.99%,-141.64%,3.61%,-
