Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,902.57,739.02,563.95,449.54,373.65,286.73,214.38,90.64,49.84,25.25
Revenue Growth (YoY),30.38%,31.04%,25.45%,20.31%,30.31%,33.75%,136.52%,81.85%,97.40%,-
Cost of Revenue,327.11,289.8,227.05,156.33,122.91,92.54,70.72,43.21,31.62,22.12
Gross Profit,575.46,449.22,336.9,293.21,250.74,194.2,143.66,47.43,18.22,3.13
"Selling, General & Admin",658.32,545.06,451.03,463.78,398.52,299.28,139.73,89.66,66.27,36.11
Research & Development,359.47,347.75,367.19,373.81,263.22,149.86,86.29,50.71,25.56,10.86
Operating Expenses,"1,018",892.81,818.22,837.59,661.74,449.15,226.03,140.37,91.84,46.97
Operating Income,-442.33,-443.59,-481.33,-544.38,-411,-254.95,-82.37,-92.94,-73.61,-43.85
Interest Expense,-3.36,-2.58,-2.58,-2.58,-2.58,-4.77,-1.18,-1.25,-2.7,-3.02
Interest & Investment Income,35.72,53.69,35.37,6.07,3.93,10.17,13.74,5.27,2.23,0.73
Other Non Operating Income (Expenses),14.62,1.8,2.52,-99.51,0.18,3.64,0.09,0.45,-1.06,-0
EBT Excluding Unusual Items,-395.36,-390.69,-446.02,-640.4,-409.47,-245.9,-69.72,-88.48,-75.14,-46.13
Gain (Loss) on Sale of Investments,-2.18,-44.4,50.66,-13.05,-,-,-,-,-,-
Legal Settlements,-,-,-83.4,-,-,-,-,4.25,-3,-
Other Unusual Items,-0.08,-,-,-,25,-,-,-,-5.08,-
Pretax Income,-397.61,-435.09,-478.76,-653.45,-384.47,-245.9,-69.72,-84.23,-83.21,-46.13
Income Tax Expense,1.18,1.28,0.69,1.14,0.3,0.38,-1.87,0.04,0.01,0.01
Earnings From Continuing Operations,-398.79,-436.37,-479.45,-654.59,-384.77,-246.28,-67.85,-84.26,-83.22,-46.14
Minority Interest in Earnings,-,-,-,-,-20.9,-7.5,-7.8,-0.8,-,-
Net Income,-398.79,-436.37,-479.45,-654.59,-405.67,-253.78,-75.65,-85.06,-83.22,-46.14
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,5.77,-
Net Income to Common,-398.79,-436.37,-479.45,-654.59,-405.67,-253.78,-75.65,-85.06,-89,-46.14
Shares Outstanding (Basic),124,123,112,102,101,98,91,30,13,13
Shares Outstanding (Diluted),124,123,112,102,101,98,91,30,13,13
Shares Change (YoY),2.22%,9.61%,9.60%,0.85%,3.91%,7.62%,197.99%,141.64%,-3.61%,-
EPS (Basic),-3.21,-3.56,-4.28,-6.41,-4.00,-2.60,-0.84,-2.80,-7.07,-3.53
EPS (Diluted),-3.21,-3.56,-4.28,-6.41,-4.00,-2.60,-0.84,-2.80,-7.07,-3.53
Free Cash Flow,-262.23,-274.94,-345.46,-386.92,-284.05,-140.1,-65.85,-92.39,-78.92,-38.48
Free Cash Flow Per Share,-2.11,-2.24,-3.08,-3.79,-2.80,-1.44,-0.73,-3.04,-6.27,-2.95
Gross Margin,63.76%,60.79%,59.74%,65.22%,67.11%,67.73%,67.01%,52.33%,36.56%,12.38%
Operating Margin,-49.01%,-60.02%,-85.35%,-121.10%,-110.00%,-88.92%,-38.42%,-102.54%,-147.69%,-173.66%
Profit Margin,-44.18%,-59.05%,-85.02%,-145.61%,-108.57%,-88.51%,-35.29%,-93.85%,-178.55%,-182.74%
Free Cash Flow Margin,-29.05%,-37.20%,-61.26%,-86.07%,-76.02%,-48.86%,-30.72%,-101.93%,-158.33%,-152.39%
EBITDA,-402.19,-401.21,-438.44,-508.42,-388.73,-238.89,-70.96,-85.81,-68.41,-40.15
EBITDA Margin,-44.56%,-54.29%,-77.75%,-113.10%,-104.04%,-83.31%,-33.10%,-94.67%,-137.25%,-159.03%
D&A For EBITDA,40.14,42.39,42.88,35.96,22.27,16.07,11.41,7.14,5.21,3.69
EBIT,-442.33,-443.59,-481.33,-544.38,-411,-254.95,-82.37,-92.94,-73.61,-43.85
EBIT Margin,-49.01%,-60.02%,-85.35%,-121.10%,-110.00%,-88.92%,-38.42%,-102.54%,-147.69%,-173.66%
Revenue as Reported,739.02,739.02,563.95,449.54,373.65,286.73,214.38,90.64,49.84,25.25
Advertising Expenses,-,-,-,-,2.4,1.2,1.3,0.2,0.3,0.6
