Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,470.51,525.54,"1,134",141.65,492.2,832.98,143.23,140.54,72.28,33.59
Short-Term Investments,-,314.44,35.1,869.58,440.55,961.9,379.57,278.42,149.04,61.67
Cash & Short-Term Investments,470.51,839.98,"1,169","1,011",932.75,"1,795",522.8,418.96,221.32,95.26
Cash Growth,-49.24%,-28.12%,15.57%,8.41%,-48.03%,243.32%,24.79%,89.30%,132.34%,-
Receivables,115.59,110.25,88.78,97.26,97.65,53.3,47.99,35.69,12.79,3.5
Inventory,90.49,71.08,61.95,51.6,30.67,22.72,15.18,9.14,7.29,2.77
Prepaid Expenses,42.8,33.8,27.74,31.51,53.05,17.47,11.39,5.2,1.54,1.57
Total Current Assets,828.89,"1,055","1,347","1,192","1,114","1,888",597.36,468.99,242.94,103.09
"Property, Plant & Equipment",288.16,279.08,302.71,341.92,313.9,100.13,72.81,31,16.04,12.63
Long-Term Investments,20.1,16.1,106.6,43.3,737.43,246.6,268.78,77.56,73.25,-
Goodwill,3.29,3.29,3.29,3.29,3.29,3.29,3.29,-,-,-
Other Intangible Assets,5.48,6.76,8.98,11.73,14.21,16.16,15.41,7.8,8.74,-
Long-Term Accounts Receivable,-,-,-,-,-,-,1,-,-,-
Other Long-Term Assets,130.88,125.27,17.73,18.15,21.54,17.25,3.88,2.05,1.97,0.84
Total Assets,"1,277","1,486","1,786","1,610","2,204","2,272",962.54,587.4,342.94,116.57
Accounts Payable,20.14,38.55,51.74,68.91,38.52,7.34,16.2,10.64,5,3.16
Accrued Expenses,143.52,83.22,72.74,55.79,42.5,38.5,31.65,18.35,7.41,8.04
Current Portion of Leases,26.4,29.21,27.95,21.88,12.86,6.63,7.14,-,0.2,0.13
Current Income Taxes Payable,-,-,-,-,-,4.63,3.05,1.47,0.91,0.35
Current Unearned Revenue,46.86,35.47,17.97,17.4,11.33,8.55,12.28,16.14,3.11,1.9
Other Current Liabilities,-,39.13,35.53,29.24,89.49,1.16,2.42,0.34,3,0.71
Total Current Liabilities,236.92,225.58,205.92,193.22,194.69,66.81,72.73,46.94,19.63,14.28
Long-Term Debt,"1,115","1,143","1,140","1,137","1,135",806.29,-,-,-,16.48
Long-Term Leases,185.39,164.29,185.85,210.02,226.05,41.57,33.26,-,0.46,0.43
Long-Term Unearned Revenue,56.4,41.6,22.9,3.8,-,-,-,-,-,-
Other Long-Term Liabilities,37.96,51.23,73.11,5.38,3.93,1.52,8.55,15.51,14.25,5.68
Total Liabilities,"1,631","1,625","1,628","1,550","1,559",916.19,114.54,62.45,34.33,36.87
Common Stock,0,0,0,0,0,0,0,0,-,-
Additional Paid-In Capital,"2,561","2,444","2,304","1,742","1,658","1,902","1,150",764.03,4.9,7.41
Retained Earnings,"-2,866","-2,578","-2,142","-1,662","-1,008",-606.59,-352.81,-280.8,-195.74,-107.63
Comprehensive Income & Other,-4.26,-5.2,-3.68,-19.52,-4.76,2.7,1.11,-0.08,-0.53,-0.09
Total Common Equity,-354.47,-139.65,158.68,60.18,645.01,"1,298",798.39,483.15,-191.37,-100.3
Minority Interest,-,-,-,-,-,57.1,49.6,41.8,-,-
Shareholders' Equity,-354.47,-139.65,158.68,60.18,645.01,"1,356",847.99,524.95,308.61,79.7
Total Liabilities & Equity,"1,277","1,486","1,786","1,610","2,204","2,272",962.54,587.4,342.94,116.57
Total Debt,"1,326","1,336","1,354","1,369","1,374",854.49,40.4,-,0.66,17.04
Net Cash (Debt),-855.87,-496.07,-185.13,-358.05,257.05,"1,187",751.19,496.52,293.92,78.22
Net Cash Growth,-,-,-,-,-78.34%,58.02%,51.29%,68.94%,275.77%,-
Net Cash Per Share,-6.89,-4.04,-1.65,-3.50,2.54,12.17,8.29,16.33,23.36,5.99
Filing Date Shares Outstanding,126.04,123.42,121.71,102.66,101.87,100.43,94.38,85.93,11.9,13.18
Total Common Shares Outstanding,125.01,123.99,121.63,102.62,101.77,100.21,94.26,85.83,11.9,13.18
Working Capital,591.97,829.53,"1,141",998.37,919.44,"1,822",524.62,422.05,223.31,88.81
Book Value Per Share,-2.84,-1.13,1.30,0.59,6.34,12.96,8.47,5.63,-16.09,-7.61
Tangible Book Value,-363.24,-149.7,146.42,45.16,627.51,"1,279",779.69,475.35,-200.11,-100.3
Tangible Book Value Per Share,-2.91,-1.21,1.20,0.44,6.17,12.76,8.27,5.54,-16.82,-7.61
Machinery,187.52,168.94,160.53,133.88,83.39,54.12,37.38,29.91,18.96,12.37
Construction In Progress,21.39,28.14,7.51,20.6,55.87,7.83,6.35,3.12,0.35,-
Leasehold Improvements,105.02,103.57,102.3,99.78,38.7,34.04,21.03,13.97,6.77,6.68
