Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,907.23,955.7,890.72,584.2,571.3,553,531.26,507.69,474.28,437.8,400.63
Revenue Growth (YoY),-7.05%,7.29%,52.47%,2.26%,3.31%,4.09%,4.64%,7.05%,8.33%,9.28%,5.49%
Cost of Revenue,481.49,561.44,494.03,212.75,207.84,204.06,204.9,207.03,198.38,184.97,170.91
Gross Profit,425.75,394.27,396.69,371.45,363.46,348.95,326.36,300.67,275.9,252.83,229.72
"Selling, General & Admin",272.28,275.78,275.32,163.02,162.38,158.48,146.91,133.86,127.92,117.61,113.1
Operating Expenses,551.31,573.8,507.53,255.24,251.62,241.95,227.16,215.09,203.84,192.84,183.63
Operating Income,-125.57,-179.53,-110.84,116.21,111.84,106.99,99.2,85.58,72.06,59.99,46.09
Interest Expense,-155.06,-123.32,-93.34,-110.7,-67.07,-62.49,-57.45,-51.06,-48.47,-40.8,-41.28
Interest & Investment Income,31.39,39.07,35.72,3.44,1.44,0.98,7.6,5.88,3.67,1.02,0.96
Currency Exchange Gain (Loss),-,-,-,31.56,32.52,-34.46,2.27,-,-,-,-
EBT Excluding Unusual Items,-249.24,-263.78,-168.47,40.51,78.73,11.02,51.62,40.4,27.26,20.21,5.77
Merger & Restructuring Charges,-,-21.41,-18.49,-2.25,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,-,0.35,1.06,0.98,3.86,7.74,5.44
Legal Settlements,-,-,-,-,-,-,-,-,-,-3.1,-
Other Unusual Items,-3.15,25.53,"1,406",-11.89,-7.31,-1.06,-,-,-,-0.59,1.5
Pretax Income,-252.39,-259.65,"1,219",26.38,71.42,10.31,52.67,41.38,31.12,24.26,12.71
Income Tax Expense,-57.68,-55.58,-53.96,21.23,23.24,4.1,15.15,12.72,25.24,9.33,7.82
Net Income,-194.71,-204.07,"1,273",5.15,48.19,6.22,37.52,28.67,5.88,14.93,4.9
Net Income to Common,-194.71,-204.07,"1,273",5.15,48.19,6.22,37.52,28.67,5.88,14.93,4.9
Net Income Growth,-,-,24646.23%,-89.32%,675.18%,-83.43%,30.88%,387.87%,-60.64%,204.92%,514.30%
Shares Outstanding (Basic),48,48,47,47,46,46,46,45,45,45,45
Shares Outstanding (Diluted),48,48,48,47,47,47,46,46,45,45,45
Shares Change (YoY),0.42%,-0.44%,1.33%,0.52%,0.63%,1.28%,0.65%,1.32%,0.69%,-0.63%,-2.57%
EPS (Basic),-4.06,-4.28,26.88,0.11,1.04,0.14,0.82,0.63,0.13,0.33,0.11
EPS (Diluted),-4.06,-4.28,26.62,0.11,1.03,0.13,0.81,0.63,0.13,0.33,0.11
EPS Growth,-,-,24148.72%,-89.34%,692.31%,-83.95%,28.57%,384.62%,-60.61%,202.56%,529.00%
Free Cash Flow,-186.7,-203.64,-112.29,94.74,100.34,84.37,101.85,83.98,65.9,62.73,48.23
Free Cash Flow Per Share,-3.90,-4.28,-2.35,2.01,2.14,1.81,2.21,1.83,1.46,1.40,1.07
Dividend Per Share,4.025,3.920,3.760,3.555,3.170,2.780,2.440,2.120,1.800,1.510,1.340
Dividend Growth,3.74%,4.25%,5.77%,12.14%,14.03%,13.93%,15.09%,17.78%,19.20%,12.69%,42.55%
Gross Margin,46.93%,41.25%,44.54%,63.58%,63.62%,63.10%,61.43%,59.22%,58.17%,57.75%,57.34%
Operating Margin,-13.84%,-18.79%,-12.44%,19.89%,19.58%,19.35%,18.67%,16.86%,15.19%,13.70%,11.51%
Profit Margin,-21.46%,-21.35%,142.97%,0.88%,8.43%,1.12%,7.06%,5.65%,1.24%,3.41%,1.22%
Free Cash Flow Margin,-20.58%,-21.31%,-12.61%,16.22%,17.56%,15.26%,19.17%,16.54%,13.89%,14.33%,12.04%
EBITDA,153.46,118.49,121.37,208.43,201.08,190.47,179.45,166.81,147.98,135.23,116.62
EBITDA Margin,16.91%,12.40%,13.63%,35.68%,35.20%,34.44%,33.78%,32.86%,31.20%,30.89%,29.11%
D&A For EBITDA,279.03,298.02,232.21,92.22,89.24,83.48,80.25,81.23,75.93,75.24,70.53
EBIT,-125.57,-179.53,-110.84,116.21,111.84,106.99,99.2,85.58,72.06,59.99,46.09
EBIT Margin,-13.84%,-18.79%,-12.44%,19.89%,19.58%,19.35%,18.67%,16.86%,15.19%,13.70%,11.51%
Effective Tax Rate,-,-,-,80.49%,32.53%,39.72%,28.77%,30.73%,81.12%,38.46%,61.48%
