Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,940,"3,656","3,586","2,663","3,382","2,741","2,991","2,040","2,028","1,840","1,532"
Market Cap Growth,-76.10%,1.96%,34.65%,-21.26%,23.41%,-8.37%,46.64%,0.58%,10.24%,20.10%,-4.11%
Enterprise Value,"3,455","5,655","5,361","3,792","4,296","3,524","3,637","2,548","2,492","2,267","1,905"
Last Close Price,19.80,72.29,67.43,47.75,57.67,45.13,47.67,31.37,30.09,26.31,21.21
PE Ratio,-,-,2.82,517.53,70.19,440.92,79.72,71.16,345.15,123.23,312.88
Forward PE,-,-,-,64.91,74.87,63.32,70.26,52.73,78.48,68.49,83.37
PS Ratio,1.05,3.83,4.03,4.56,5.92,4.96,5.63,4.02,4.28,4.20,3.82
PB Ratio,-,16.41,5.88,-5.13,-9.07,-9.35,-14.69,-13.69,-19.78,-34.54,-124.83
P/TBV Ratio,-,-,26.23,-,-,-,-,-,-,-,-
P/FCF Ratio,-,-,-,28.11,33.71,32.49,29.37,24.29,30.78,29.33,31.76
P/OCF Ratio,94.50,-,206.75,15.33,19.87,19.53,20.10,15.23,18.16,17.04,18.28
PEG Ratio,-,-,-,8.11,0.94,18.72,1.41,0.51,2.85,1.85,1.95
EV/Sales Ratio,3.81,5.92,6.02,6.49,7.52,6.37,6.85,5.02,5.26,5.18,4.76
EV/EBITDA Ratio,22.51,47.73,44.17,18.19,21.37,18.50,20.27,15.28,16.84,16.77,16.34
EV/EBIT Ratio,-,-,-,32.63,38.41,32.94,36.66,29.78,34.59,37.79,41.34
EV/FCF Ratio,-,-,-,40.03,42.81,41.77,35.71,30.34,37.82,36.14,39.51
Debt / Equity Ratio,-67.96,10.59,3.06,-2.71,-3.38,-4.13,-5.15,-5.34,-7.00,-13.18,-47.38
Debt / EBITDA Ratio,11.51,10.87,8.72,6.21,5.65,5.73,5.24,4.77,4.85,5.19,4.99
Debt / FCF Ratio,-,-,-,14.85,12.57,14.36,10.30,9.47,10.90,11.19,12.06
Asset Turnover,0.29,0.30,0.42,0.59,0.58,0.57,0.64,0.70,0.66,0.63,0.56
Quick Ratio,1.39,1.49,1.06,2.23,4.46,4.40,4.91,4.22,3.84,4.53,3.40
Current Ratio,2.02,1.90,1.38,3.04,5.06,4.83,5.30,4.65,4.11,4.82,3.65
Return on Equity (ROE),-136.94%,-49.03%,2801.11%,-,-,-,-,-,-,-,13.69%
Return on Assets (ROA),-2.47%,-3.52%,-3.28%,7.28%,7.04%,6.92%,7.42%,7.38%,6.22%,5.35%,4.06%
Return on Capital (ROIC),-3.00%,-4.44%,-4.12%,8.18%,7.74%,7.58%,8.31%,8.48%,7.12%,6.16%,4.58%
Return on Capital Employed (ROCE),-,-,-,13.10%,12.40%,11.80%,11.80%,12.90%,11.30%,9.00%,7.80%
Earnings Yield,-20.72%,-5.58%,35.51%,0.19%,1.43%,0.23%,1.25%,1.41%,0.29%,0.81%,0.32%
FCF Yield,-19.87%,-5.57%,-3.13%,3.56%,2.97%,3.08%,3.40%,4.12%,3.25%,3.41%,3.15%
Dividend Yield,20.50%,5.42%,5.58%,7.45%,5.50%,6.16%,5.12%,6.76%,5.98%,5.74%,6.32%
Payout Ratio,-,-,14.27%,3300.76%,311.90%,2081.92%,300.23%,341.46%,1389.67%,456.90%,1244.65%
Buyback Yield / Dilution,-0.42%,0.44%,-1.33%,-0.52%,-0.63%,-1.28%,-0.65%,-1.32%,-0.69%,0.63%,2.57%
Total Shareholder Return,20.08%,5.86%,4.24%,6.93%,4.86%,4.88%,4.46%,5.44%,5.29%,6.37%,8.89%
