Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,906","4,709","4,186","4,147","4,343","2,940","3,827","2,951","4,216","3,625","1,948"
Market Cap Growth,6.91%,12.50%,0.95%,-4.52%,47.73%,-23.18%,29.68%,-30.01%,16.31%,86.08%,-22.20%
Last Close Price,58.67,53.44,46.04,44.56,45.12,29.96,37.04,28.45,39.79,33.95,19.20
PE Ratio,10.53,10.29,10.77,8.03,9.57,-,11.89,9.29,19.99,24.88,15.15
PS Ratio,3.50,3.39,3.17,2.95,3.18,4.45,3.29,2.70,4.23,4.54,2.50
PB Ratio,1.11,1.14,1.10,1.24,1.18,0.86,1.10,0.96,1.46,1.33,0.81
P/FCF Ratio,8.67,7.65,8.90,5.10,7.73,9.26,12.38,7.41,10.79,11.17,9.19
P/OCF Ratio,8.45,7.53,8.45,4.93,7.42,8.28,10.87,6.57,10.26,10.54,8.26
Debt / Equity Ratio,0.52,0.27,0.45,0.73,0.56,0.65,0.89,0.60,0.70,0.62,0.80
Debt / FCF Ratio,4.12,1.83,3.67,2.99,3.68,7.03,10.02,4.61,5.18,5.20,9.14
Return on Equity (ROE),11.16%,11.62%,10.99%,14.95%,13.03%,-1.31%,10.00%,10.85%,7.70%,5.82%,5.38%
Return on Assets (ROA),1.36%,1.30%,1.11%,1.46%,1.32%,-0.14%,1.11%,1.17%,0.84%,0.64%,0.60%
Earnings Yield,9.79%,9.79%,9.38%,12.64%,10.67%,-1.54%,8.55%,10.97%,5.11%,4.12%,6.75%
FCF Yield,11.54%,13.07%,11.23%,19.60%,12.94%,10.79%,8.08%,13.51%,9.27%,8.96%,10.88%
Dividend Yield,3.07%,2.81%,2.61%,2.42%,2.39%,3.60%,2.92%,3.58%,2.41%,2.83%,5.00%
Payout Ratio,32.32%,28.39%,26.67%,18.02%,20.71%,-,28.98%,27.44%,38.62%,51.28%,58.58%
Buyback Yield / Dilution,0.57%,-0.26%,-0.03%,0.73%,-0.57%,0.08%,-1.26%,-0.66%,-9.00%,0.46%,4.54%
Total Shareholder Return,3.64%,2.55%,2.57%,3.15%,1.82%,3.68%,1.65%,2.93%,-6.59%,3.28%,9.54%
