Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Premiums & Annuity Revenue,714.07,510.69,345.91,316.47,233.83,155.07,100.21,69.9,55.55,40.32
Total Interest & Dividend Income,51.33,35.82,23.71,13.88,9.08,8.61,5.98,3.24,2.13,1.62
Gain (Loss) on Sale of Investments,8.26,4.57,2.94,-7.53,1.28,1.49,4.44,-2.57,0.61,0.5
Other Revenue,4.7,2.78,3.37,4.27,3.61,3.3,2.67,2.41,1.19,0.26
Total Revenue,778.36,553.86,375.93,327.09,247.79,168.46,113.3,72.97,59.47,42.7
Revenue Growth (YoY),54.59%,47.33%,14.93%,32.00%,47.09%,48.69%,55.26%,22.71%,39.28%,-
Policy Benefits,194.92,134.76,72.59,78.67,41.46,64.12,5.59,6.27,12.13,7.29
Policy Acquisition & Underwriting Costs,337.11,250.09,181,168.37,143.57,95.96,64.46,46.18,38.04,27.49
Other Operating Expenses,-,-,-,-,-,-,-,-,2.63,-
Total Operating Expenses,552.28,401.53,268.51,258.66,190.61,162.24,94.15,52.46,52.79,34.79
Operating Income,226.09,152.33,107.42,68.42,57.18,6.22,19.15,20.52,6.67,7.91
Interest Expense,-0.39,-1.14,-3.78,-0.87,-0.04,-,-1.07,-2.3,-1.75,-1.63
Pretax Income,225.7,151.2,103.64,67.55,57.14,6.22,18.08,18.21,4.93,6.28
Income Tax Expense,49.83,33.62,24.44,15.38,11.29,-0.03,7.46,-0.01,1.15,-0.34
Net Income,175.87,117.57,79.2,52.17,45.85,6.26,10.62,18.22,3.78,6.61
Net Income to Common,175.87,117.57,79.2,52.17,45.85,6.26,10.62,18.22,3.78,6.61
Net Income Growth,62.09%,48.45%,51.81%,13.79%,632.73%,-41.09%,-41.70%,381.60%,-42.80%,-
Shares Outstanding (Basic),27,26,25,25,25,25,22,17,17,17
Shares Outstanding (Diluted),27,26,25,26,26,26,22,17,17,17
Shares Change (YoY),6.75%,3.54%,-1.82%,-1.21%,2.00%,17.24%,28.44%,-,-,-
EPS (Basic),6.60,4.61,3.19,2.07,1.80,0.25,0.49,1.07,0.22,0.39
EPS (Diluted),6.40,4.48,3.13,2.02,1.76,0.24,0.49,1.07,0.22,0.39
EPS Growth,51.73%,43.13%,54.95%,14.77%,633.34%,-51.02%,-54.21%,386.36%,-43.45%,-
Free Cash Flow,364.18,260.91,116.09,169.27,87.8,57.36,41.59,22.48,20.18,14.93
Free Cash Flow Per Share,13.26,9.95,4.58,6.56,3.36,2.24,1.91,1.32,1.19,0.88
Operating Margin,29.05%,27.50%,28.57%,20.92%,23.08%,3.69%,16.90%,28.12%,11.22%,18.53%
Profit Margin,22.60%,21.23%,21.07%,15.95%,18.50%,3.71%,9.38%,24.97%,6.36%,15.49%
Free Cash Flow Margin,46.79%,47.11%,30.88%,51.75%,35.43%,34.05%,36.70%,30.80%,33.93%,34.96%
EBITDA,230.02,154.04,109.12,69.94,58.62,6.46,19.36,20.7,6.83,8
EBITDA Margin,29.55%,27.81%,29.03%,21.38%,23.66%,3.83%,17.09%,28.37%,11.49%,18.73%
D&A For EBITDA,3.94,1.71,1.7,1.52,1.44,0.24,0.22,0.18,0.16,0.09
EBIT,226.09,152.33,107.42,68.42,57.18,6.22,19.15,20.52,6.67,7.91
EBIT Margin,29.05%,27.50%,28.57%,20.92%,23.08%,3.69%,16.90%,28.12%,11.22%,18.53%
Effective Tax Rate,22.08%,22.24%,23.58%,22.77%,19.76%,-,41.25%,-,23.23%,-
Revenue as Reported,778.36,553.86,375.93,327.09,247.79,168.46,113.3,72.97,59.47,42.7
