Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Investments in Debt Securities,"1,128",929.15,635.2,506.56,425.18,390.49,212.05,117.22,96.91,80.57
Investments in Equity & Preferred Securities,52.22,42.81,45.78,38.58,33.26,24.32,22.33,25.17,23.59,19.15
Other Investments,19.53,5.86,-,-,-,-,-,-,-,-
Total Investments,"1,199",977.82,680.98,545.14,458.44,414.81,234.38,142.39,120.5,99.72
Cash & Equivalents,111.74,80.44,51.55,68.11,50.28,33.54,33.12,9.53,10.78,9.76
Reinsurance Recoverable,477.47,395.16,276.79,193.61,157.32,104.73,17.26,14.56,14.63,1.54
Other Receivables,473.96,314.16,267.25,166.64,90.74,51.39,37.62,19.37,16.13,11.89
Deferred Policy Acquisition Cost,125.08,94.88,60.99,56.74,55.95,35.48,25.2,14.05,15.16,10.65
"Property, Plant & Equipment",2.7,0.43,0.37,0.6,0.53,0.74,0.85,0.95,0.83,0.92
Goodwill,-,3.76,3.76,-,-,-,-,-,-,-
Other Intangible Assets,62.54,27.97,24.84,20.58,18.88,11.51,0.74,0.74,0.74,0.74
Restricted Cash,0.02,0.1,0.31,0.06,0.09,0.25,0.23,0.4,0.15,0.06
Other Current Assets,113.14,-,-,-,27.7,-,-,23.05,4.44,2.91
Long-Term Deferred Tax Assets,2.54,8.77,10.12,10.62,-,-,-,-,-,1.84
Long-Term Deferred Charges,-,-,-,-,-,-,-,1.1,-,-
Other Long-Term Assets,375.06,358.74,331.07,244.35,65.82,76.65,46.07,5,5,5.1
Total Assets,"2,944","2,262","1,708","1,306",925.73,729.09,395.46,231.13,188.36,145.13
Accounts Payable,109.39,62.32,42.38,25.76,21.28,20.73,13.56,9.25,6.5,4.26
Unpaid Claims,684.27,503.38,342.28,231.42,173.37,129.04,16.82,16.06,17.78,4.78
Unearned Premiums,979.37,741.69,597.1,471.31,284.67,183.49,130.37,79.13,61.98,42.71
Reinsurance Payable,290.65,218.04,195.16,156.81,48.34,26.75,13.04,11.33,6.59,3.3
Current Portion of Leases,-,1.05,-,-,-,-,-,-,-,-
Current Income Taxes Payable,1.75,-,7.26,-,-,-,1.12,-,0.01,-
Long-Term Debt,-,-,52.6,36.4,-,-,-,19.08,17.09,16.97
Long-Term Leases,-,6.71,-,-,-,-,-,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,3.91,5.38,2,-,-,-
Total Liabilities,"2,065","1,533","1,237",921.7,531.57,365.38,176.91,134.84,109.94,72.02
Common Stock,0,0,0,0,0,0,0,0,0,-
Additional Paid-In Capital,516.36,493.66,350.6,333.56,318.9,310.51,180.01,68.5,68.5,68.5
Retained Earnings,365.84,262.22,144.64,87.71,69.95,39.96,33.86,28.36,6.92,3.59
Comprehensive Income & Other,-4.09,-26.85,-23.99,-36.52,5.31,13.25,4.69,-0.56,2.99,1.02
Shareholders' Equity,878.11,729.03,471.25,384.75,394.17,363.71,218.56,96.29,78.41,73.11
Total Liabilities & Equity,"2,944","2,262","1,708","1,306",925.73,729.09,395.46,231.13,188.36,145.13
Filing Date Shares Outstanding,26.5,26.68,24.87,24.98,25.44,25.57,24.22,17,17,17
Total Common Shares Outstanding,26.49,26.53,24.77,25.03,25.43,25.53,23.47,17,17,17
Total Debt,-,7.76,52.6,36.4,-,-,-,19.08,17.09,16.97
Net Cash (Debt),111.74,72.67,-1.05,31.71,50.28,33.54,33.12,-9.55,-6.31,-7.22
Net Cash Growth,29.21%,-,-,-36.94%,49.93%,1.26%,-,-,-,-
Net Cash Per Share,4.07,2.77,-0.04,1.23,1.93,1.31,1.52,-0.56,-0.37,-0.42
Book Value Per Share,33.14,27.48,19.02,15.37,15.50,14.25,9.31,5.66,4.61,4.30
Tangible Book Value,815.57,697.31,442.66,364.17,375.29,352.2,217.81,95.55,77.67,72.37
Tangible Book Value Per Share,30.78,26.28,17.87,14.55,14.76,13.80,9.28,5.62,4.57,4.26
Machinery,-,1.38,1.14,1.13,0.81,0.8,0.66,0.56,0.46,0.39
Leasehold Improvements,-,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.65,0.65
