Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest and Dividend Income,"2,125","1,993","1,755","1,686","1,743","1,562","1,369","1,177","1,012",874.3,730.5
Total Interest Expense,460.4,419.5,266.5,166.6,164.2,192,196.2,156.6,120.2,97.7,76
Net Interest Income,"1,665","1,573","1,489","1,520","1,578","1,370","1,173","1,020",891.3,776.6,654.5
Other Revenue,178.2,169.7,146.5,146.1,113.4,106.9,119.6,109,98.5,94.9,94.8
Revenue Before Loan Losses,"1,843","1,743","1,635","1,666","1,692","1,477","1,293","1,129",989.8,871.5,749.3
Provision for Loan Losses,609.9,814.7,736.2,481.4,8.4,556.9,76.4,56.9,129.3,90.2,41.5
Revenue,"1,233",928.2,899.2,"1,184","1,683",920.4,"1,216","1,072",860.5,781.3,707.8
Revenue Growth (YoY),45.72%,3.23%,-24.08%,-29.64%,82.90%,-24.33%,13.44%,24.61%,10.14%,10.38%,8.23%
Salaries & Employee Benefits,335.4,309.2,280.2,262,218.1,186.5,193.3,167.8,140.1,126.5,116.4
Cost of Services Provided,296,265.8,249.6,210.7,204.4,177,165.4,149.4,136.6,123.6,116.9
Total Operating Expenses,631.4,575,529.8,472.7,422.5,363.5,358.7,317.2,276.7,250.1,233.3
Operating Income,601.5,353.2,369.4,711.7,"1,261",556.9,857.7,755.1,583.8,531.2,474.5
EBT Excluding Unusual Items,601.5,353.2,369.4,711.7,"1,261",556.9,857.7,755.1,583.8,531.2,474.5
Other Unusual Items,-1.2,-,-1.8,-,-,-7.4,-1.8,-,-,-,-
Pretax Income,600.3,329.5,367.6,711.7,"1,261",549.5,855.9,755.1,583.8,531.2,474.5
Income Tax Expense,146.5,81.6,81.5,175.9,302.6,128.5,199.8,181.1,113.6,198.4,174.8
Net Income,453.8,247.9,286.1,535.8,958.3,421,656.1,574,470.2,332.8,299.7
Net Income to Common,453.8,247.9,286.1,535.8,958.3,421,656.1,574,470.2,332.8,299.7
Net Income Growth,139.35%,-13.35%,-46.60%,-44.09%,127.63%,-35.83%,14.30%,22.08%,41.29%,11.04%,12.58%
Shares Outstanding (Basic),12,12,13,14,16,18,19,19,19,20,21
Shares Outstanding (Diluted),12,12,13,14,16,18,19,20,20,20,21
Shares Change (YoY),-4.79%,-4.16%,-4.51%,-15.38%,-10.23%,-5.49%,-2.84%,-0.14%,-4.17%,-2.72%,-6.05%
EPS (Basic),38.49,20.12,22.09,39.50,59.57,23.57,34.71,29.52,24.12,16.37,14.35
EPS (Diluted),37.89,19.88,21.99,39.32,59.52,23.47,34.57,29.39,24.04,16.31,14.28
EPS Growth,151.44%,-9.59%,-44.07%,-33.94%,153.60%,-32.11%,17.63%,22.25%,47.39%,14.22%,19.80%
Free Cash Flow,"1,090","1,136","1,200","1,236","1,062",976.7,785.5,678.8,557.6,501.7,400.2
Free Cash Flow Per Share,90.97,91.11,92.22,90.69,65.95,54.45,41.39,34.75,28.51,24.58,19.07
Operating Margin,48.79%,38.05%,41.08%,60.09%,74.90%,60.51%,70.51%,70.42%,67.84%,67.99%,67.04%
Profit Margin,36.81%,26.71%,31.82%,45.24%,56.93%,45.74%,53.94%,53.53%,54.64%,42.60%,42.34%
Free Cash Flow Margin,88.38%,122.40%,133.43%,104.32%,63.08%,106.12%,64.58%,63.30%,64.80%,64.21%,56.54%
Effective Tax Rate,24.40%,24.77%,22.17%,24.71%,24.00%,23.39%,23.34%,23.98%,19.46%,37.35%,36.84%
Revenue as Reported,"2,303","2,162","1,902","1,832","1,856","1,669","1,489","1,286","1,110",969.2,825.3
