Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,15.9,343.7,13.2,7.7,23.3,16,187.4,25.7,8.2,14.6,6.3
Loans & Lease Receivables,"7,976","7,850","6,955","6,298","6,336","6,788","6,685","5,763","4,620","3,887","3,102"
Other Receivables,9.7,4.2,4.3,8.7,109.2,147,66.2,7.9,2.2,2.3,10
"Property, Plant & Equipment",12.9,14.7,46.5,51.4,57.3,59.4,59.7,40.2,20.5,18.2,18.9
Restricted Cash,482.9,501.3,457.7,410,410.9,380.2,330.3,303.6,255.6,224.7,167.4
Long-Term Deferred Charges,4.9,4.4,4.2,3.9,3.6,3.2,3.2,2.9,2.8,2.4,2.2
Other Long-Term Assets,138.8,136,129,125.3,110.3,95.3,91.2,93.8,76.7,69.2,66.3
Total Assets,"8,641","8,855","7,610","6,905","7,051","7,489","7,423","6,237","4,986","4,218","3,373"
Accounts Payable,300.1,232.3,245.6,203.3,128,135.9,160.5,141.5,116.6,110.1,91.4
Current Portion of Long-Term Debt,477,"1,250",-,-,-,-,-,-,-,-,-
Current Portion of Leases,-,1,-,-,-,-,-,-,-,-,-
Long-Term Debt,"5,892","5,103","5,068","4,591","4,616","4,609","4,539","3,821","3,071","2,604","2,068"
Long-Term Leases,-,0.6,-,-,-,-,-,-,-,-,-
Current Income Taxes Payable,11.9,117.2,81,2.5,0.2,0.2,0.2,2.5,39.9,23.6,-
Other Current Liabilities,6.2,6,5.6,3.1,2.4,2.3,1.8,1.6,1,1,1.2
Long-Term Deferred Tax Liabilities,298.2,319.1,389.2,426.7,435.2,391,322.5,236.7,187.4,273.1,248.9
Total Liabilities,"7,062","7,105","5,857","5,281","5,227","5,187","5,068","4,247","3,450","3,044","2,445"
Common Stock,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2
Additional Paid-In Capital,392.1,335.1,279,245.7,197.2,161.9,157.7,154.9,145.5,131.7,100.8
Retained Earnings,"1,185","1,415","1,476","1,381","1,627","2,139","2,197","1,836","1,390","1,042",827.2
Comprehensive Income & Other,1.1,-0.3,-1,-2.9,0.2,1.6,0.8,-0.3,-0.2,-0.2,-0.1
Shareholders' Equity,"1,579","1,750","1,754","1,624","1,824","2,303","2,355","1,991","1,536","1,174",928.1
Total Liabilities & Equity,"8,641","8,855","7,610","6,905","7,051","7,489","7,423","6,237","4,986","4,218","3,373"
Total Debt,"6,369","6,355","5,068","4,591","4,616","4,609","4,539","3,821","3,071","2,604","2,068"
Net Cash (Debt),"-6,353","-6,011","-5,054","-4,583","-4,593","-4,593","-4,351","-3,795","-3,063","-2,589","-2,062"
Net Cash Per Share,-530.43,-482.05,-388.47,-336.36,-285.27,-256.06,-229.30,-194.30,-156.58,-126.85,-98.26
Filing Date Shares Outstanding,11.03,12.03,12.3,12.83,14.11,17.11,18.3,18.94,19.41,19.93,20.48
Total Common Shares Outstanding,11.04,12.05,12.52,12.76,14.14,17.38,18.5,19.13,19.41,19.93,20.48
Working Capital,"7,612","7,018","7,031","6,461","6,705","7,144","7,063","5,912","4,694","3,961","3,157"
Book Value Per Share,142.97,145.22,140.05,127.30,128.97,132.46,127.31,104.07,79.13,58.89,45.31
Tangible Book Value,"1,579","1,750","1,754","1,624","1,824","2,303","2,355","1,991","1,536","1,174",928.1
Tangible Book Value Per Share,142.97,145.22,140.05,127.30,128.97,132.46,127.31,104.07,79.13,58.89,45.31
