Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Cash & Equivalents,455.73,159.24,68.96,75.44,230.99,56.41,63.82,25.81,15.42,-
Cash & Short-Term Investments,455.73,159.24,68.96,75.44,230.99,56.41,63.82,25.81,15.42,-
Cash Growth,186.66%,130.90%,-8.59%,-67.34%,309.46%,-11.60%,147.23%,67.44%,-,-
Accounts Receivable,66.06,58,42.18,33.13,11.77,9.04,7.89,5.72,2.84,-
Other Receivables,3.43,3.53,0.65,1.62,0.79,0.02,0.09,0.05,0.03,-
Receivables,69.49,61.52,42.83,34.75,12.56,9.06,7.98,5.77,2.87,-
Inventory,14.14,8.06,4.1,10.83,2.01,-,-,-,-,-
Prepaid Expenses,16.38,11.07,14.52,6.93,9.8,10,5.19,2.34,1.27,-
Restricted Cash,-,-,-,13.27,-,-,-,-,-,-
Other Current Assets,1.26,1.1,1.01,1.44,1.32,3.38,4.45,1.2,0.4,-
Total Current Assets,556.99,240.99,131.43,142.66,256.68,78.85,81.45,35.12,19.95,-
"Property, Plant & Equipment",3.6,2.46,1.74,1.2,2.21,3.44,0.55,0.28,0.2,-
Long-Term Investments,46.85,19.76,5.47,-,-,-,-,-,-,-
Goodwill,134.62,133.67,133.67,133.67,31.13,0.76,0.76,-,-,-
Other Intangible Assets,40,40.57,45.44,52.7,7.99,-,0.26,0.15,0.25,-
Long-Term Deferred Charges,0.95,1.05,0.83,0.63,0.33,0.57,1.28,1.59,0.23,-
Other Long-Term Assets,4.45,3.07,3.12,8.78,4.05,2.38,3.73,0.29,0.61,-
Total Assets,787.45,441.58,321.72,339.63,302.38,86.31,88.3,37.69,27.09,-
Accounts Payable,8.89,5.46,5.9,13.79,3.25,2.42,0.5,2.93,0.33,-
Accrued Expenses,22.13,27.45,22.42,19.64,8.8,3.78,3.4,2.06,0.93,-
Short-Term Debt,-,-,-,-,-,-,-,-,4.99,-
Current Portion of Long-Term Debt,-,-,3.45,3.51,4.22,-,-,1.64,-,-
Current Portion of Leases,0.39,0.36,0.34,0.81,1.57,1.46,-,-,-,-
Current Unearned Revenue,46.05,39.86,33.93,30.06,13.93,11.86,11.08,6.14,2.46,-
Other Current Liabilities,4.49,4.2,4.79,19.84,9.67,-,-,0.04,-,-
Total Current Liabilities,81.94,77.34,70.82,87.65,41.45,19.51,14.98,12.81,8.71,-
Long-Term Debt,309.84,-,1.06,4.06,8.28,-,-,3.31,-,-
Long-Term Leases,0.07,0.36,0.72,-,0.29,1.61,-,-,-,-
Long-Term Unearned Revenue,4.16,5.34,1.84,2.71,-,-,-,-,-,-
Other Long-Term Liabilities,-,-,0.22,0.68,2.31,0.7,1.05,1.13,1.18,-
Total Liabilities,396.01,83.04,74.65,95.09,52.33,21.82,16.03,17.25,9.89,-
Common Stock,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.01,0.01,-
Additional Paid-In Capital,659.76,648.12,532.13,501.76,416.28,196.85,188.3,-,2.49,-
Retained Earnings,-268.52,-289.7,-285.14,-256.97,-165.34,-131.79,-115.45,-86.5,-67.14,-
Comprehensive Income & Other,0.13,0.04,0.01,-0.32,-0.95,-0.62,-0.62,-9.51,-0.62,-
Total Common Equity,391.45,358.55,247.06,244.54,250.05,64.5,72.28,-96,-65.27,-
Shareholders' Equity,391.45,358.55,247.06,244.54,250.05,64.5,72.28,20.44,17.2,-
Total Liabilities & Equity,787.45,441.58,321.72,339.63,302.38,86.31,88.3,37.69,27.09,-
Total Debt,310.3,0.72,5.56,8.39,14.37,3.07,-,4.95,4.99,-
Net Cash (Debt),145.44,158.52,63.4,67.06,216.62,53.35,63.82,20.87,10.42,-
Net Cash Growth,-8.05%,150.02%,-5.45%,-69.04%,306.07%,-16.41%,205.86%,100.18%,-,-
Net Cash Per Share,0.59,0.73,0.32,0.36,1.40,0.36,0.62,0.66,0.34,-
Filing Date Shares Outstanding,235.2,226.59,204.87,198.8,183.44,150.22,146.93,28.37,30.94,-
Total Common Shares Outstanding,234.81,226.22,204.47,195.72,180.67,150.11,146.49,28.37,30.94,-
Working Capital,475.05,163.65,60.61,55.01,215.23,59.34,66.47,22.31,11.24,-
Book Value Per Share,1.67,1.58,1.21,1.25,1.38,0.43,0.49,-3.38,-2.11,-
Tangible Book Value,216.83,184.3,67.95,58.17,210.93,63.73,71.26,-96.15,-65.51,-
Tangible Book Value Per Share,0.92,0.81,0.33,0.30,1.17,0.42,0.49,-3.39,-2.12,-
Machinery,2.36,2.35,1.17,0.91,1.28,0.88,0.89,0.52,0.44,-
Construction In Progress,2.03,0.36,0.25,-,-,-,-,-,-,-
Leasehold Improvements,0.09,0.1,0.1,0.1,0.92,0.92,0.27,0.22,0.18,-
