Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Operating Revenue,401.75,335.43,278.97,201.17,87.5,58.47,58.94,32.06,11.47,5.34
Other Revenue,57.28,36.05,25.55,27.13,25.14,22.18,-,-,-,-
Revenue,459.03,371.48,304.52,228.31,112.64,80.66,58.94,32.06,11.47,5.34
Revenue Growth (YoY),33.86%,21.99%,33.38%,102.68%,39.66%,36.83%,83.84%,179.43%,114.71%,-
Cost of Revenue,102.34,92.33,81.72,79.71,22.77,15.4,11.87,0.91,-,-
Gross Profit,356.69,279.16,222.8,148.6,89.88,65.26,47.08,31.15,11.47,5.34
"Selling, General & Admin",216.09,173.91,149.61,144.11,66.54,42.27,43.17,26.28,10.22,6.69
Research & Development,124.86,113.07,99.14,102.48,50.99,39.64,32.89,23.16,12.63,10.52
Operating Expenses,340.95,286.98,248.75,246.59,117.54,81.91,76.06,49.44,22.85,17.21
Operating Income,15.74,-7.82,-25.96,-97.99,-27.66,-16.65,-28.99,-18.29,-11.37,-11.87
Interest Expense,-0.7,-,-,-,-,-,-0.19,-0.35,-0.26,-0.25
Other Non Operating Income (Expenses),5.48,-0.99,3.11,1.31,-0.91,0.32,0.25,-0.72,0.28,-0.15
EBT Excluding Unusual Items,25.34,-8.81,-22.85,-96.68,-28.57,-16.33,-28.93,-19.36,-11.35,-12.27
Merger & Restructuring Charges,-0.15,-0.15,-4.02,-1.7,-1,-,-0.03,-,-,-
Gain (Loss) on Sale of Investments,2.09,5.39,-,-,-,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-,0.75,-
Other Unusual Items,-,-1.05,-0.68,7.07,-4.11,-,-,-,-,-
Pretax Income,27.28,-4.63,-27.56,-91.32,-33.68,-16.33,-28.95,-19.36,-10.61,-12.27
Income Tax Expense,-2.4,-0.07,0.62,0.31,-0.13,-,-,-,-,-
Net Income,29.68,-4.56,-28.17,-91.63,-33.56,-16.33,-28.95,-19.36,-10.61,-12.27
Net Income to Common,29.68,-4.56,-28.17,-91.63,-33.56,-16.33,-28.95,-19.36,-10.61,-12.27
Shares Outstanding (Basic),229,216,200,187,155,148,104,31,31,-
Shares Outstanding (Diluted),247,216,200,189,155,148,104,31,31,-
Shares Change (YoY),17.00%,8.06%,6.22%,21.65%,4.68%,42.89%,228.95%,1.80%,-,-
EPS (Basic),0.13,-0.02,-0.14,-0.49,-0.22,-0.11,-0.28,-0.61,-0.34,-
EPS (Diluted),0.12,-0.02,-0.14,-0.50,-0.22,-0.11,-0.28,-0.61,-0.34,-
Free Cash Flow,61.46,31.43,7.02,-57.06,-12.23,-7.9,-30.93,-15.5,-10.83,-9.58
Free Cash Flow Per Share,0.25,0.14,0.04,-0.30,-0.08,-0.05,-0.30,-0.49,-0.35,-
Gross Margin,77.70%,75.15%,73.16%,65.09%,79.79%,80.91%,79.86%,97.15%,100.00%,100.00%
Operating Margin,3.43%,-2.11%,-8.53%,-42.92%,-24.56%,-20.64%,-49.18%,-57.04%,-99.13%,-222.04%
Profit Margin,6.46%,-1.23%,-9.25%,-40.13%,-29.79%,-20.25%,-49.12%,-60.37%,-92.43%,-229.57%
Free Cash Flow Margin,13.39%,8.46%,2.31%,-24.99%,-10.86%,-9.80%,-52.47%,-48.34%,-94.40%,-179.32%
EBITDA,28.32,1.96,-16.82,-88.79,-26.79,-15.99,-28.7,-18.16,-11.2,-11.69
EBITDA Margin,6.17%,0.53%,-5.52%,-38.89%,-23.78%,-19.83%,-48.69%,-56.63%,-97.64%,-218.79%
D&A For EBITDA,12.58,9.78,9.14,9.2,0.88,0.66,0.29,0.13,0.17,0.17
EBIT,15.74,-7.82,-25.96,-97.99,-27.66,-16.65,-28.99,-18.29,-11.37,-11.87
EBIT Margin,3.43%,-2.11%,-8.53%,-42.92%,-24.56%,-20.64%,-49.18%,-57.04%,-99.13%,-222.04%
Revenue as Reported,459.03,371.48,304.52,228.31,112.64,80.66,-,32.06,11.47,5.34
Advertising Expenses,-,23.8,28.6,17,7.1,6.7,19.4,9.1,-,-
