Period Ending,"Jul '25Jul 27, 2025","Jan '25Jan 26, 2025","Jan '24Jan 28, 2024","Jan '23Jan 29, 2023","Jan '22Jan 30, 2022","Jan '21Jan 31, 2021",2016 - 2020
Revenue,"165,218","130,497","60,922","26,974","26,914","16,675",Upgrade
Revenue Growth (YoY),71.55%,114.20%,125.86%,0.22%,61.40%,52.73%,Upgrade
Cost of Revenue,"49,818","32,639","16,621","11,618","9,439","6,118",Upgrade
Gross Profit,"115,400","97,858","44,301","15,356","17,475","10,557",Upgrade
"Selling, General & Admin","4,036","3,491","2,654","2,440","2,166","1,912",Upgrade
Research & Development,"15,384","12,914","8,675","7,339","5,268","3,924",Upgrade
Operating Expenses,"19,420","16,405","11,329","9,779","7,434","5,836",Upgrade
Operating Income,"95,980","81,453","32,972","5,577","10,041","4,721",Upgrade
Interest Expense,-246,-247,-257,-262,-236,-184,Upgrade
Interest & Investment Income,"2,091","1,786",866,267,29,57,Upgrade
Other Non Operating Income (Expenses),-14,4,-1,-3,7,4,Upgrade
EBT Excluding Unusual Items,"97,811","82,996","33,580","5,579","9,841","4,598",Upgrade
Merger & Restructuring Charges,-,-,-,"-1,353",-,-189,Upgrade
Gain (Loss) on Sale of Investments,"2,839","1,030",238,-45,100,-,Upgrade
Pretax Income,"100,650","84,026","33,818","4,181","9,941","4,409",Upgrade
Income Tax Expense,"14,053","11,146","4,058",-187,189,77,Upgrade
Net Income,"86,597","72,880","29,760","4,368","9,752","4,332",Upgrade
Net Income to Common,"86,597","72,880","29,760","4,368","9,752","4,332",Upgrade
Net Income Growth,63.37%,144.89%,581.32%,-55.21%,125.11%,54.94%,Upgrade
Shares Outstanding (Basic),"24,458","24,555","24,690","24,870","24,960","24,670",Upgrade
Shares Outstanding (Diluted),"24,655","24,804","24,940","25,070","25,350","25,100",Upgrade
Shares Change (YoY),-0.99%,-0.55%,-0.52%,-1.10%,1.00%,1.54%,Upgrade
EPS (Basic),3.54,2.97,1.21,0.18,0.39,0.18,Upgrade
EPS (Diluted),3.51,2.94,1.19,0.17,0.39,0.17,Upgrade
EPS Growth,64.84%,147.06%,600.00%,-55.84%,122.54%,53.10%,Upgrade
Free Cash Flow,"72,023","60,853","27,021","3,808","8,132","4,694",Upgrade
Free Cash Flow Per Share,2.92,2.45,1.08,0.15,0.32,0.19,Upgrade
Dividend Per Share,0.040,0.034,0.016,0.016,0.016,0.016,Upgrade
Dividend Growth,81.82%,112.50%,-,-,-,-,Upgrade
Gross Margin,69.85%,74.99%,72.72%,56.93%,64.93%,63.31%,Upgrade
Operating Margin,58.09%,62.42%,54.12%,20.67%,37.31%,28.31%,Upgrade
Profit Margin,52.41%,55.85%,48.85%,16.19%,36.23%,25.98%,Upgrade
Free Cash Flow Margin,43.59%,46.63%,44.35%,14.12%,30.21%,28.15%,Upgrade
EBITDA,"98,281","83,317","34,480","7,121","11,215","5,819",Upgrade
EBITDA Margin,59.49%,63.85%,56.60%,26.40%,41.67%,34.90%,Upgrade
D&A For EBITDA,"2,301","1,864","1,508","1,544","1,174","1,098",Upgrade
EBIT,"95,980","81,453","32,972","5,577","10,041","4,721",Upgrade
EBIT Margin,58.09%,62.42%,54.12%,20.67%,37.31%,28.31%,Upgrade
Effective Tax Rate,13.96%,13.26%,12.00%,-,1.90%,1.75%,Upgrade
