Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,673.05,618.23,880.5,698.59,501.55,-93.55,229.79,174.22,99.87,81.94,102.81
Other Revenue,3.12,10.59,10.84,2.85,0.79,0.31,0.19,-,0.28,0.88,0.48
Revenue,676.17,628.81,891.34,701.44,502.34,-93.24,229.98,174.22,100.15,82.82,103.29
Revenue Growth (YoY),2.53%,-29.45%,27.07%,39.63%,-,-,32.01%,73.95%,20.93%,-19.82%,60.81%
Cost of Revenue,"1,154","1,205","1,313",869,601.66,340.71,219.72,194.87,128.24,79.94,103.13
Gross Profit,-478.04,-576.35,-421.45,-167.56,-99.32,-433.94,10.25,-20.66,-28.09,2.88,0.16
"Selling, General & Admin",400.75,376.11,422.47,363.93,179.85,79.35,43.2,37.69,45.01,34.29,34.16
Research & Development,58.96,77.23,113.75,99.58,64.76,27.85,15.06,12.75,28.69,21.18,14.95
Other Operating Expenses,3.99,48.54,96.05,26.8,71.99,35.47,-0.39,5.35,-,-1.07,10.05
Operating Expenses,501.99,540.18,632.26,490.31,316.6,142.67,57.87,55.78,73.7,54.39,59.16
Operating Income,-980.03,"-1,117","-1,054",-657.86,-415.92,-576.61,-47.61,-76.44,-101.79,-51.52,-59
Interest Expense,-60.52,-46.62,-45.2,-39.04,-43.23,-60.51,-37.03,-22.75,-10.1,-10.7,-0.35
Interest & Investment Income,21.54,30.72,55.83,37.26,4.04,0.77,1.5,-,-,-,-
Earnings From Equity Investments,-54.62,-32.18,-41.79,-20.17,-5.7,-,-,-,-,-,-
Other Non Operating Income (Expenses),-14.21,-23.39,-0.13,-1.14,-0.61,-0.74,-0.08,4.29,-15.19,4.34,3.66
EBT Excluding Unusual Items,"-1,088","-1,188","-1,085",-680.94,-461.42,-637.1,-83.23,-94.9,-127.08,-57.88,-55.69
Merger & Restructuring Charges,-25.64,-8.15,-,-,-,-,-,-,-,-,-
Impairment of Goodwill,-,-,-249.5,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-3,-3,-1.39,-19.55,6.66,-,-,-,-,-,-
Asset Writedown,"-1,019",-908.02,-10.29,-5.22,-10.22,-6.43,-,-,-,-,-
Other Unusual Items,8.09,-0.43,-30.02,-17.45,-11.18,16.53,-0.52,-,-,-,-
Pretax Income,"-2,127","-2,108","-1,376",-723.17,-476.16,-627,-83.74,-94.9,-127.08,-57.88,-55.69
Income Tax Expense,-2.46,-2.69,-7.36,0.84,-16.2,-30.85,-,-9.3,-,-0.39,-
Earnings From Continuing Operations,"-2,125","-2,105","-1,369",-724.01,-459.97,-596.16,-83.74,-85.61,-127.08,-57.49,-55.69
Minority Interest in Earnings,3.67,0.2,-,-,-,-,-,-,-,-,-
Net Income,"-2,121","-2,105","-1,369",-724.01,-459.97,-596.16,-83.74,-85.61,-127.08,-57.49,-55.69
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,1.81,0.05,3.1,0.1,0.11
Net Income to Common,"-2,121","-2,105","-1,369",-724.01,-459.97,-596.16,-85.56,-85.66,-130.18,-57.59,-55.8
Shares Outstanding (Basic),"1,034",785,595,580,558,355,237,219,216,181,176
Shares Outstanding (Diluted),"1,034",785,595,580,558,355,237,219,216,181,176
Shares Change (YoY),45.67%,31.83%,2.72%,3.86%,57.33%,49.60%,8.35%,1.17%,19.78%,2.59%,10.57%
EPS (Basic),-2.05,-2.68,-2.30,-1.25,-0.82,-1.68,-0.36,-0.39,-0.60,-0.32,-0.32
EPS (Diluted),-2.05,-2.68,-2.30,-1.25,-0.82,-1.68,-0.36,-0.39,-0.60,-0.32,-0.32
Free Cash Flow,-674.6,"-1,063","-1,803","-1,292",-550.51,-203.74,-65.54,-76.99,-104.55,-87.71,-50.79
Free Cash Flow Per Share,-0.65,-1.35,-3.03,-2.23,-0.99,-0.57,-0.28,-0.35,-0.48,-0.49,-0.29
Gross Margin,-70.70%,-91.66%,-47.28%,-23.89%,-19.77%,-,4.46%,-11.86%,-28.05%,3.47%,0.15%
Operating Margin,-144.94%,-177.56%,-118.22%,-93.79%,-82.80%,-,-20.70%,-43.88%,-101.64%,-62.21%,-57.12%
Profit Margin,-313.69%,-334.71%,-153.57%,-103.22%,-91.56%,-,-37.20%,-49.17%,-129.98%,-69.54%,-54.02%
Free Cash Flow Margin,-99.77%,-169.03%,-202.25%,-184.26%,-109.59%,-,-28.50%,-44.19%,-104.38%,-105.91%,-49.18%
EBITDA,-922.26,"-1,032",-982.62,-606.27,-392.56,-561.04,-34.98,-63.91,-92.01,-46.28,-56.02
EBITDA Margin,-136.39%,-164.11%,-110.24%,-86.43%,-78.14%,-,-15.21%,-36.69%,-91.87%,-55.88%,-54.23%
D&A For EBITDA,57.77,84.56,71.08,51.6,23.37,15.57,12.64,12.53,9.78,5.24,2.99
EBIT,-980.03,"-1,117","-1,054",-657.86,-415.92,-576.61,-47.61,-76.44,-101.79,-51.52,-59
EBIT Margin,-144.94%,-177.56%,-118.22%,-93.79%,-82.80%,-,-20.70%,-43.88%,-101.64%,-62.21%,-57.12%
Revenue as Reported,676.17,628.81,891.34,701.44,502.34,-93.24,229.98,174.22,100.15,82.82,103.29
