Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,944","1,941","2,725","7,211","16,271","15,382",878,289,539,229,380
Market Cap Growth,66.52%,-28.77%,-62.21%,-55.68%,5.78%,1651.79%,203.40%,-46.33%,135.46%,-39.70%,-26.88%
Enterprise Value,"3,687","2,776","3,130","5,409","12,728","15,635","1,315",494,631,257,307
Last Close Price,2.08,2.13,4.50,12.37,28.23,33.91,3.16,1.24,2.36,1.20,2.11
PS Ratio,3.19,3.09,3.06,10.28,32.39,-164.97,3.82,1.66,5.38,2.77,3.68
PB Ratio,1.77,1.07,0.94,1.78,3.53,10.49,6.70,8.42,7.25,2.42,3.02
P/TBV Ratio,2.14,1.18,1.01,2.00,3.85,11.35,7.60,-,8.93,3.14,3.40
EV/Sales Ratio,5.45,4.41,3.51,7.71,25.34,-,5.72,2.84,6.30,3.10,2.97
Debt / Equity Ratio,0.66,0.60,0.33,0.22,0.18,0.38,3.28,7.93,1.40,0.72,0.12
Asset Turnover,0.17,0.15,0.17,0.12,0.12,-,0.44,0.53,0.39,0.37,0.50
Inventory Turnover,1.60,1.47,1.63,1.90,2.95,3.22,3.65,4.03,3.26,2.55,3.59
Quick Ratio,0.40,0.65,0.52,3.70,9.52,6.17,1.33,0.54,0.42,0.87,2.03
Current Ratio,1.32,1.97,1.85,5.20,10.58,7.21,2.34,1.06,1.03,1.67,3.07
Return on Equity (ROE),-93.85%,-89.46%,-39.34%,-16.71%,-15.15%,-74.61%,-101.26%,-157.50%,-150.33%,-52.12%,-39.04%
Return on Assets (ROA),-15.65%,-16.41%,-12.35%,-7.02%,-6.34%,-24.76%,-5.67%,-14.45%,-24.87%,-14.30%,-17.83%
Return on Capital (ROIC),-19.00%,-20.67%,-14.92%,-7.93%,-6.98%,-27.84%,-6.86%,-19.70%,-37.30%,-21.20%,-24.32%
Return on Capital Employed (ROCE),-44.50%,-39.10%,-26.80%,-12.80%,-7.50%,-28.40%,-9.10%,-31.30%,-65.60%,-29.50%,-35.40%
Earnings Yield,-74.11%,-108.44%,-50.24%,-10.04%,-2.83%,-3.88%,-9.54%,-29.58%,-23.57%,-25.10%,-14.66%
FCF Yield,-23.57%,-54.76%,-66.16%,-17.93%,-3.38%,-1.32%,-7.46%,-26.60%,-19.39%,-38.30%,-13.38%
Buyback Yield / Dilution,-45.67%,-31.83%,-2.72%,-3.86%,-57.33%,-49.60%,-8.35%,-1.17%,-19.78%,-2.59%,-10.57%
