Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,165.9,205.69,135.03,690.63,"2,481","1,312",139.5,38.6,24.83,46.01,63.96
Short-Term Investments,-,-,-,"1,468","1,388",-,-,-,-,-,-
Cash & Short-Term Investments,165.9,205.69,135.03,"2,158","3,870","1,312",139.5,38.6,24.83,46.01,63.96
Cash Growth,76.60%,52.33%,-93.74%,-44.22%,194.84%,840.82%,261.37%,55.48%,-46.04%,-28.06%,-56.25%
Accounts Receivable,192.98,251.3,370.06,191.91,131.31,58.39,39.02,40.68,24.18,11.92,22.65
Other Receivables,-,31.3,-,3,3.7,-,-,-,-,-,-
Receivables,192.98,282.6,370.06,194.91,135.01,58.39,39.02,40.68,24.18,11.92,22.65
Inventory,555.09,682.64,961.25,645.64,269.16,139.39,72.39,47.91,48.78,29.94,32.75
Prepaid Expenses,87.66,108.55,104.07,147.39,56.19,28.97,7.94,11.03,7.93,11.84,7.86
Restricted Cash,189.26,198.01,216.55,158.96,118.63,64.04,54.81,17.4,13.9,11.22,4.01
Total Current Assets,"1,191","1,477","1,787","3,305","4,449","1,603",313.66,155.62,119.61,110.93,131.23
"Property, Plant & Equipment","1,121","1,136","1,893","1,134",500.65,197.29,79.94,159.62,97.48,62.31,8.92
Long-Term Investments,43.26,85.49,63.78,31.25,12.89,1,-,-,-,-,-
Goodwill,-,-,-,248.61,220.44,72.39,8.84,9.02,9.45,8.29,8.48
Other Intangible Assets,77.95,84.66,188.89,207.73,158.21,39.25,5.54,3.89,3.79,3.93,4.64
Long-Term Accounts Receivable,22.41,23.96,29.74,41.83,0.12,2.84,-,-,-,-,-
Other Long-Term Assets,648.86,795.01,939.94,795.74,609.24,335.32,251.53,62.18,40.49,55.37,56.18
Total Assets,"3,105","3,603","4,903","5,764","5,950","2,251",659.51,390.33,270.81,240.83,209.46
Accounts Payable,162.22,180.97,257.83,191.9,92.31,50.2,40.38,34.82,42.36,32.11,20.46
Accrued Expenses,122.36,83.11,116.76,103.34,72.5,46.08,14.41,7.86,9.52,7.51,8.78
Current Portion of Long-Term Debt,344.55,136.72,76.72,60.54,52.75,50.09,43.26,22.5,53.27,17.75,-
Current Portion of Leases,84.85,89.68,83.16,60.54,40.08,23.23,17.52,68.56,-,-,-
Current Unearned Revenue,88.17,144.09,204.14,131.81,116.38,43.34,11.69,12.06,8.63,5.74,4.47
Other Current Liabilities,100.36,113.93,226.19,87.15,46.54,9.42,6.7,0.56,1.94,3.38,9.01
Total Current Liabilities,902.52,748.49,964.8,635.28,420.55,222.37,133.96,146.37,115.72,66.49,42.71
Long-Term Debt,332.55,522.19,473.27,454.44,504.53,368.65,291.74,94.68,50.44,50.6,12.31
Long-Term Leases,229.48,330.04,335.7,323.21,212.79,119.95,76.77,86.78,-,-,2.5
Long-Term Unearned Revenue,34.09,58.53,84.16,98.09,66.71,32.94,23.17,28.02,25.81,17.41,14
Other Long-Term Liabilities,107.49,135.83,146.68,193.05,139.8,40.45,2.82,0.12,4.49,11.63,12.06
Total Liabilities,"1,606","1,795","2,005","1,704","1,344",784.36,528.46,355.97,196.46,146.12,83.57
Common Stock,12.19,9.34,6.25,6.08,5.95,4.74,3.19,2.34,2.29,1.92,1.81
Additional Paid-In Capital,"8,887","8,431","7,495","7,297","7,071","3,447","1,507","1,290","1,251","1,137","1,119"
Retained Earnings,"-7,380","-6,594","-4,490","-3,121","-2,397","-1,946","-1,350","-1,260","-1,179","-1,051",-993.88
Treasury Stock,-105.8,-108.8,-106.27,-96.26,-72.53,-40.43,-31.22,-30.64,-3.1,-3.09,-2.91
