Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Operating Revenue,148.85,118.43,87.79
Other Revenue,178.4,174.25,73.6
Revenue,327.24,292.68,161.39
Revenue Growth (YoY),-,81.34%,-
Gross Profit,327.24,292.68,161.39
"Selling, General & Admin",185.95,193.49,150.49
Research & Development,65.76,62.66,49.15
Other Operating Expenses,7.76,8.22,10.15
Operating Expenses,259.97,264.36,209.79
Operating Income,67.28,28.32,-48.39
Interest Expense,-52.57,-56.42,-49.2
Interest & Investment Income,48.21,48.21,48.16
Other Non Operating Income (Expenses),11.41,15.97,1.59
EBT Excluding Unusual Items,74.32,36.07,-47.85
Gain (Loss) on Sale of Investments,-,-,-4.92
Asset Writedown,-8.14,-16.73,-0.57
Other Unusual Items,2.75,2.75,1
Pretax Income,68.93,22.09,-52.34
Income Tax Expense,6.23,2.18,0.1
Earnings From Continuing Operations,62.7,19.92,-52.44
Minority Interest in Earnings,-0.76,-2.7,4.51
Net Income,61.94,17.21,-47.94
Net Income to Common,61.94,17.21,-47.94
Shares Outstanding (Basic),50,49,-
Shares Outstanding (Diluted),50,49,-
EPS (Basic),1.25,0.35,-
EPS (Diluted),1.25,0.35,-
Gross Margin,100.00%,100.00%,100.00%
Operating Margin,20.56%,9.68%,-29.98%
Profit Margin,18.93%,5.88%,-29.70%
EBIT,67.28,28.32,-48.39
EBIT Margin,20.56%,9.68%,-29.98%
Effective Tax Rate,9.04%,9.85%,-
Revenue as Reported,375.45,340.89,209.55
