Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023"
Cash & Equivalents,395.35,287.26,116.55
Cash & Short-Term Investments,395.35,287.26,116.55
Cash Growth,-,146.47%,-
Receivables,37.35,21,17.3
Restricted Cash,46.58,57.78,59.23
Other Current Assets,107.53,92.74,9.68
Total Current Assets,920.43,854.69,458.28
"Property, Plant & Equipment",2.5,2.5,-
Long-Term Investments,219.45,171.7,39.09
Other Intangible Assets,90.67,88.5,55.86
Other Long-Term Assets,30.66,32.82,37.59
Total Assets,"1,273","1,160",660.07
Accounts Payable,38.28,37.22,20.14
Short-Term Debt,280.52,212.62,120.08
Current Portion of Long-Term Debt,278.4,305.29,264.14
Other Current Liabilities,95.2,70.4,2.52
Total Current Liabilities,694.2,625.53,406.88
Long-Term Debt,173.73,167.88,25.05
Long-Term Leases,1.05,2.79,5.72
Total Liabilities,868.97,796.2,437.65
Common Stock,0,0,0
Additional Paid-In Capital,687.66,675.95,555.13
Retained Earnings,-291.73,-320.85,-338.07
Total Common Equity,395.93,355.1,217.07
Minority Interest,8.53,8.28,5.35
Shareholders' Equity,404.46,363.38,222.42
Total Liabilities & Equity,"1,273","1,160",660.07
Total Debt,735.49,688.59,414.99
Net Cash (Debt),-126.53,-237.84,-261.37
Net Cash Per Share,-2.55,-4.86,-
Filing Date Shares Outstanding,206.47,49.55,-
Total Common Shares Outstanding,49.55,48.92,-
Working Capital,226.23,229.16,51.4
Book Value Per Share,7.99,7.26,-
Tangible Book Value,305.26,266.6,161.21
Tangible Book Value Per Share,6.16,5.45,-
