Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,078","4,348","3,583","1,396","1,715","1,450","2,071","1,707","4,365","2,853","2,462"
Market Cap Growth,-10.56%,21.35%,156.71%,-18.60%,18.22%,-29.97%,21.32%,-60.89%,52.98%,15.89%,22.55%
Last Close Price,8.68,9.00,7.12,3.69,4.50,3.84,5.50,4.30,7.56,4.84,4.34
PE Ratio,26.32,35.87,105.16,28.65,13.83,32.19,47.17,8.44,84.79,15.42,15.39
PS Ratio,1.57,2.00,1.84,0.80,0.88,0.73,1.01,0.90,2.61,1.91,0.91
PB Ratio,4.27,4.03,3.99,1.86,2.51,1.74,2.77,1.92,3.68,1.69,1.91
P/FCF Ratio,9.21,15.22,9.18,6.53,4.21,5.34,10.65,-,3.45,-,3.81
P/OCF Ratio,8.76,13.79,8.84,6.22,4.11,4.79,8.59,-,3.39,-,3.59
Debt / Equity Ratio,1.78,1.37,1.49,1.62,1.80,1.82,1.80,0.88,0.61,1.14,0.74
Debt / FCF Ratio,4.58,5.17,3.43,5.68,3.01,5.56,6.94,-,0.57,-,1.48
Asset Turnover,0.52,0.64,0.62,0.54,0.53,0.50,0.56,0.43,0.32,0.33,0.80
Quick Ratio,1.32,1.53,1.49,1.15,1.49,1.33,1.36,1.29,0.51,1.16,1.00
Current Ratio,1.32,1.56,1.52,1.17,1.51,1.36,1.39,1.33,1.16,1.85,1.09
Return on Equity (ROE),14.56%,12.46%,4.71%,8.23%,20.28%,6.44%,8.17%,10.43%,-6.17%,4.31%,32.96%
Return on Assets (ROA),3.12%,3.64%,1.24%,1.84%,4.21%,1.29%,1.82%,2.44%,-1.69%,1.42%,9.45%
Earnings Yield,3.90%,2.92%,1.01%,3.49%,7.23%,3.11%,2.12%,11.85%,1.18%,6.49%,6.50%
FCF Yield,10.86%,6.57%,10.89%,15.32%,23.74%,18.74%,9.39%,-49.21%,28.95%,-24.21%,26.28%
Dividend Yield,0.92%,0.89%,0.56%,1.08%,0.89%,4.42%,10.18%,15.80%,9.53%,13.22%,12.92%
Payout Ratio,24.23%,26.90%,47.93%,30.50%,12.17%,134.13%,438.35%,114.47%,388.76%,92.31%,82.12%
Buyback Yield / Dilution,-0.73%,2.21%,1.89%,7.52%,1.25%,-15.81%,-45.81%,-12.69%,-3.72%,3.23%,-29.73%
Total Shareholder Return,0.20%,3.10%,2.45%,8.60%,2.14%,-11.39%,-35.63%,3.11%,5.81%,16.45%,-16.82%
