Period Ending,"Nov '25Nov 13, 2025","Aug '25Aug 3, 2025","Jul '24Jul 28, 2024","Jul '23Jul 30, 2023","Jul '22Jul 31, 2022","Aug '21Aug 1, 2021","Aug '20Aug 2, 2020","Jul '19Jul 28, 2019","Jul '18Jul 29, 2018","Jul '17Jul 30, 2017","Jul '16Jul 31, 2016"
Market Capitalization,"9,297","9,639","13,957","13,787","14,833","13,249","14,978","12,335","12,308","16,017","19,220"
Market Cap Growth,-34.52%,-30.94%,1.24%,-7.06%,11.96%,-11.54%,21.43%,0.22%,-23.15%,-16.66%,25.52%
Enterprise Value,"16,377","16,763","21,336","18,610","19,632","18,478","20,690","21,422","21,959","19,125","22,551"
Last Close Price,31.23,31.94,44.40,42.45,44.00,37.71,41.47,33.27,32.04,40.08,46.04
PE Ratio,15.54,16.01,24.62,16.07,19.60,13.22,9.20,58.46,47.16,18.06,34.14
Forward PE,12.69,11.61,14.74,15.12,17.27,15.45,16.96,16.26,16.76,16.73,20.19
PS Ratio,0.91,0.94,1.45,1.47,1.73,1.56,1.72,1.52,1.86,2.74,2.41
PB Ratio,2.39,2.47,3.68,3.76,4.45,4.20,5.83,11.09,8.97,9.74,12.54
P/FCF Ratio,13.19,13.67,20.89,17.84,15.80,17.43,13.65,14.24,12.27,17.84,16.71
P/OCF Ratio,8.22,8.52,11.78,12.06,12.56,12.80,10.73,9.87,8.73,12.96,12.89
PEG Ratio,-,-,2.52,3.30,8.77,3.20,2.27,22.84,3.44,3.42,2.79
EV/Sales Ratio,1.60,1.64,2.21,1.99,2.29,2.18,2.38,2.64,3.32,3.28,2.83
EV/EBITDA Ratio,8.67,8.87,11.97,10.44,12.82,9.59,12.80,14.21,13.05,11.28,15.47
EV/EBIT Ratio,11.10,11.36,15.25,13.26,16.44,11.48,16.05,18.71,15.64,12.73,19.61
EV/FCF Ratio,23.23,23.78,31.94,24.08,20.91,24.31,18.86,24.74,21.89,21.30,19.61
Debt / Equity Ratio,1.85,1.85,1.99,1.36,1.52,1.68,2.51,7.62,6.93,2.16,2.33
Debt / EBITDA Ratio,3.09,3.09,3.48,2.32,2.70,2.35,3.45,5.62,5.65,2.10,2.45
Debt / FCF Ratio,10.23,10.23,11.29,6.43,5.38,6.96,5.88,9.79,9.49,3.96,3.11
Asset Turnover,0.68,0.68,0.71,0.78,0.73,0.70,0.68,0.59,0.59,0.75,1.00
Inventory Turnover,5.06,5.06,4.95,5.06,5.44,6.28,6.56,6.17,4.64,3.68,5.20
Quick Ratio,0.25,0.25,0.21,0.32,0.23,0.37,0.47,0.18,0.17,0.39,0.36
Current Ratio,0.77,0.77,0.61,0.93,0.68,0.93,0.78,0.58,0.64,0.79,0.75
Return on Equity (ROE),15.64%,15.64%,15.20%,24.53%,23.34%,35.23%,32.16%,38.15%,47.98%,58.15%,38.69%
Return on Assets (ROA),6.12%,6.12%,6.41%,7.32%,6.32%,8.34%,6.31%,5.17%,7.89%,12.07%,9.03%
Return on Capital (ROIC),8.22%,8.22%,8.76%,10.31%,8.87%,11.52%,8.66%,6.99%,10.91%,18.22%,13.59%
Return on Capital Employed (ROCE),12.30%,12.30%,12.00%,14.30%,13.30%,16.20%,13.90%,11.70%,12.80%,28.20%,21.80%
Earnings Yield,6.48%,6.25%,4.06%,6.22%,5.10%,7.56%,10.87%,1.71%,2.12%,5.54%,2.93%
FCF Yield,7.58%,7.31%,4.79%,5.61%,6.33%,5.74%,7.32%,7.02%,8.15%,5.61%,5.98%
Dividend Yield,5.00%,4.82%,3.33%,3.49%,3.36%,3.87%,3.38%,4.21%,4.37%,3.49%,2.71%
Payout Ratio,77.61%,76.25%,78.48%,52.10%,59.58%,43.81%,26.17%,200.47%,163.22%,47.35%,69.27%
Buyback Yield / Dilution,-,-,0.33%,0.33%,0.98%,-0.33%,-0.66%,-,1.63%,1.29%,0.64%
Total Shareholder Return,5.00%,4.82%,3.67%,3.82%,4.35%,3.54%,2.71%,4.21%,6.00%,4.78%,3.35%
