Period Ending,"Aug '25Aug 3, 2025","Jul '24Jul 28, 2024","Jul '23Jul 30, 2023","Jul '22Jul 31, 2022","Aug '21Aug 1, 2021","Aug '20Aug 2, 2020","Jul '19Jul 28, 2019","Jul '18Jul 29, 2018","Jul '17Jul 30, 2017","Jul '16Jul 31, 2016"
Revenue,"10,253","9,636","9,357","8,562","8,476","8,691","8,107","6,615","5,837","7,961"
Revenue Growth (YoY),6.40%,2.98%,9.29%,1.01%,-2.47%,7.20%,22.55%,13.33%,-26.68%,-1.50%
Cost of Revenue,"7,102","6,619","6,422","5,930","5,662","5,683","5,396","4,154","3,391","5,033"
Gross Profit,"3,151","3,017","2,935","2,632","2,814","3,008","2,711","2,461","2,446","2,928"
"Selling, General & Admin","1,526","1,451","1,436","1,330","1,386","1,519","1,383","1,177","1,090","1,380"
Research & Development,97,97,89,87,84,92,88,91,93,105
Other Operating Expenses,52,70,7,21,-265,108,95,-211,-240,293
Operating Expenses,"1,675","1,618","1,532","1,438","1,205","1,719","1,566","1,057",943,"1,778"
Operating Income,"1,476","1,399","1,403","1,194","1,609","1,289","1,145","1,404","1,503","1,150"
Interest Expense,-345,-249,-188,-189,-210,-345,-356,-183,-115,-115
Interest & Investment Income,17,6,4,1,1,4,2,3,-,4
Currency Exchange Gain (Loss),-,-,-,-,-,-,-,1,-15,1
EBT Excluding Unusual Items,"1,148","1,156","1,219","1,006","1,400",948,791,"1,225","1,373","1,040"
Merger & Restructuring Charges,-125,-235,-71,-31,-53,-69,-121,-309,-48,-78
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-106
Gain (Loss) on Sale of Investments,-,-,-,-,-,-49,-1,-10,-9,3
Gain (Loss) on Sale of Assets,-25,-,-13,-,-11,-64,-,-,-,-
Asset Writedown,-196,-156,-7,-,-,-,-16,-54,-,-35
Legal Settlements,-5,-5,-,-,-,-,-,-22,-,-
Other Unusual Items,-1,-3,-,-,-,-,-28,-,-,25
Pretax Income,796,757,"1,128",975,"1,336",766,625,830,"1,316",849
Income Tax Expense,194,190,270,218,328,174,151,106,392,286
Earnings From Continuing Operations,602,567,858,757,"1,008",592,474,724,924,563
Earnings From Discontinued Operations,-,-,-,-,-6,"1,036",-263,-463,-37,-
Net Income,602,567,858,757,"1,002","1,628",211,261,887,563
Net Income to Common,602,567,858,757,"1,002","1,628",211,261,887,563
Net Income Growth,6.17%,-33.92%,13.34%,-24.45%,-38.45%,671.56%,-19.16%,-70.58%,57.55%,-15.47%
Shares Outstanding (Basic),298,298,299,301,303,302,301,301,305,309
Shares Outstanding (Diluted),300,300,301,302,305,304,302,302,307,311
Shares Change (YoY),-,-0.33%,-0.33%,-0.98%,0.33%,0.66%,-,-1.63%,-1.29%,-0.64%
EPS (Basic),2.02,1.90,2.87,2.51,3.31,5.39,0.70,0.87,2.91,1.82
EPS (Diluted),2.01,1.89,2.85,2.51,3.28,5.36,0.70,0.87,2.89,1.81
EPS Growth,6.35%,-33.68%,13.55%,-23.48%,-38.78%,666.36%,-19.35%,-70.00%,59.64%,-15.02%
Free Cash Flow,705,668,773,939,760,"1,097",866,"1,003",898,"1,150"
Free Cash Flow Per Share,2.35,2.23,2.57,3.11,2.49,3.61,2.87,3.32,2.92,3.70
Dividend Per Share,1.540,1.480,1.480,1.480,1.460,1.400,1.400,1.400,1.400,1.248
Dividend Growth,4.05%,-,-,1.37%,4.29%,-,-,-,12.18%,-
Gross Margin,30.73%,31.31%,31.37%,30.74%,33.20%,34.61%,33.44%,37.20%,41.91%,36.78%
Operating Margin,14.40%,14.52%,14.99%,13.94%,18.98%,14.83%,14.12%,21.22%,25.75%,14.45%
Profit Margin,5.87%,5.88%,9.17%,8.84%,11.82%,18.73%,2.60%,3.95%,15.20%,7.07%
Free Cash Flow Margin,6.88%,6.93%,8.26%,10.97%,8.97%,12.62%,10.68%,15.16%,15.38%,14.45%
EBITDA,"1,890","1,783","1,783","1,531","1,926","1,617","1,508","1,683","1,696","1,458"
EBITDA Margin,18.43%,18.50%,19.05%,17.88%,22.72%,18.61%,18.60%,25.44%,29.06%,18.31%
D&A For EBITDA,414,384,380,337,317,328,363,279,193,308
EBIT,"1,476","1,399","1,403","1,194","1,609","1,289","1,145","1,404","1,503","1,150"
EBIT Margin,14.40%,14.52%,14.99%,13.94%,18.98%,14.83%,14.12%,21.22%,25.75%,14.45%
Effective Tax Rate,24.37%,25.10%,23.94%,22.36%,24.55%,22.71%,24.16%,12.77%,29.79%,33.69%
Advertising Expenses,400,350,365,314,399,463,347,327,327,397
