Period Ending,"Aug '25Aug 3, 2025","Jul '24Jul 28, 2024","Jul '23Jul 30, 2023","Jul '22Jul 31, 2022","Aug '21Aug 1, 2021","Aug '20Aug 2, 2020","Jul '19Jul 28, 2019","Jul '18Jul 29, 2018","Jul '17Jul 30, 2017","Jul '16Jul 31, 2016"
Cash & Equivalents,132,108,189,109,69,859,31,49,319,296
Cash & Short-Term Investments,132,108,189,109,69,859,31,49,319,296
Cash Growth,22.22%,-42.86%,73.39%,57.97%,-91.97%,2670.97%,-36.73%,-84.64%,7.77%,17.00%
Accounts Receivable,541,587,494,490,544,530,525,510,550,554
Other Receivables,42,43,35,51,51,45,49,53,55,72
Receivables,583,630,529,541,595,575,574,563,605,626
Inventory,"1,424","1,386","1,291","1,246",933,871,863,887,902,940
Other Current Assets,93,66,52,67,98,80,499,797,74,46
Total Current Assets,"2,232","2,190","2,061","1,963","1,695","2,385","1,967","2,296","1,900","1,908"
"Property, Plant & Equipment","3,093","3,031","2,673","2,582","2,605","2,622","2,455","2,466","2,454","2,407"
Long-Term Investments,5,-,-,-,-,-,77,92,69,47
Goodwill,"4,991","5,077","3,965","3,979","3,981","3,986","4,017","3,864","2,115","2,263"
Other Intangible Assets,"4,356","4,716","3,142","3,198","3,239","3,350","3,415","3,664","1,118","1,152"
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,2,36,41
Other Long-Term Assets,219,221,217,170,214,29,"1,217","2,145",34,19
Total Assets,"14,896","15,235","12,058","11,892","11,734","12,372","13,148","14,529","7,726","7,837"
Accounts Payable,"1,332","1,311","1,306","1,334","1,070","1,049",814,705,666,610
Accrued Expenses,559,590,510,518,513,603,572,494,494,531
Short-Term Debt,332,250,178,235,37,278,850,"1,135","1,036",776
Current Portion of Long-Term Debt,398,"1,148",-,566,-,921,500,390,22,441
Current Portion of Leases,128,115,83,76,65,70,21,-,1,2
Current Income Taxes Payable,4,7,20,3,5,24,15,10,20,22
Other Current Liabilities,153,155,125,154,124,130,613,860,156,173
Total Current Liabilities,"2,906","3,576","2,222","2,886","1,814","3,075","3,385","3,594","2,395","2,555"
Long-Term Debt,"6,057","5,715","4,483","3,980","5,010","4,990","7,101","7,991","2,492","2,350"
Long-Term Leases,297,314,223,193,180,188,2,-,7,8
Pension & Post-Retirement Benefits,199,221,230,260,341,462,389,347,508,786
Long-Term Deferred Tax Liabilities,"1,353","1,426","1,067","1,074","1,051",914,924,960,490,396
Other Long-Term Liabilities,180,187,170,166,184,174,235,264,189,209
Total Liabilities,"10,992","11,439","8,395","8,559","8,580","9,803","12,036","13,156","6,081","6,304"
Common Stock,12,12,12,12,12,12,12,12,12,12
Additional Paid-In Capital,418,437,420,415,414,394,372,349,359,354
Retained Earnings,"4,694","4,569","4,451","4,040","3,742","3,190","1,993","2,224","2,385","1,927"
Treasury Stock,"-1,207","-1,207","-1,219","-1,138","-1,021","-1,023","-1,076","-1,103","-1,066",-664
Comprehensive Income & Other,-15,-17,-3,2,5,-10,-198,-118,-53,-104
Total Common Equity,"3,902","3,794","3,661","3,331","3,152","2,563","1,103","1,364","1,637","1,525"
Minority Interest,2,2,2,2,2,6,9,9,8,8
Shareholders' Equity,"3,904","3,796","3,663","3,333","3,154","2,569","1,112","1,373","1,645","1,533"
Total Liabilities & Equity,"14,896","15,235","12,058","11,892","11,734","12,372","13,148","14,529","7,726","7,837"
Total Debt,"7,212","7,542","4,967","5,050","5,292","6,447","8,474","9,516","3,558","3,577"
Net Cash (Debt),"-7,080","-7,434","-4,778","-4,941","-5,223","-5,588","-8,443","-9,467","-3,239","-3,281"
Net Cash Per Share,-23.60,-24.78,-15.87,-16.36,-17.12,-18.38,-27.96,-31.35,-10.55,-10.55
Filing Date Shares Outstanding,297.99,298.11,297.95,299.36,301.52,302.27,301.19,300.66,300.53,307.88
Total Common Shares Outstanding,298,298,298,299,302,302,301,301,301,308
Working Capital,-674,"-1,386",-161,-923,-119,-690,"-1,418","-1,298",-495,-647
Book Value Per Share,13.09,12.73,12.29,11.14,10.44,8.49,3.66,4.53,5.44,4.95
Tangible Book Value,"-5,445","-5,999","-3,446","-3,846","-4,068","-4,773","-6,329","-6,164","-1,596","-1,890"
Tangible Book Value Per Share,-18.27,-20.13,-11.56,-12.86,-13.47,-15.80,-21.03,-20.48,-5.30,-6.14
Land,74,74,74,74,75,75,83,82,64,58
Buildings,"1,779","1,702","1,547","1,531","1,493","1,473","1,474","1,439","1,557","1,488"
Machinery,"4,473","4,328","4,004","3,932","3,732","3,463","3,473","3,554","4,243","4,042"
Construction In Progress,344,314,291,141,189,274,185,164,179,176
