Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"4,662","2,606","1,413","1,369","3,259","2,748",-,-
Market Cap Growth,55.91%,84.43%,3.16%,-57.98%,18.59%,-,-,-
Enterprise Value,"3,676","1,783","1,059",791,"2,666","2,285",-,-
Last Close Price,64.10,40.23,25.46,24.96,63.49,62.00,-,-
PS Ratio,120.24,55.35,17.98,29.25,44.75,80.75,-,-
PB Ratio,4.86,3.12,3.58,2.79,7.09,9.68,-,-
P/TBV Ratio,4.83,3.12,3.58,2.79,7.09,9.68,-,-
P/FCF Ratio,-,-,-,-,-,34.77,-,-
P/OCF Ratio,-,-,-,-,-,31.18,-,-
EV/Sales Ratio,84.06,37.87,13.47,16.88,36.61,67.15,-,-
EV/FCF Ratio,-,-,-,-,-,28.92,-,-
Debt / Equity Ratio,0.09,0.11,0.21,0.04,0.04,0.06,0.61,0.02
Debt / FCF Ratio,-,-,-,-,-,0.23,1.22,-
Asset Turnover,0.04,0.06,0.13,0.08,0.13,0.11,0.04,-
Quick Ratio,7.07,7.23,4.59,5.74,4.78,2.69,2.67,8.84
Current Ratio,7.38,7.53,4.73,5.88,4.88,2.73,2.69,8.92
Return on Equity (ROE),-32.09%,-36.38%,-33.21%,-32.60%,-26.96%,-28.62%,-111.98%,-
Return on Assets (ROA),-19.21%,-20.65%,-17.55%,-16.67%,-11.50%,-9.59%,-32.78%,-
Return on Capital (ROIC),-20.41%,-22.87%,-20.96%,-20.46%,-16.12%,-16.18%,-55.21%,-
Return on Capital Employed (ROCE),-31.90%,-28.20%,-33.80%,-30.30%,-19.60%,-12.30%,-51.40%,-54.20%
Earnings Yield,-6.46%,-8.59%,-10.40%,-11.30%,-3.08%,-1.66%,-,-
FCF Yield,-5.04%,-7.96%,-9.72%,-11.39%,-4.01%,2.88%,-,-
Buyback Yield / Dilution,-17.82%,-28.58%,-8.22%,-12.39%,-176.60%,-921.45%,-44.44%,-
