Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,112.95,120.26,109.97,68.4,47.98,31,76.02,41.26
Short-Term Investments,392.73,368.49,264.92,338.77,394.44,265.2,15.94,-
Cash & Short-Term Investments,505.68,488.74,374.88,407.17,442.42,296.2,91.96,41.26
Cash Growth,-8.05%,30.37%,-7.93%,-7.97%,49.36%,222.11%,122.87%,-
Accounts Receivable,-,0.95,18.76,2.54,0.14,1.43,-,-
Other Receivables,-,-,-,-,-,-,0.29,0.15
Receivables,-,0.95,18.76,2.54,0.14,1.43,0.29,0.15
Prepaid Expenses,22.62,20.58,11.67,9.71,8.72,4.7,0.6,0.38
Total Current Assets,528.3,510.27,405.32,419.42,451.27,302.34,92.85,41.79
"Property, Plant & Equipment",88.08,97.86,101.08,22.24,21.31,20.69,22.08,2.24
Long-Term Investments,473.06,362.16,61.43,152.33,125.19,162.53,-,-
Other Long-Term Assets,12.62,7.74,7.93,9.15,8.14,1.62,1.77,0.2
Total Assets,"1,102",978.04,575.76,603.13,605.91,487.18,116.7,44.23
Accounts Payable,5.51,5.99,7.08,4.34,4.01,4.37,3.28,2.06
Accrued Expenses,28.64,34.87,33.86,27.5,22.97,10.33,4.57,2.32
Current Portion of Leases,13.74,13.11,6.35,3.94,3.6,3.26,3.38,0.3
Current Unearned Revenue,23.28,13.58,37.88,35.26,61.74,92.55,23.35,-
Other Current Liabilities,0.41,0.22,0.52,0.3,0.23,0.11,-,0.01
Total Current Liabilities,71.58,67.77,85.69,71.34,92.54,110.62,34.57,4.69
Long-Term Leases,70.25,74.65,78.33,13.39,14.36,14.73,17.82,0.39
Long-Term Unearned Revenue,13.96,-,16.77,28,39.3,77.84,29.64,-
Other Long-Term Liabilities,-,-,-,0.25,0.07,0.1,-,0.16
Total Liabilities,155.79,142.42,180.79,112.98,146.27,203.29,82.03,5.24
Common Stock,0.01,0.01,0.01,0.01,0.01,0,-,-
Additional Paid-In Capital,"1,924","1,592",926.27,878.88,689.28,412.78,2.04,0.77
Retained Earnings,-978.98,-754.61,-530.75,-383.79,-228.98,-128.77,-76.46,-35.21
Comprehensive Income & Other,1.5,-1.49,-0.55,-4.95,-0.66,-0.13,0.01,-
Total Common Equity,946.26,835.62,394.97,490.15,459.64,283.89,-74.41,-34.44
Shareholders' Equity,946.26,835.62,394.97,490.15,459.64,283.89,34.67,38.99
Total Liabilities & Equity,"1,102",978.04,575.76,603.13,605.91,487.18,116.7,44.23
Total Debt,84,87.76,84.67,17.34,17.96,17.99,21.19,0.7
Net Cash (Debt),894.74,763.14,351.64,542.16,549.64,440.74,70.76,40.57
Net Cash Growth,8.75%,117.02%,-35.14%,-1.36%,24.71%,522.83%,74.45%,-
Net Cash Per Share,10.91,10.17,6.02,10.05,11.45,25.40,41.66,34.50
Filing Date Shares Outstanding,71.95,64.94,61.11,55.18,51.67,44.81,1.93,1.18
Total Common Shares Outstanding,71.74,64.89,55.59,55.04,51.5,44.48,1.93,1.18
Working Capital,456.72,442.5,319.63,348.07,358.73,191.72,58.28,37.1
Book Value Per Share,13.19,12.88,7.11,8.91,8.93,6.38,-38.56,-29.28
Tangible Book Value,946.26,835.62,394.97,490.15,459.64,283.89,-74.41,-34.44
Tangible Book Value Per Share,13.19,12.88,7.11,8.91,8.93,6.38,-38.56,-29.28
Machinery,15.77,14.75,6.74,5.8,4.02,2.59,1.09,0.81
Leasehold Improvements,42.91,44.01,7.8,7.8,7.74,7.6,0.55,0.55
