Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,526","3,969","7,093","5,718","4,603","4,332","1,956",742,"1,092",-,-
Market Cap Growth,-25.13%,-44.04%,24.06%,24.22%,6.25%,121.45%,163.70%,-32.08%,-,-,-
Enterprise Value,"2,521","4,036","6,737","5,123","4,385","3,977","1,676",548,"1,191",-,-
Last Close Price,20.10,31.91,59.86,51.71,47.28,57.20,30.62,13.19,21.70,-,-
PS Ratio,2.48,5.08,17.89,75.81,69.15,17.28,-,-,-,-,-
PB Ratio,6.34,17.37,36.47,33.66,23.17,21.18,57.15,4.61,7.33,-,-
P/TBV Ratio,6.30,17.37,36.47,33.66,23.17,21.18,57.15,4.61,7.33,-,-
EV/Sales Ratio,2.48,5.17,16.99,67.92,65.87,15.87,-,-,-,-,-
Debt / Equity Ratio,1.19,2.06,0.57,0.66,1.06,1.85,4.59,0.17,0.18,-,-
Asset Turnover,1.04,0.93,0.51,0.09,0.07,0.37,-,-,-,-,-
Inventory Turnover,3.25,3.63,3.15,6.35,-,-,-,-,-,-,-
Quick Ratio,2.99,3.71,2.34,3.56,5.93,7.03,5.35,10.35,27.00,7.20,11.80
Current Ratio,3.54,4.25,3.10,4.29,6.25,7.15,5.67,11.89,27.77,7.52,11.89
Return on Equity (ROE),14.10%,-93.55%,-290.14%,-353.93%,-370.20%,-288.86%,-312.20%,-82.28%,-59.06%,-92.31%,-193.01%
Return on Assets (ROA),5.13%,-12.32%,-41.73%,-45.27%,-36.39%,-19.79%,-60.73%,-41.46%,-30.28%,-51.98%,-47.84%
Return on Capital (ROIC),6.35%,-20.54%,-109.93%,-107.49%,-67.63%,-34.54%,-94.92%,-44.01%,-31.87%,-58.03%,-52.09%
Return on Capital Employed (ROCE),10.30%,-23.60%,-95.60%,-100.30%,-71.50%,-25.70%,-89.00%,-68.60%,-28.90%,-114.70%,-57.40%
Earnings Yield,1.78%,-4.98%,-7.45%,-11.41%,-16.21%,-7.96%,-15.58%,-17.19%,-4.67%,-,-
FCF Yield,3.11%,-2.22%,-8.39%,-9.01%,-12.26%,-3.83%,-10.88%,-17.69%,-4.27%,-,-
Buyback Yield / Dilution,-4.30%,-4.40%,-11.84%,-25.70%,-12.32%,-20.79%,-14.40%,-292.16%,-64.58%,-45.44%,-26.44%
