Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,016",781.37,396.59,75.42,66.56,250.65,-,-,-,-,-
Revenue Growth (YoY),42.11%,97.02%,425.83%,13.31%,-73.44%,-,-,-,-,-,-
Cost of Revenue,411.35,445.29,412.9,392.87,426.07,303.59,220.97,105.29,-,-,-
Gross Profit,605.05,336.07,-16.31,-317.45,-359.51,-52.94,-220.97,-105.29,-,-,-
"Selling, General & Admin",524.64,501.05,500.82,277.16,176.77,139.4,67.05,22.64,10.46,4.3,6.36
Research & Development,-,-,-,-,-,21.38,-,-,40.3,22.98,13.73
Operating Expenses,524.64,501.05,500.82,277.16,176.77,160.78,67.05,22.64,50.77,27.28,20.09
Operating Income,80.41,-164.98,-517.12,-594.61,-536.28,-213.73,-288.02,-127.93,-50.77,-27.28,-20.09
Interest Expense,-45.01,-40.39,-29.58,-32.63,-13.24,-29.94,-5.29,-2.51,-0.37,-,-
Interest & Investment Income,13.04,12.77,20.93,8.91,0.42,4.16,5.11,2.96,0.28,0.14,0.05
Other Non Operating Income (Expenses),-1.75,-2.17,-0.73,-0.29,-96.31,-103.53,-15.01,-0.03,-0.14,0.02,0.01
EBT Excluding Unusual Items,46.68,-194.77,-526.5,-618.61,-645.41,-343.03,-303.21,-127.5,-51.01,-27.12,-20.03
Other Unusual Items,-,-1.95,-,-32.89,-100.59,-,-1.5,-,-,-,-
Pretax Income,46.68,-196.72,-526.5,-651.5,-746,-343.03,-304.71,-127.5,-51.01,-27.12,-46.52
Income Tax Expense,1.7,1.16,2.13,0.67,0.35,1.85,-,-,-,-,-
Net Income,44.99,-197.88,-528.63,-652.17,-746.35,-344.87,-304.71,-127.5,-51.01,-27.12,-46.52
Net Income to Common,44.99,-197.88,-528.63,-652.17,-746.35,-344.87,-304.71,-127.5,-51.01,-27.12,-46.52
Shares Outstanding (Basic),126,124,119,106,84,75,62,54,14,8,6
Shares Outstanding (Diluted),128,124,119,106,84,75,62,54,14,8,6
Shares Change (YoY),4.30%,4.40%,11.84%,25.70%,12.32%,20.79%,14.40%,292.16%,64.58%,45.44%,26.44%
EPS (Basic),0.36,-1.60,-4.45,-6.15,-8.84,-4.59,-4.90,-2.34,-3.68,-3.22,-8.03
EPS (Diluted),0.36,-1.60,-4.45,-6.15,-8.84,-4.59,-4.90,-2.34,-3.68,-3.22,-8.03
Free Cash Flow,78.64,-88.27,-595.51,-515.27,-564.23,-165.91,-212.83,-131.24,-46.6,-26,-18.86
Free Cash Flow Per Share,0.61,-0.71,-5.02,-4.86,-6.68,-2.21,-3.42,-2.41,-3.36,-3.08,-3.25
Gross Margin,59.53%,43.01%,-4.11%,-,-,-21.12%,-,-,-,-,-
Operating Margin,7.91%,-21.11%,-130.39%,-788.38%,-805.67%,-85.27%,-,-,-,-,-
Profit Margin,4.43%,-25.32%,-133.29%,-864.70%,-1121.28%,-137.59%,-,-,-,-,-
Free Cash Flow Margin,7.74%,-11.30%,-150.16%,-683.18%,-847.66%,-66.19%,-,-,-,-,-
EBITDA,82.08,-163.18,-515.34,-593.06,-534.9,-213.09,-287.78,-,-,-,-20.08
EBITDA Margin,8.08%,-20.88%,-129.94%,-,-,-85.02%,-,-,-,-,-
D&A For EBITDA,1.68,1.8,1.78,1.55,1.38,0.64,0.24,-,-,-,0.01
EBIT,80.41,-164.98,-517.12,-594.61,-536.28,-213.73,-288.02,-127.93,-50.77,-27.28,-20.09
EBIT Margin,7.91%,-21.11%,-130.39%,-,-,-85.27%,-,-,-,-,-
Revenue as Reported,"1,016",781.37,396.59,75.42,66.56,250.65,-,-,-,-,-
Advertising Expenses,-,83.3,86.5,56.5,-,-,-,-,-,-,-
