Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,227","12,088","11,603","5,534","8,844","4,680","2,393","1,422","1,786","1,102",554
Market Cap Growth,-43.31%,4.18%,109.66%,-37.43%,88.96%,95.62%,68.30%,-20.40%,62.01%,98.89%,-59.23%
Enterprise Value,"7,540","12,383","11,502","5,529","8,885","4,895","2,663","1,543","1,913","1,196",631
Last Close Price,271.98,455.73,438.22,209.68,337.03,180.80,93.12,55.82,70.75,44.15,22.25
PE Ratio,25.70,33.39,32.70,15.48,34.92,33.83,21.04,13.54,19.60,22.96,10.07
Forward PE,27.06,30.83,28.34,16.19,30.16,30.10,19.47,12.84,26.33,21.74,11.57
PS Ratio,2.25,3.77,4.03,1.98,3.86,2.57,1.34,0.86,1.27,0.88,0.45
PB Ratio,2.86,5.23,5.98,3.50,7.25,4.87,2.94,2.04,3.07,2.28,1.30
P/TBV Ratio,2.88,5.27,6.03,3.55,7.36,4.97,3.01,2.11,3.20,2.41,1.38
P/FCF Ratio,-,-,84.04,52.41,91.32,60.00,-,43.39,-,40.74,9.34
P/OCF Ratio,11.61,20.71,20.08,11.70,23.12,15.14,8.77,5.54,11.32,7.53,3.80
PEG Ratio,2.99,1.94,1.96,0.99,0.83,1.98,1.30,2.14,2.14,2.14,1.20
EV/Sales Ratio,2.33,3.86,3.99,1.98,3.88,2.69,1.49,0.93,1.36,0.96,0.52
EV/EBITDA Ratio,11.90,17.77,17.97,8.81,18.79,15.67,9.81,6.33,10.53,7.66,4.07
EV/EBIT Ratio,19.13,25.45,24.93,11.75,26.82,27.53,17.50,10.90,20.24,14.98,7.01
EV/FCF Ratio,-,-,83.31,52.36,91.74,62.76,-,47.08,-,44.19,10.63
Debt / Equity Ratio,0.14,0.14,0.07,0.10,0.13,0.19,0.30,0.18,0.23,0.15,0.16
Debt / EBITDA Ratio,0.50,0.43,0.20,0.23,0.31,0.54,0.81,0.50,0.73,0.47,0.44
Debt / FCF Ratio,-,-,1.00,1.46,1.66,2.39,-,3.75,-,2.73,1.16
Asset Turnover,0.98,1.12,1.21,1.39,1.35,1.23,1.40,1.57,1.59,1.64,1.75
Quick Ratio,1.52,1.39,1.89,1.83,1.19,0.88,0.85,0.89,1.07,0.99,0.99
Current Ratio,1.68,1.57,2.01,1.94,1.30,0.99,0.96,1.02,1.22,1.15,1.13
Return on Equity (ROE),11.92%,17.03%,20.16%,25.53%,23.21%,15.57%,15.05%,16.42%,17.10%,10.54%,13.84%
Return on Assets (ROA),7.48%,10.58%,12.12%,14.63%,12.20%,7.50%,7.46%,8.42%,6.68%,6.53%,8.05%
Return on Capital (ROIC),9.10%,12.90%,15.12%,18.88%,16.38%,10.08%,10.14%,11.53%,9.29%,9.47%,11.88%
Return on Capital Employed (ROCE),12.30%,16.80%,20.40%,24.80%,21.70%,14.00%,13.00%,15.30%,11.80%,12.20%,15.30%
Earnings Yield,3.92%,3.00%,3.06%,6.46%,2.86%,2.96%,4.75%,7.38%,5.10%,4.36%,9.93%
FCF Yield,-0.19%,-3.80%,1.19%,1.91%,1.09%,1.67%,-0.62%,2.31%,-1.62%,2.46%,10.70%
Buyback Yield / Dilution,-0.06%,-0.15%,-0.33%,0.12%,-0.43%,-0.59%,-0.55%,-0.79%,-1.58%,-0.82%,-0.03%
