Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,95.97,85.21,99.68,123.93,400.57,108.13,115.01,-
Short-Term Investments,59.11,55.97,30.47,-,-,-,-,-
Cash & Short-Term Investments,155.08,141.19,130.15,123.93,400.57,108.13,115.01,-
Cash Growth,33.16%,8.48%,5.01%,-69.06%,270.44%,-5.98%,-,-
Accounts Receivable,60.94,37.63,32.82,43.34,26.56,32.33,21.64,-
Other Receivables,-,-,-,1.3,-,-,-,-
Receivables,60.94,37.63,32.82,44.64,26.56,32.33,21.64,-
Inventory,10.57,10.65,8.78,13.67,33.46,24.96,15.98,-
Prepaid Expenses,9.15,7.43,8.64,16.61,19.15,4.56,10.28,-
Restricted Cash,-,-,-,13.47,-,-,-,-
Other Current Assets,1.85,1.08,1.96,0.3,3.8,4.12,0.9,-
Total Current Assets,237.58,197.97,182.34,212.62,483.54,174.11,163.81,-
"Property, Plant & Equipment",66.62,58.51,59.38,84.29,62.72,63.11,35.26,-
Other Intangible Assets,172.59,158.6,172.63,186.65,-,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,-,0.2,-
Other Long-Term Assets,4.31,4.31,4.41,7.39,7.83,14.42,4.57,-
Total Assets,493.9,419.38,418.76,490.94,554.09,251.64,203.84,-
Accounts Payable,2.63,7.95,10.24,46.02,44.69,26.74,17.48,-
Accrued Expenses,47.63,30.1,27.88,44.2,47.19,35.14,16.94,-
Current Portion of Long-Term Debt,-,-,-,4.75,-,1.77,-,-
Current Portion of Leases,4.43,3.34,3.65,6.12,-,3.51,2.71,-
Current Unearned Revenue,-,-,-,-,0.47,1.78,1.56,-
Other Current Liabilities,32.93,13.43,17.06,43.21,8.93,4.51,1.5,-
Total Current Liabilities,87.62,54.82,58.82,144.3,101.28,73.44,40.19,-
Long-Term Debt,51.58,51.91,52.69,6.25,11,18.97,5,-
Long-Term Leases,57.15,60.92,62.94,60.01,-,20.78,17.28,-
Long-Term Unearned Revenue,-,-,-,-,-,-,0.78,-
Long-Term Deferred Tax Liabilities,1.03,0.97,1.56,2.66,-,-,-,-
Other Long-Term Liabilities,4.26,5.52,14.74,24.02,53.71,134.06,12.19,-
Total Liabilities,201.64,174.13,190.74,237.24,165.99,247.25,75.44,-
Common Stock,0,0,0,0,0.02,-,-,-
Additional Paid-In Capital,"1,647","1,597","1,528","1,378",963.52,-,-,-
Retained Earnings,"-1,356","-1,352","-1,300","-1,124",-575.44,-330.05,-88.71,-
Comprehensive Income & Other,1,0.83,0.43,-,-,-,-,-
Total Common Equity,292.26,245.25,228.02,253.71,388.1,-330.05,-88.71,-
Shareholders' Equity,292.26,245.25,228.02,253.71,388.1,4.39,128.4,-
Total Liabilities & Equity,493.9,419.38,418.76,490.94,554.09,251.64,203.84,-
Total Debt,113.16,116.17,119.27,77.13,11,45.03,24.99,-
Net Cash (Debt),41.92,25.02,10.88,46.8,389.57,63.11,90.02,-
Net Cash Growth,11576.32%,130.04%,-76.76%,-87.99%,517.31%,-29.89%,-,-
Net Cash Per Share,1.48,0.93,0.45,4.57,118.95,-,-,-
Filing Date Shares Outstanding,28.9,28.07,26.05,24.19,7.42,-,-,-
Total Common Shares Outstanding,28.89,28.02,25.98,11.77,7.35,-,-,-
Working Capital,149.96,143.15,123.52,68.33,382.26,100.67,123.62,-
Book Value Per Share,10.12,8.75,8.78,21.55,52.78,-,-,-
Tangible Book Value,106.88,86.65,55.39,67.06,388.1,-330.05,-88.71,-
Tangible Book Value Per Share,3.70,3.09,2.13,5.70,52.78,-,-,-
Machinery,35.52,25.76,21.91,54.21,38.43,30.15,19.75,-
Construction In Progress,10.76,4.96,3.11,3.39,0.94,4.67,5.96,-
Leasehold Improvements,14.69,14.66,14.61,35.56,21.91,16.74,2.12,-
