Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,681.54,661.82,607.52,667.24,579.78,520.4,392.76,408.9,302.24,215,147.47
Revenue Growth (YoY),4.54%,8.94%,-8.95%,15.09%,11.41%,32.50%,-3.95%,35.29%,40.57%,45.80%,59.11%
Cost of Revenue,75.91,77.91,83.78,87.22,75.06,52.46,16.66,15.36,15.22,11.99,8.42
Gross Profit,605.63,583.91,523.74,580.02,504.71,467.94,376.1,393.54,287.02,203.02,139.04
"Selling, General & Admin",380.11,335.78,336.36,377.22,304.76,200.68,153.25,154.7,137.91,106.01,89.06
Research & Development,108.8,108.8,91.59,74.55,90.47,75.96,69.1,89.21,49.58,42.79,29.14
Amortization of Goodwill & Intangibles,83.17,77.98,82.39,82.63,29.99,15.7,5.18,5.19,-,-,-
Operating Expenses,572.08,522.56,510.34,534.4,425.22,292.34,227.52,249.1,187.48,148.8,118.2
Operating Income,33.55,61.36,13.4,45.61,79.5,175.6,148.57,144.44,99.54,54.22,20.84
Interest Expense,-,-,-2.42,-7.07,-23.42,-23.75,-22.71,-18.11,-1.57,-5.09,-4.77
Interest & Investment Income,0,-,-,-,10.22,14.35,21.32,13.84,2.86,1.47,0.68
Other Non Operating Income (Expenses),16.2,16.2,10.45,21.68,-,-,-,-,0.08,0.45,0.19
EBT Excluding Unusual Items,49.75,77.55,21.44,60.22,66.3,166.2,147.19,140.18,100.91,51.04,16.95
Gain (Loss) on Sale of Investments,0.01,0.01,-,0.01,0.35,4.35,0.3,-,-,-,-
Asset Writedown,-,-,-20.19,-,-,-,-,-,-,-,-
Other Unusual Items,-8.02,6.11,1.52,0.51,6.53,-1.9,-,-,-0.3,-0.67,-2.34
Pretax Income,-20.73,97.87,2.77,60.74,73.18,168.65,147.49,140.18,100.62,50.37,14.61
Income Tax Expense,-1.62,24.01,1.45,0.03,19.75,41.7,34.43,29.18,43.33,-40.85,0.67
Net Income,-19.12,73.87,1.32,60.71,53.42,126.95,113.06,110.99,57.28,91.22,13.94
Net Income to Common,-19.12,73.87,1.32,60.71,53.42,126.95,113.06,110.99,57.28,91.22,13.94
Net Income Growth,-,5512.84%,-97.83%,13.64%,-57.92%,12.29%,1.86%,93.76%,-37.20%,554.19%,-
Shares Outstanding (Basic),56,55,55,54,53,53,52,52,51,49,47
Shares Outstanding (Diluted),56,56,56,62,54,54,54,54,53,52,51
Shares Change (YoY),0.54%,0.81%,-10.01%,13.47%,1.24%,-0.24%,-0.52%,1.50%,3.08%,1.07%,21.06%
EPS (Basic),-0.34,1.34,0.02,1.13,1.01,2.41,2.16,2.13,1.13,1.84,0.29
EPS (Diluted),-0.34,1.32,0.02,1.04,0.98,2.36,2.10,2.05,1.08,1.76,0.28
EPS Growth,-,6500.00%,-98.08%,6.32%,-58.48%,12.38%,2.44%,90.64%,-38.77%,522.69%,-
Free Cash Flow,70.75,171.23,110.53,116.41,125.08,134.71,141.74,128.14,112.61,65.21,32.42
Free Cash Flow Per Share,1.26,3.06,1.99,1.89,2.30,2.51,2.63,2.37,2.11,1.26,0.63
Gross Margin,88.86%,88.23%,86.21%,86.93%,87.05%,89.92%,95.76%,96.25%,94.97%,94.42%,94.29%
Operating Margin,4.92%,9.27%,2.21%,6.84%,13.71%,33.74%,37.83%,35.33%,32.93%,25.22%,14.13%
Profit Margin,-2.80%,11.16%,0.22%,9.10%,9.21%,24.39%,28.79%,27.14%,18.95%,42.43%,9.46%
Free Cash Flow Margin,10.38%,25.87%,18.19%,17.45%,21.57%,25.89%,36.09%,31.34%,37.26%,30.33%,21.98%
EBITDA,118.94,141.77,98.26,131.16,112.09,193.74,155.23,151.51,107.67,56.62,21.77
EBITDA Margin,17.45%,21.42%,16.17%,19.66%,19.33%,37.23%,39.52%,37.05%,35.63%,26.33%,14.76%
D&A For EBITDA,85.39,80.41,84.86,85.54,32.6,18.14,6.66,7.06,8.13,2.4,0.92
EBIT,33.55,61.36,13.4,45.61,79.5,175.6,148.57,144.44,99.54,54.22,20.84
EBIT Margin,4.92%,9.27%,2.21%,6.84%,13.71%,33.74%,37.83%,35.33%,32.93%,25.22%,14.13%
Effective Tax Rate,-,24.53%,52.47%,0.05%,26.99%,24.73%,23.34%,20.82%,43.07%,-,4.56%
Revenue as Reported,681.54,661.82,607.52,667.24,579.78,520.4,392.76,408.9,302.24,215,147.47
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,19.3
