Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,573","1,997","1,581","1,928","1,551","1,326","1,244","1,736","2,043","1,250",658
Market Cap Growth,37.07%,26.29%,-18.00%,24.34%,16.99%,6.52%,-28.32%,-15.02%,63.41%,90.12%,84.53%
Enterprise Value,"2,298","1,632","1,398","1,849","1,128","1,019",746,"1,346","1,833","1,128",564
Last Close Price,45.09,36.16,28.94,35.67,29.16,25.16,23.72,33.22,39.85,25.25,13.44
PE Ratio,-,27.03,1201.42,31.76,29.03,10.44,11.01,15.64,35.66,13.70,47.16
Forward PE,17.42,19.65,15.34,30.84,15.73,15.73,13.98,18.25,28.31,21.26,28.66
PS Ratio,3.70,3.02,2.60,2.89,2.68,2.55,3.17,4.25,6.76,5.81,4.46
PB Ratio,2.45,1.93,1.72,2.18,1.90,1.78,2.09,3.83,7.64,6.52,7.47
P/TBV Ratio,8.26,5.03,7.73,28.90,-,4.38,2.18,4.12,8.83,8.04,7.56
P/FCF Ratio,35.86,11.66,14.30,16.56,12.40,9.84,8.78,13.55,18.14,19.17,20.28
P/OCF Ratio,35.30,11.61,14.23,16.51,12.20,9.58,8.69,13.46,17.82,18.71,19.05
PEG Ratio,0.46,1.11,1.11,1.11,1.11,1.11,1.11,0.49,1.29,0.49,-
EV/Sales Ratio,3.37,2.47,2.30,2.77,1.95,1.96,1.90,3.29,6.07,5.25,3.82
EV/EBITDA Ratio,19.32,11.51,14.23,14.10,10.06,5.26,4.81,8.89,17.02,19.92,25.91
EV/EBIT Ratio,68.51,26.59,104.31,40.53,14.18,5.80,5.02,9.32,18.42,20.80,27.06
EV/FCF Ratio,32.48,9.53,12.65,15.88,9.01,7.56,5.26,10.51,16.28,17.30,17.39
Debt / Equity Ratio,0.04,0.03,0.05,0.51,0.54,0.59,0.67,0.78,0.10,0.18,0.43
Debt / EBITDA Ratio,0.32,0.22,0.37,3.13,3.55,2.17,2.47,2.34,0.25,0.61,1.73
Debt / FCF Ratio,0.60,0.20,0.38,3.87,3.52,3.24,2.83,2.76,0.24,0.53,1.16
Asset Turnover,0.49,0.50,0.41,0.39,0.36,0.39,0.37,0.58,0.82,0.86,0.91
Inventory Turnover,1.06,1.18,0.99,0.98,1.12,1.40,0.64,0.73,0.92,0.82,0.65
Quick Ratio,1.37,2.04,1.38,0.91,1.55,2.30,2.71,2.84,1.67,1.63,1.55
Current Ratio,1.80,2.35,1.70,1.07,1.91,2.57,2.94,3.06,1.86,1.88,1.86
Return on Equity (ROE),-1.86%,7.55%,0.15%,7.13%,6.85%,18.94%,21.57%,30.81%,24.95%,65.21%,21.67%
Return on Assets (ROA),1.52%,2.90%,0.56%,1.68%,3.11%,8.24%,8.69%,12.88%,16.95%,13.60%,8.01%
Return on Capital (ROIC),1.96%,3.77%,0.73%,2.20%,4.08%,10.08%,10.30%,16.39%,23.91%,19.26%,11.71%
Return on Capital Employed (ROCE),3.10%,5.70%,1.40%,4.50%,5.80%,13.90%,14.90%,17.70%,33.00%,23.70%,15.80%
Earnings Yield,-0.75%,3.70%,0.08%,3.15%,3.45%,9.58%,9.09%,6.39%,2.80%,7.30%,2.12%
FCF Yield,2.79%,8.58%,6.99%,6.04%,8.07%,10.16%,11.39%,7.38%,5.51%,5.22%,4.93%
Buyback Yield / Dilution,-0.54%,-0.81%,10.01%,-13.47%,-1.24%,0.24%,0.52%,-1.50%,-3.08%,-1.07%,-21.06%
