Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,151.37,69.33,75.05,93.12,203.43,288.64,181.38,192.25,100.3,66.4,33.5
Short-Term Investments,129.79,384.28,179.82,368.21,136.25,133.89,165.69,163.77,39.74,23.72,28.69
Cash & Short-Term Investments,281.16,453.61,254.87,461.33,339.68,422.53,347.07,356.02,140.04,90.12,62.19
Cash Growth,-30.27%,77.98%,-44.75%,35.81%,-19.61%,21.74%,-2.51%,154.23%,55.39%,44.91%,-16.34%
Receivables,171.25,142.08,144.16,165.5,148.93,140.88,87.33,102.92,65.59,41.53,25.91
Inventory,79.4,54.29,77.41,91.54,85.96,48.33,26.63,25.66,16.3,16.8,12.59
Prepaid Expenses,62.08,36.09,16.68,15.78,27.02,18.68,11.61,8.89,6.52,2.96,5.26
Total Current Assets,593.89,686.07,493.11,734.15,601.59,630.42,472.64,493.49,228.45,151.4,105.95
"Property, Plant & Equipment",39.39,36.02,42.52,44.08,52.32,58.06,38.35,4.09,5.12,4.34,3.87
Long-Term Investments,-,-,16.62,93.9,119.17,350.36,591.77,418.8,133.64,75.41,55.01
Goodwill,119.08,117.02,117.02,117.02,117.52,77.91,-,-,-,-,-
Other Intangible Assets,623.48,521.91,599.89,702.46,784.69,364.34,24.84,31.37,36.02,36.35,0.98
Long-Term Deferred Tax Assets,8.79,-,-,-,-,-,32.06,29.68,20.84,41.73,-
Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,22.5
Other Long-Term Assets,35.12,7.05,8.51,10.9,13.87,23.02,0.62,0.38,0.39,0.33,0.32
Total Assets,"1,420","1,368","1,278","1,703","1,689","1,504","1,160",977.81,424.46,309.57,188.63
Accounts Payable,8.18,4.59,1.96,10.54,9.33,6.15,10.14,3.2,6.84,8.06,4.31
Accrued Expenses,230.84,180.21,166.26,185.67,199.47,165.62,123.12,121.54,76.77,27.43,25.15
Current Portion of Long-Term Debt,-,-,-,407.97,7.24,5.32,3.24,2.18,4.28,3.1,0.5
Current Portion of Leases,10.79,6.89,8.33,6.79,6.48,7.52,2.83,-,-,-,-
Current Income Taxes Payable,-,-,-,-,-,-,2.44,12.38,15.94,0.01,-
Current Unearned Revenue,-,-,-,-,-,-,-,-,0.29,0.21,0.18
Other Current Liabilities,80.83,100.72,113.64,76.99,92.86,60.5,18.82,22.06,18.88,41.94,26.79
Total Current Liabilities,330.63,292.4,290.2,687.96,315.38,245.11,160.59,161.35,123,80.74,56.93
Long-Term Debt,-,-,-,-,385.23,375.16,364.42,352.04,22.26,31.45,37.12
Long-Term Leases,31.42,27.38,33.2,36,41.3,48.81,30.44,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,1.15,1.5,1.39
Long-Term Deferred Tax Liabilities,-,4.96,24.96,49.81,85.36,35.22,-,-,-,-,-
Other Long-Term Liabilities,8.04,7.6,7.8,42.54,46.04,54.95,9.41,11.4,10.58,4.12,5.18
Total Liabilities,370.09,332.34,356.16,816.3,873.3,759.24,564.85,524.79,156.98,117.81,100.62
Common Stock,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Additional Paid-In Capital,527.7,479.44,439.49,408.12,434.34,409.33,388.41,369.64,295,276.13,263.96
Retained Earnings,521.98,556.43,482.56,481.25,379.92,326.5,199.55,86.49,-26.82,-84.29,-175.51
Comprehensive Income & Other,-0.07,-0.19,-0.59,-3.21,1.54,8.98,7.42,-3.16,-0.75,-0.13,-0.49
Shareholders' Equity,"1,050","1,036",921.52,886.2,815.85,744.86,595.43,453.02,267.48,191.76,88.01
Total Liabilities & Equity,"1,420","1,368","1,278","1,703","1,689","1,504","1,160",977.81,424.46,309.57,188.63
Total Debt,42.21,34.27,41.53,450.76,440.25,436.82,400.93,354.22,26.54,34.56,37.61
Net Cash (Debt),238.95,419.34,229.96,104.47,18.6,336.08,537.92,420.6,247.14,130.98,79.59
Net Cash Growth,-34.54%,82.35%,120.12%,461.74%,-94.47%,-37.52%,27.89%,70.19%,88.69%,64.57%,109.97%
Net Cash Per Share,4.27,7.49,4.14,1.69,0.34,6.26,10.00,7.77,4.64,2.53,1.56
Filing Date Shares Outstanding,57.34,55.81,54.73,54.38,53.39,52.92,52.53,52.32,51.54,50.16,49.4
Total Common Shares Outstanding,57.12,55.74,54.72,54.25,53.26,52.87,52.53,52.32,51.31,49.97,49
Working Capital,263.26,393.67,202.92,46.19,286.21,385.31,312.06,332.13,105.45,70.66,49.01
Book Value Per Share,18.38,18.58,16.84,16.33,15.32,14.09,11.33,8.66,5.21,3.84,1.80
Tangible Book Value,307.11,396.8,204.61,66.72,-86.36,302.61,570.59,421.66,231.46,155.41,87.03
Tangible Book Value Per Share,5.38,7.12,3.74,1.23,-1.62,5.72,10.86,8.06,4.51,3.11,1.78
Machinery,15.18,14.48,14.03,13.11,14.23,14.64,12.89,10.31,9.56,7.96,6.78
Construction In Progress,-,-,-,0.21,0.03,-,0.43,0.09,0.18,0.03,1.11
Leasehold Improvements,14.02,14.02,14.02,14.02,14.37,15.18,14.22,2.73,2.73,2.64,2.64
