Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,416","1,941","1,017",600,775,425,417,325,525,419,334
Market Cap Growth,80.69%,90.79%,69.56%,-22.54%,82.12%,1.93%,28.22%,-38.00%,25.15%,25.50%,-5.31%
Enterprise Value,"3,830","2,413","1,479",921,"1,096",701,716,518,726,673,604
Last Close Price,166.52,94.79,64.08,46.12,59.40,37.23,36.31,28.24,45.41,36.20,28.77
PE Ratio,304.74,126.67,26.00,21.39,97.25,-,11.27,9.28,13.43,15.65,13.41
Forward PE,42.38,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54,13.54
PS Ratio,2.57,1.80,1.18,0.90,1.61,0.64,0.55,0.47,0.69,0.61,0.63
PB Ratio,3.50,1.96,1.65,1.34,1.86,1.19,1.15,0.99,1.79,1.64,1.46
P/TBV Ratio,9.76,6.48,6.75,4.12,12.84,29.14,-,9.33,-,-,-
P/FCF Ratio,127.84,-,-,-,-,13.58,49.89,20.68,11.25,10.32,12.37
P/OCF Ratio,77.02,-,-,74.53,-,11.89,23.19,17.26,10.41,8.89,8.90
PEG Ratio,2.14,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71
EV/Sales Ratio,2.87,2.23,1.72,1.38,2.28,1.06,0.95,0.74,0.96,0.97,1.13
EV/EBITDA Ratio,21.84,18.35,12.85,11.77,48.95,8.89,8.17,6.66,9.05,8.68,7.88
EV/EBIT Ratio,27.90,23.49,16.14,17.17,-,12.80,11.80,9.86,13.36,13.06,11.82
EV/FCF Ratio,142.15,-,-,-,-,22.38,85.55,32.92,15.55,16.56,22.34
Debt / Equity Ratio,0.40,0.49,0.75,0.69,0.76,0.78,0.83,0.55,0.66,0.93,1.12
Debt / EBITDA Ratio,2.11,3.45,3.78,3.81,13.18,3.33,3.21,2.31,2.43,3.07,3.34
Debt / FCF Ratio,14.64,-,-,-,-,8.92,35.82,11.41,4.17,5.85,9.47
Asset Turnover,0.88,0.70,0.73,0.70,0.57,0.81,1.01,1.10,1.18,1.08,1.10
Inventory Turnover,2.34,1.77,1.70,1.70,1.61,2.48,3.47,4.18,5.11,5.03,5.86
Quick Ratio,1.20,0.91,0.50,0.44,0.61,0.56,0.72,0.97,0.87,0.69,0.82
Current Ratio,3.94,3.10,2.70,2.44,2.58,2.55,2.16,2.68,2.18,1.74,2.04
Return on Equity (ROE),6.63%,4.55%,8.09%,6.15%,-2.84%,-1.44%,10.71%,11.29%,14.26%,11.06%,11.46%
Return on Assets (ROA),5.67%,4.16%,4.88%,3.49%,-0.16%,4.21%,5.11%,5.18%,5.26%,5.04%,6.56%
Return on Capital (ROIC),6.49%,5.04%,6.25%,4.49%,-0.20%,5.27%,6.48%,6.60%,6.92%,6.58%,8.36%
Return on Capital Employed (ROCE),10.00%,7.10%,8.60%,6.90%,-0.30%,8.50%,8.90%,9.80%,10.50%,10.00%,9.80%
Earnings Yield,0.33%,0.79%,3.85%,4.68%,1.03%,-1.22%,8.87%,10.78%,7.45%,6.39%,7.46%
FCF Yield,0.78%,-2.67%,-3.98%,-0.53%,-3.63%,7.37%,2.00%,4.84%,8.89%,9.69%,8.08%
Dividend Yield,0.24%,0.42%,0.62%,0.87%,0.62%,0.97%,0.96%,1.10%,0.60%,0.65%,0.75%
Payout Ratio,73.97%,46.07%,13.89%,18.21%,55.57%,-,10.06%,9.30%,7.20%,9.26%,9.06%
Buyback Yield / Dilution,-22.29%,-26.72%,-10.58%,-1.54%,-14.49%,0.10%,-0.99%,-0.63%,-0.37%,-0.38%,-0.42%
Total Shareholder Return,-22.05%,-26.30%,-9.95%,-0.68%,-13.87%,1.06%,-0.03%,0.47%,0.23%,0.27%,0.33%
