Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"3,132","1,428","1,234","1,042",811,"1,203",607,"1,390",-,-
Market Cap Growth,92.04%,15.76%,18.45%,28.46%,-32.59%,98.17%,-56.32%,-,-,-
Enterprise Value,"2,786","1,215","1,046",848,617,840,351,"1,052",-,-
Last Close Price,41.40,19.78,17.54,14.98,11.77,17.67,11.06,28.09,-,-
PE Ratio,88.68,-,87.60,5.68,-,-,-,-,-,-
Forward PE,22.08,42.93,-,-,-,-,-,-,-,-
PS Ratio,5.07,3.37,4.57,4.73,21.04,-,-,-,-,-
PB Ratio,5.83,3.26,2.81,2.63,4.38,3.86,2.69,4.98,-,-
P/TBV Ratio,6.02,3.38,2.93,2.76,4.89,3.86,2.69,4.98,-,-
P/FCF Ratio,30.76,56.20,93.67,182.67,-,-,-,-,-,-
P/OCF Ratio,30.42,55.59,92.76,179.37,-,-,-,-,-,-
EV/Sales Ratio,4.66,2.87,3.87,3.85,16.02,-,-,-,-,-
EV/EBITDA Ratio,70.29,-,-,69.62,-,-,-,-,-,-
EV/EBIT Ratio,73.03,-,-,86.73,-,-,-,-,-,-
EV/FCF Ratio,27.39,47.81,79.39,148.64,-,-,-,-,-,-
Debt / Equity Ratio,0.02,0.02,0.03,0.02,0.03,0.02,0.01,-,-,-
Debt / EBITDA Ratio,0.22,-,-,0.38,-,-,-,-,-,-
Debt / FCF Ratio,0.10,0.39,0.93,1.04,-,-,-,-,-,-
Asset Turnover,0.94,0.77,0.55,0.64,0.13,-,-,-,-,-
Inventory Turnover,8.06,6.58,3.41,3.72,-,-,-,-,-,-
Quick Ratio,3.27,2.84,3.58,4.48,4.15,10.16,8.39,7.22,2.61,24.31
Current Ratio,3.85,3.30,4.34,5.16,4.38,10.46,8.68,7.37,2.70,24.47
Return on Equity (ROE),7.39%,-9.85%,3.37%,63.10%,-63.55%,-60.07%,-64.14%,-66.74%,-154.04%,-
Return on Assets (ROA),3.76%,-5.15%,-3.19%,1.76%,-33.63%,-32.57%,-36.85%,-36.59%,-78.64%,-
Return on Capital (ROIC),4.80%,-6.34%,-3.69%,2.06%,-38.39%,-35.96%,-41.88%,-43.71%,-97.06%,-
Return on Capital Employed (ROCE),6.50%,-,-,2.40%,-,-,-,-,-,-
Earnings Yield,1.15%,-3.02%,1.14%,17.60%,-19.48%,-13.42%,-26.67%,-7.43%,-,-
FCF Yield,3.25%,1.78%,1.07%,0.55%,-15.63%,-11.37%,-26.62%,-6.21%,-,-
Buyback Yield / Dilution,-7.99%,0.69%,-2.13%,-2.69%,-10.89%,-14.42%,-82.92%,-1532.68%,-591.55%,-
