Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,910.8,219.89,224.33,352.93,"2,241","1,297",150.97,196.96,177.32,257.3,254.07
Investment Securities,"1,195","1,089","1,309","1,338","1,309",142.09,161.9,133.44,139.64,121.94,135.75
Trading Asset Securities,37.78,57.29,55.7,70.17,92.19,187.42,78.39,26.31,17.48,22.76,23.31
Mortgage-Backed Securities,"2,125","1,618","1,617","1,787","1,352","1,017","1,027",940.28,805.54,728.79,709
Total Investments,"3,358","2,764","2,982","3,196","2,753","1,347","1,267","1,100",962.66,873.48,868.06
Gross Loans,"18,452","14,508","14,278","13,929","13,587","9,393","8,895","6,921","6,365","6,008","5,554"
Allowance for Loan Losses,-190.48,-169.98,-142.22,-152.42,-146.92,-113.39,-67.74,-64.29,-60.64,-61.57,-55.83
Other Adjustments to Gross Loans,-,-,-,-,-,-,-21.6,-15.2,-9.4,-8.6,-6.6
Net Loans,"18,262","14,338","14,136","13,776","13,440","9,279","8,806","6,842","6,295","5,938","5,492"
"Property, Plant & Equipment",221.17,247.82,247.15,255.4,255.79,166.09,180.27,97.58,94.72,78.48,75.66
Goodwill,"1,083",985.07,985.07,985.07,985.07,506.21,506.21,256.11,231.81,221.53,201.08
Other Intangible Assets,141.73,12.28,18.19,25.07,32.77,23.11,29.29,15.25,9.34,9.85,11.83
Loans Held for Sale,17.05,7.27,6.37,2.8,24.68,58.1,33.31,6.43,4.77,6.14,5.99
Accrued Interest Receivable,9,6.7,7.7,8,5,1.2,1.3,-,-,-,-
Other Receivables,7.48,5.97,5.51,5.26,5.39,4.64,2.34,1.89,1.93,-,-
Restricted Cash,-,-,-,-,-,-,-,53.5,35.8,31.8,21.7
Other Current Assets,4.61,4.25,4.99,3.89,3.72,2.84,2.18,1.5,1.32,0.8,0.36
Other Real Estate Owned & Foreclosed,2.1,-,0.11,-,-,-,-,-,0.61,4.17,2.16
Other Long-Term Assets,953.94,749.95,686.99,678.7,665.21,508.86,402.1,264.76,255.24,276.29,262.24
Total Assets,"24,993","19,374","19,347","19,294","20,423","13,204","11,395","8,852","8,082","7,709","7,209"
Interest Bearing Deposits,"14,660","10,915","10,298","10,437","11,438","7,231","5,821","4,625","4,291","4,089","3,869"
Institutional Deposits,-,-,-,-,-,-,663.65,351.63,278.53,266.19,274.7
Non-Interest Bearing Deposits,"5,636","4,391","4,567","5,442","5,480","3,762","2,663","2,451","2,159","2,057","1,847"
Total Deposits,"20,296","15,306","14,866","15,879","16,917","10,993","9,147","7,427","6,729","6,412","5,991"
Short-Term Borrowings,64.16,740.68,"1,214",146.67,94.25,117.96,53.92,17.52,178.37,198.83,160.27
Current Portion of Long-Term Debt,-,-,-,-,14.06,35.04,104.98,147.05,52.48,50,-
Current Portion of Leases,-,13.9,-,-,-,-,-,-,-,-,-
Long-Term Debt,296.28,-,49.98,49.89,49.79,82.47,124.51,34.73,34.68,34.64,34.59
"Federal Home Loan Bank Debt, Long-Term",416.24,0.51,0.54,0.64,0.67,0.7,10.77,0.76,0.79,0.82,102.08
Long-Term Leases,-,42.63,-,-,-,-,-,-,-,-,-
Trust Preferred Securities,62.86,62.86,62.86,62.86,62.85,62.85,62.85,76.17,73.07,73.11,73.31
Other Long-Term Liabilities,310.94,213.89,259.69,268.42,266.29,209.43,182.63,74.75,69.58,75.04,77.06
Total Liabilities,"21,446","16,380","16,452","16,407","17,405","11,502","9,687","7,778","7,138","6,845","6,438"
Common Stock,0.5,0.42,0.43,0.46,0.47,0.33,0.34,0.28,0.27,0.27,0.26
Additional Paid-In Capital,"2,371","1,910","1,932","2,115","2,249",945.64,"1,035",527.65,479.43,451.66,405.49
Retained Earnings,"1,223","1,173","1,077",934.44,766.72,716.02,654.18,546.74,465.94,414.1,368.17
Comprehensive Income & Other,-47.56,-90.01,-114.83,-163.08,2.18,40.7,18.17,-1.17,-1.83,-1.34,-2.45
Shareholders' Equity,"3,547","2,993","2,895","2,887","3,018","1,703","1,708","1,073",943.81,864.69,771.46
Total Liabilities & Equity,"24,993","19,374","19,347","19,294","20,423","13,204","11,395","8,852","8,082","7,709","7,209"
Total Debt,839.54,860.58,"1,327",260.04,221.62,299.02,357.03,276.23,339.39,357.39,370.25
Net Cash (Debt),109.03,-583.4,"-1,047",163.06,"2,111","1,185",-127.67,-52.97,-144.6,-77.33,-92.88
Net Cash Growth,-,-,-,-92.28%,78.16%,-,-,-,-,-,-
Net Cash Per Share,2.45,-13.72,-23.69,3.52,60.51,35.60,-3.89,-1.92,-5.28,-2.92,-3.58
Filing Date Shares Outstanding,49.58,42.61,42.45,45.06,47.4,33.02,34.33,28.12,27.51,27.04,26.29
Total Common Shares Outstanding,49.79,42.5,42.87,45.64,47.35,32.97,34.38,28.08,27.45,27.01,26.24
Book Value Per Share,71.24,70.43,67.53,63.25,63.75,51.65,49.69,38.23,34.38,32.02,29.40
Tangible Book Value,"2,322","1,996","1,892","1,877","2,001","1,173","1,173",802.14,702.66,633.32,558.55
Tangible Book Value Per Share,46.63,46.96,44.13,41.12,42.25,35.59,34.11,28.57,25.60,23.45,21.29
