Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,312","2,728","2,886","3,854","2,695","2,408","2,862","1,974","1,917","1,902","1,221"
Market Cap Growth,23.95%,-5.48%,-25.11%,43.01%,11.91%,-15.86%,44.94%,3.00%,0.77%,55.85%,19.00%
Last Close Price,66.46,62.48,61.49,75.78,71.33,62.37,69.01,56.98,55.48,54.90,35.46
PE Ratio,16.59,14.20,12.05,14.61,22.27,19.87,17.33,16.23,21.98,24.82,18.79
PS Ratio,4.15,4.17,4.08,5.36,5.51,5.66,5.71,5.19,5.66,6.25,4.24
PB Ratio,0.93,0.91,1.00,1.34,0.89,1.41,1.68,1.84,2.03,2.20,1.58
P/FCF Ratio,16.47,13.02,11.05,9.65,16.33,46.26,14.31,15.10,18.11,23.06,15.44
P/OCF Ratio,15.31,11.86,10.42,9.15,14.17,37.25,13.22,13.92,14.64,20.48,13.63
Debt / Equity Ratio,0.24,0.29,0.46,0.09,0.07,0.18,0.21,0.26,0.36,0.41,0.48
Debt / FCF Ratio,4.20,4.11,5.08,0.65,1.34,5.75,1.79,2.11,3.21,4.33,4.68
Return on Equity (ROE),5.51%,6.52%,8.28%,8.94%,5.13%,7.11%,11.88%,12.06%,9.64%,9.37%,9.20%
Return on Assets (ROA),0.81%,0.99%,1.24%,1.33%,0.72%,0.98%,1.63%,1.44%,1.10%,1.03%,0.96%
Earnings Yield,5.46%,7.04%,8.30%,6.85%,4.49%,5.03%,5.77%,6.16%,4.55%,4.03%,5.32%
FCF Yield,6.07%,7.68%,9.05%,10.36%,6.12%,2.16%,6.99%,6.62%,5.52%,4.34%,6.48%
Dividend Yield,3.51%,3.65%,3.58%,2.74%,2.69%,2.95%,2.55%,2.67%,2.31%,2.11%,2.93%
Payout Ratio,57.80%,50.08%,40.92%,35.53%,51.85%,50.21%,32.25%,33.03%,39.04%,38.76%,40.29%
Buyback Yield / Dilution,-3.95%,3.81%,4.74%,-32.97%,-4.82%,-1.31%,-18.81%,-1.03%,-3.46%,-1.91%,-8.20%
Total Shareholder Return,-0.54%,7.45%,8.31%,-30.22%,-2.13%,1.64%,-16.26%,1.64%,-1.16%,0.20%,-5.26%
