Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Interest Income on Loans,855.46,789.99,730.2,578.1,382.29,371.05,412.35,294.45,253.22,224.48,214.95
Interest Income on Investments,85.73,62.77,65.53,64.75,32.99,31.02,34.66,29.25,23.97,22.16,20.6
Total Interest Income,941.19,852.75,795.73,642.84,415.28,402.07,447.01,323.7,277.19,246.64,235.55
Interest Paid on Deposits,264.21,246.96,144.75,24.65,8.33,27.33,41.19,20,12.7,11.14,11.58
Interest Paid on Borrowings,35.97,44.06,44.45,4.94,5.39,7.01,12.69,5.54,5.63,7.65,9.04
Total Interest Expense,300.18,291.02,189.21,29.59,13.72,34.34,53.88,25.54,18.33,18.79,20.62
Net Interest Income,641.01,561.73,606.52,613.25,401.56,367.73,393.14,298.17,258.86,227.84,214.93
Net Interest Income Growth (YoY),14.03%,-7.38%,-1.10%,52.72%,9.20%,-6.46%,31.85%,15.18%,13.61%,6.01%,9.63%
Trust Income,47.04,42.74,40.19,36.83,35.31,29.43,28.72,26.16,23.8,21.81,20.74
Mortgage Banking Activities,4.31,4.14,2.33,3.52,13.28,18.95,11.45,4.07,4.96,6.61,5.16
Gain (Loss) on Sale of Assets,-,-,-,-,-0.14,-0.37,0.47,1.13,0.11,-,-
Gain (Loss) on Sale of Investments,-0.22,0.42,1.18,-3.06,0.55,-0.51,0.1,-1.23,0,-0.03,-0.81
Other Non-Interest Income,58.15,54.25,57.43,50.95,39.96,47.41,53.52,38.83,36.3,35.36,30.61
Total Non-Interest Income,139.44,128.01,124.61,111.61,105.71,110.04,114.31,87.28,82.99,82.4,74.26
Non-Interest Income Growth (YoY),9.03%,2.73%,11.65%,5.58%,-3.93%,-3.74%,30.96%,5.16%,0.72%,10.96%,6.20%
Revenues Before Loan Losses,780.44,689.74,731.13,724.86,507.27,477.76,507.44,385.45,341.85,310.25,289.19
Provision for Loan Losses,68.22,36.25,23.25,6.5,18.21,52.5,6,4.78,2.95,6.08,1.5
Revenue,712.22,653.49,707.88,718.36,489.07,425.26,501.44,380.67,338.9,304.17,287.69
Revenue Growth (YoY),8.60%,-7.68%,-1.46%,46.88%,15.00%,-15.19%,31.73%,12.32%,11.42%,5.73%,12.57%
Salaries and Employee Benefits,257.07,227.73,216.36,200.92,169.01,149.19,145.49,121.03,113.87,106.05,102.77
Occupancy Expenses,40.99,37.67,36.08,32.45,21.69,24.35,22.37,27.1,24.69,14.37,14.82
Federal Deposit Insurance,11.03,10.89,11.95,6.95,3.98,2.52,1.39,2.77,3.07,3.38,3.98
Amortization of Goodwill & Intangibles,11.27,5.91,6.88,7.66,5.72,6.14,6.38,2.34,2.71,-,-
"Selling, General & Administrative",62.25,55.56,55.28,53.78,41.47,35.49,37.43,21.46,20.38,27.81,26.21
Other Non-Interest Expense,69.53,66.11,65.6,61.08,48.96,49.73,43.11,37.95,35.64,34.22,36.91
Total Non-Interest Expense,452.75,404.46,392.75,363.5,291.55,268.26,256.9,213.58,200.97,186.2,184.89
EBT Excluding Unusual Items,259.48,249.03,315.13,354.85,197.52,157,244.54,167.09,137.94,117.97,102.8
Other Unusual Items,-,-,-,-,-,-4.16,-,-,-,-0.44,-0.12
Pretax Income,230.29,247.13,315.13,347.75,156.68,152.84,218.11,155.93,134.55,112.08,92.18
Income Tax Expense,50.47,55.05,75.63,83.94,35.68,31.67,52.93,34.3,47.34,35.43,27.22
Net Income,179.82,192.08,239.5,263.81,120.99,121.17,165.18,121.62,87.2,76.65,64.96
Net Income to Common,179.82,192.08,239.5,263.81,120.99,121.17,165.18,121.62,87.2,76.65,64.96
Net Income Growth,-8.65%,-19.80%,-9.21%,118.04%,-0.14%,-26.64%,35.81%,39.47%,13.77%,17.99%,8.55%
Basic Shares Outstanding,44,42,44,46,35,33,33,28,27,26,26
Diluted Shares Outstanding,44,43,44,46,35,33,33,28,27,26,26
Shares Change (YoY),3.95%,-3.81%,-4.74%,32.97%,4.82%,1.31%,18.81%,1.03%,3.46%,1.91%,8.20%
EPS (Basic),4.05,4.52,5.42,5.69,3.47,3.64,5.03,4.41,3.19,2.90,2.51
EPS (Diluted),4.05,4.52,5.42,5.69,3.47,3.64,5.03,4.40,3.19,2.90,2.50
EPS Growth,-12.01%,-16.61%,-4.73%,63.97%,-4.68%,-27.63%,14.32%,37.93%,10.00%,16.00%,0.40%
Dividend Per Share,2.340,2.280,2.200,2.080,1.920,1.840,1.760,1.520,1.280,1.160,1.040
Dividend Growth,3.54%,3.64%,5.77%,8.33%,4.35%,4.54%,15.79%,18.75%,10.35%,11.54%,8.33%
Effective Tax Rate,21.92%,22.27%,24.00%,24.14%,22.78%,20.72%,24.27%,22.00%,35.19%,31.61%,29.53%
