Period Ending,"Nov '25Nov 18, 2025","May '25May 3, 2025","Apr '24Apr 27, 2024","Apr '23Apr 29, 2023","Apr '22Apr 30, 2022","May '21May 1, 2021","May '20May 2, 2020","Apr '19Apr 27, 2019","Apr '18Apr 28, 2018","Apr '17Apr 29, 2017","Apr '16Apr 30, 2016"
Market Capitalization,"3,117","4,034","4,075","4,640","4,114","4,534","2,334","2,682","4,185","4,126","2,176"
Market Cap Growth,-26.33%,-1.00%,-12.18%,12.77%,-9.25%,94.23%,-12.97%,-35.91%,1.43%,89.62%,109.27%
Enterprise Value,"2,868","3,935","3,851","4,557","4,157","4,416","2,115","2,407","4,025","4,015","2,085"
Last Close Price,32.56,43.09,40.65,46.38,41.14,42.71,20.67,23.74,35.88,34.85,17.87
PE Ratio,16.63,21.59,23.06,32.64,25.96,26.03,17.96,19.04,27.94,38.54,35.69
Forward PE,16.01,21.07,22.00,28.16,24.29,26.14,18.96,20.12,20.12,20.12,20.12
PS Ratio,2.54,3.36,3.42,3.96,3.62,4.23,2.33,2.65,4.29,4.99,3.09
PB Ratio,5.99,9.09,7.28,12.46,17.18,12.74,5.16,8.09,12.63,16.80,10.55
P/TBV Ratio,6.17,9.29,7.41,12.79,17.92,13.10,5.27,8.33,13.01,17.50,11.08
P/FCF Ratio,17.66,23.67,24.31,33.22,39.52,26.91,15.18,26.53,34.09,41.15,31.84
P/OCF Ratio,14.64,19.52,20.59,28.70,30.90,23.40,13.14,19.23,27.05,36.10,27.03
PEG Ratio,-,2.17,2.17,2.17,2.17,2.17,8.00,-,-,-,-
EV/Sales Ratio,2.39,3.28,3.23,3.89,3.65,4.12,2.11,2.37,4.13,4.86,2.96
EV/EBITDA Ratio,11.14,15.36,16.14,22.05,18.36,17.96,11.56,12.32,18.51,22.90,19.83
EV/EBIT Ratio,12.12,16.71,17.62,24.41,20.00,19.38,12.76,13.38,19.71,24.71,22.40
EV/FCF Ratio,16.62,23.09,22.98,32.63,39.93,26.21,13.75,23.81,32.79,40.05,30.51
Debt / Equity Ratio,0.14,0.16,0.10,0.11,0.26,0.12,0.11,-,-,-,-
Debt / EBITDA Ratio,0.25,0.26,0.22,0.19,0.25,0.17,0.25,-,-,-,-
Debt / FCF Ratio,0.41,0.42,0.33,0.30,0.59,0.26,0.32,-,-,-,-
Asset Turnover,1.91,1.67,1.77,2.25,2.22,1.78,1.82,2.23,2.40,2.51,2.55
Inventory Turnover,8.19,8.93,8.57,7.88,8.24,9.64,9.39,9.57,10.23,9.89,10.20
Quick Ratio,2.43,2.12,3.12,1.82,0.98,1.90,2.75,2.48,2.62,2.38,2.20
Current Ratio,3.24,2.90,3.89,2.54,1.89,2.48,3.25,3.31,3.37,3.08,2.96
Return on Equity (ROE),45.84%,37.23%,37.92%,46.47%,53.24%,43.09%,33.16%,42.49%,51.91%,47.39%,34.58%
Return on Assets (ROA),23.48%,20.40%,20.32%,22.39%,25.35%,23.62%,18.82%,24.69%,31.40%,30.80%,21.02%
Return on Capital (ROIC),31.73%,26.04%,26.56%,32.65%,37.10%,31.60%,24.87%,33.92%,44.23%,44.96%,31.96%
Return on Capital Employed (ROCE),40.10%,44.20%,34.60%,43.40%,64.50%,55.60%,32.70%,50.70%,57.70%,60.90%,40.50%
Earnings Yield,6.10%,4.63%,4.34%,3.06%,3.85%,3.84%,5.57%,5.25%,3.58%,2.60%,2.81%
FCF Yield,5.66%,4.22%,4.11%,3.01%,2.53%,3.72%,6.59%,3.77%,2.93%,2.43%,3.14%
Payout Ratio,-,-,-,-,-,-,-,-,-,-,0.30%
Buyback Yield / Dilution,-0.05%,-0.06%,-0.02%,-0.01%,0.02%,0.04%,0.19%,0.01%,-0.32%,-0.21%,-0.24%
