Period Ending,"Aug '25Aug 2, 2025","May '25May 3, 2025","Apr '24Apr 27, 2024","Apr '23Apr 29, 2023","Apr '22Apr 30, 2022","May '21May 1, 2021","May '20May 2, 2020","Apr '19Apr 27, 2019","Apr '18Apr 28, 2018","Apr '17Apr 29, 2017","Apr '16Apr 30, 2016"
Cash & Equivalents,249.83,193.84,327.05,158.07,48.05,193.59,304.52,156.2,189.86,136.37,105.58
Cash & Short-Term Investments,249.83,193.84,327.05,158.07,48.05,193.59,304.52,156.2,189.86,136.37,105.58
Cash Growth,224.29%,-40.73%,106.90%,228.98%,-75.18%,-36.43%,94.95%,-17.73%,39.23%,29.17%,101.27%
Receivables,106.5,104.16,102.84,104.92,93.59,86.44,84.92,84.84,84.36,71.32,61.05
Inventory,93.92,85.11,84.6,93.58,103.32,71.48,63.48,70.7,60.92,53.36,47.92
Prepaid Expenses,13.78,16.43,16.69,9.84,20.76,9.83,7.79,9.71,11.62,6.67,4.67
Other Current Assets,12.1,7.4,5.7,-,8.8,3.6,-,-,6.2,0.6,-
Total Current Assets,476.13,406.93,536.87,366.41,274.52,364.94,460.71,321.46,352.97,268.32,223.67
"Property, Plant & Equipment",241.53,245.87,213.23,187.93,173.51,172.7,168.51,111.32,85.81,65.15,61.93
Goodwill,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15
Other Intangible Assets,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62
Other Long-Term Assets,5.35,5.3,5.29,5.25,5.02,4.83,4.66,4.66,5.3,5.75,5.14
Total Assets,737.76,672.86,770.15,574.34,467.8,557.24,648.65,452.19,458.83,353.98,305.5
Accounts Payable,78.67,82.45,78.28,85.11,95.3,88.75,74.37,66.2,74.85,58.1,49.39
Accrued Expenses,39.81,38.52,40.82,37.6,33.59,36.03,29.89,27.28,29.72,29.02,23.7
Current Portion of Leases,15.01,14.53,13.08,11.75,10.54,14.8,16.98,-,-,-,-
Current Income Taxes Payable,13.29,-,-,0.15,0.39,0.09,7.86,0.4,0.1,0.09,0.03
Other Current Liabilities,0.1,5,5.74,9.72,5.5,7.52,12.59,3.15,-,-,2.5
Total Current Liabilities,146.88,140.5,137.93,144.32,145.32,147.19,141.69,97.04,104.67,87.21,75.61
Long-Term Debt,-,-,-,-,30,-,-,-,-,-,-
Long-Term Leases,54.9,57.59,41.69,29.78,20.7,28.84,32.16,-,-,-,-
Long-Term Deferred Tax Liabilities,24.01,23.01,23.25,19.81,23.82,17.29,14.82,15.99,14.5,12.09,14.47
Other Long-Term Liabilities,7.84,7.76,7.78,7.94,8.52,7.92,7.64,7.56,8.22,9.07,9.26
Total Liabilities,233.63,228.86,210.64,201.86,228.37,201.24,196.31,120.58,127.39,108.37,99.35
Common Stock,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.51,0.51,0.51,0.51
Additional Paid-In Capital,43.84,43.71,42.59,40.39,39.41,38.38,37.42,37.07,36.36,35.64,34.57
Retained Earnings,473.51,417.75,535.08,358.35,216.18,337.67,443.4,313.43,307.82,227.93,190.73
Treasury Stock,-19.13,-19.13,-19.13,-19.13,-19.13,-19.13,-19.13,-12.9,-12.9,-12.9,-12.9
Comprehensive Income & Other,9.84,5.6,4.91,-3.19,6.92,3.02,-5.42,-1.54,4.6,-0.6,-1.81
Total Common Equity,509.08,448.95,564.46,377.44,244.39,360.95,457.29,336.56,336.39,250.57,211.1
Shareholders' Equity,504.13,444,559.51,372.49,239.44,356,452.34,331.61,331.44,245.62,206.15
Total Liabilities & Equity,737.76,672.86,770.15,574.34,467.8,557.24,648.65,452.19,458.83,353.98,305.5
Total Debt,69.9,72.12,54.77,41.53,61.25,43.64,49.14,-,-,-,-
Net Cash (Debt),179.93,121.71,272.28,116.55,-13.2,149.95,255.38,156.2,189.86,136.37,105.58
Net Cash Growth,616.58%,-55.30%,133.62%,-,-,-41.28%,63.50%,-17.73%,39.23%,29.17%,148.67%
Net Cash Per Share,1.92,1.30,2.91,1.25,-0.14,1.60,2.73,1.66,2.02,1.46,1.13
Filing Date Shares Outstanding,93.62,93.62,93.58,93.35,93.34,93.31,93.25,93.29,93.24,93.17,93.11
Total Common Shares Outstanding,93.62,93.62,93.57,93.35,93.34,93.3,93.23,93.29,93.24,93.17,93.11
Working Capital,329.25,266.43,398.95,222.08,129.2,217.75,319.02,224.42,248.3,181.12,148.06
Book Value Per Share,5.44,4.80,6.03,4.04,2.62,3.87,4.90,3.61,3.61,2.69,2.27
Tangible Book Value,494.32,434.19,549.7,362.68,229.63,346.19,442.53,321.8,321.63,235.81,196.34
Tangible Book Value Per Share,5.28,4.64,5.87,3.88,2.46,3.71,4.75,3.45,3.45,2.53,2.11
Land,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.84,9.5,9.5,9.5
Buildings,82.09,81.76,71.75,70.62,65.7,62.35,59.62,58.29,56.95,51.16,50.86
Machinery,330.85,290.47,281.58,289.57,277.16,257.12,238.3,222.24,194.24,172.26,162.2
Construction In Progress,-,37.7,32.5,-,-,-,-,-,-,-,-
