Period Ending,"Aug '25Aug 2, 2025","May '25May 3, 2025","Apr '24Apr 27, 2024","Apr '23Apr 29, 2023","Apr '22Apr 30, 2022","May '21May 1, 2021","May '20May 2, 2020","Apr '19Apr 27, 2019","Apr '18Apr 28, 2018","Apr '17Apr 29, 2017","Apr '16Apr 30, 2016"
Revenue,"1,202","1,201","1,192","1,173","1,138","1,072","1,000","1,014",975.73,826.92,704.79
Revenue Growth (YoY),0.46%,0.81%,1.60%,3.07%,6.14%,7.18%,-1.35%,3.93%,18.00%,17.33%,9.13%
Cost of Revenue,755.42,757.41,763.24,776.14,720.21,650.59,630.25,629.76,584.6,500.84,463.35
Gross Profit,446.97,443.94,428.45,396.79,417.81,421.62,370.14,384.35,391.14,326.08,241.44
"Selling, General & Admin",210.25,208.48,209.94,210.11,209.95,193.79,204.39,204.42,186.95,163.6,148.38
Operating Expenses,210.25,208.48,209.94,210.11,209.95,193.79,204.39,204.42,186.95,163.6,148.38
Operating Income,236.72,235.46,218.51,186.68,207.86,227.83,165.75,179.94,204.19,162.48,93.05
Interest Expense,-,-,-,-,-,-,-,-,-,-0.19,-0.2
Interest & Investment Income,7.2,9.3,12.2,-,-,-,-,-,-,0.6,0.1
Other Non Operating Income (Expenses),-0.21,-0.2,-0.86,-0.24,-0.26,0.31,3.71,3.94,1.3,-0.06,-0.25
EBT Excluding Unusual Items,243.72,244.56,229.85,186.44,207.6,228.14,169.46,183.88,205.49,162.83,92.71
Pretax Income,243.72,244.56,229.85,186.44,207.6,228.14,169.46,183.88,205.49,162.83,92.71
Income Tax Expense,57.91,57.74,53.12,44.28,49.08,53.99,39.48,43.02,55.72,55.78,31.51
Net Income,185.8,186.82,176.73,142.16,158.51,174.15,129.97,140.85,149.77,107.05,61.2
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,0.24
Net Income to Common,185.8,186.82,176.73,142.16,158.51,174.15,129.97,140.85,149.77,107.05,60.96
Net Income Growth,1.04%,5.71%,24.32%,-10.31%,-8.98%,33.99%,-7.72%,-5.96%,39.92%,74.92%,24.11%
Shares Outstanding (Basic),94,94,93,93,93,93,93,93,93,93,93
Shares Outstanding (Diluted),94,94,94,94,94,94,94,94,94,94,93
Shares Change (YoY),0.05%,0.06%,0.02%,0.01%,-0.02%,-0.04%,-0.19%,-0.01%,0.32%,0.21%,0.24%
EPS (Basic),1.98,2.00,1.89,1.52,1.70,1.87,1.39,1.51,1.61,1.15,0.66
EPS (Diluted),1.98,1.99,1.89,1.52,1.69,1.86,1.39,1.50,1.59,1.15,0.66
EPS Growth,0.66%,5.29%,24.34%,-10.06%,-9.14%,33.81%,-7.33%,-5.96%,39.30%,74.81%,24.76%
Free Cash Flow,172.61,170.42,167.61,139.69,104.12,168.46,153.8,101.11,122.75,100.25,68.34
Free Cash Flow Per Share,1.84,1.82,1.79,1.49,1.11,1.80,1.64,1.08,1.31,1.07,0.73
Gross Margin,37.17%,36.95%,35.95%,33.83%,36.71%,39.32%,37.00%,37.90%,40.09%,39.43%,34.26%
Operating Margin,19.69%,19.60%,18.34%,15.92%,18.27%,21.25%,16.57%,17.74%,20.93%,19.65%,13.20%
Profit Margin,15.45%,15.55%,14.83%,12.12%,13.93%,16.24%,12.99%,13.89%,15.35%,12.95%,8.65%
Free Cash Flow Margin,14.36%,14.19%,14.06%,11.91%,9.15%,15.71%,15.37%,9.97%,12.58%,12.12%,9.70%
EBITDA,257.53,256.26,238.67,206.73,226.4,245.92,182.98,195.37,217.41,175.31,105.11
EBITDA Margin,21.42%,21.33%,20.03%,17.63%,19.89%,22.94%,18.29%,19.27%,22.28%,21.20%,14.91%
D&A For EBITDA,20.81,20.8,20.16,20.04,18.54,18.1,17.23,15.44,13.23,12.83,12.06
EBIT,236.72,235.46,218.51,186.68,207.86,227.83,165.75,179.94,204.19,162.48,93.05
EBIT Margin,19.69%,19.60%,18.34%,15.92%,18.27%,21.25%,16.57%,17.74%,20.93%,19.65%,13.20%
Effective Tax Rate,23.76%,23.61%,23.11%,23.75%,23.64%,23.67%,23.30%,23.40%,27.11%,34.26%,33.99%
