Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Jun '16Jun 30, 2016"
Market Capitalization,"2,081",788,"5,318","15,833","14,735","16,343","4,622","1,606","1,615",509,798
Market Cap Growth,115.03%,-85.18%,-66.42%,7.45%,-9.83%,253.55%,187.84%,-0.57%,217.20%,-36.22%,-43.89%
Enterprise Value,"2,092",812,"4,587","14,995","14,258","15,758","4,257","1,155","1,312",303,627
Last Close Price,34.27,13.60,93.60,283.27,280.57,319.12,95.09,35.10,37.55,12.40,19.60
PE Ratio,-,-,154.90,168.84,87.10,116.47,31.54,12.47,19.19,8.03,10.42
Forward PE,-,-,-,36.87,45.42,74.09,19.45,12.08,16.89,10.88,10.88
PS Ratio,1.91,0.87,1.79,5.09,7.50,11.20,3.24,1.71,2.66,1.04,1.63
PB Ratio,4.25,1.20,2.21,7.28,11.25,15.05,5.70,2.81,4.06,1.76,3.12
P/TBV Ratio,5.16,1.31,2.28,7.45,13.14,18.63,7.60,3.28,4.08,1.77,3.13
P/FCF Ratio,34.52,-,-,-,227.13,170.48,24.79,10.67,14.01,8.30,21.67
P/OCF Ratio,24.32,-,-,506.12,68.82,73.40,17.85,8.49,11.82,6.18,15.20
PEG Ratio,-,-,-,1.04,2.12,2.47,0.88,0.55,0.70,0.32,0.32
EV/Sales Ratio,2.00,0.90,1.54,4.82,7.26,10.80,2.99,1.23,2.16,0.62,1.28
EV/EBITDA Ratio,-,-,24.35,44.77,57.29,92.17,17.20,7.60,13.35,4.00,8.29
EV/EBIT Ratio,-,-,34.96,52.56,68.11,113.26,19.29,8.28,14.40,4.27,8.74
EV/FCF Ratio,33.21,-,-,-,219.76,164.38,22.83,7.67,11.38,4.95,17.02
Debt / Equity Ratio,0.87,1.16,0.31,0.34,0.55,0.61,0.07,0.04,-,-,-
Debt / EBITDA Ratio,-,-,3.55,2.10,2.71,3.62,0.23,0.13,-,-,-
Debt / FCF Ratio,6.60,-,-,-,11.03,6.93,0.31,0.13,-,-,-
Asset Turnover,0.41,0.25,0.67,0.87,0.74,0.74,1.16,1.17,1.14,-,1.39
Inventory Turnover,1.54,1.66,2.04,4.09,3.75,3.97,6.06,5.51,5.22,-,4.35
Quick Ratio,1.47,1.10,1.96,2.40,2.45,3.11,1.65,2.32,2.98,3.80,2.57
Current Ratio,2.28,1.95,3.70,3.26,3.26,3.94,2.14,3.00,3.67,4.82,3.55
Return on Equity (ROE),-78.09%,-117.67%,1.50%,5.38%,14.12%,14.79%,20.97%,26.45%,24.53%,-,36.22%
Return on Assets (ROA),-10.72%,-24.41%,1.85%,4.98%,4.90%,4.42%,11.22%,10.85%,10.68%,-,12.76%
Return on Capital (ROIC),-20.74%,-38.59%,2.71%,7.22%,6.93%,6.64%,18.88%,17.63%,16.59%,-,21.20%
Return on Capital Employed (ROCE),-29.70%,-88.70%,3.60%,8.40%,8.80%,7.00%,20.90%,18.90%,17.80%,20.00%,23.10%
Earnings Yield,-25.78%,-229.20%,0.65%,0.59%,1.15%,0.86%,3.17%,8.02%,5.21%,12.46%,9.60%
FCF Yield,2.90%,-53.48%,-6.59%,-0.87%,0.44%,0.59%,4.03%,9.37%,7.14%,12.04%,4.61%
Buyback Yield / Dilution,-2.49%,0.27%,1.49%,-3.81%,-6.02%,-5.18%,-4.62%,-5.62%,-2.82%,0.44%,-190.62%
